DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,TBS,2019-01-01,€17.000000,702.320000 kg,63.680000 L,2673 km
TBS,SSN,2019-01-04,€47.000000,2034.150000 kg,176.270000 L,6836 km
DEL,BLR,2019-01-13,€9.000000,371.000000 kg,34.930000 L,1770 km
BLR,GCJ,2019-01-19,€48.000000,2065.090000 kg,178.890000 L,6922 km
GCJ,CPT,2019-01-24,€9.000000,381.810000 kg,37.320000 L,1347 km
CPT,SXF,2019-02-24,€73.000000,3151.550000 kg,270.890000 L,9682 km
SXF,SDV,2019-03-01,€18.000000,754.430000 kg,68.030000 L,2894 km
SDV,BBU,2019-03-02,€11.000000,449.660000 kg,42.820000 L,1622 km
BBU,SXF,2019-03-16,€9.000000,378.150000 kg,37.030000 L,1332 km
SXF,RTM,2019-03-16,€5.000000,194.380000 kg,22.530000 L,671 km
RTM,SXF,2019-03-30,€5.000000,194.380000 kg,22.530000 L,671 km
SXF,RTM,2019-04-19,€5.000000,194.380000 kg,22.530000 L,671 km
RTM,SXF,2019-04-29,€5.000000,194.380000 kg,22.530000 L,671 km
SXF,GMP,2019-05-06,€59.000000,2560.410000 kg,220.840000 L,8184 km
GMP,SXF,2019-05-25,€59.000000,2560.410000 kg,220.840000 L,8184 km
SXF,BRU,2019-05-25,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,SXF,2019-06-01,€5.000000,201.770000 kg,23.030000 L,697 km
SXF,TXL,2019-06-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-06-08,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ERF,2019-06-08,€5.000000,62.960000 kg,14.010000 L,293 km
ERF,SXF,2019-07-05,€5.000000,62.960000 kg,14.010000 L,293 km
SXF,BRU,2019-07-05,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,SXF,2019-08-14,€5.000000,201.770000 kg,23.030000 L,697 km
RLG,TXL,2019-08-24,€5.000000,43.820000 kg,11.090000 L,214 km
TXL,SXF,2019-08-30,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,SDV,2019-08-30,€18.000000,754.430000 kg,68.030000 L,2894 km
SDV,VKO,2019-09-06,€17.000000,701.350000 kg,63.600000 L,2669 km
VKO,SXF,2019-09-13,€11.000000,452.110000 kg,43.020000 L,1632 km
SXF,TBS,2019-09-13,€17.000000,702.320000 kg,63.680000 L,2673 km
TBS,SXF,2019-10-03,€17.000000,702.320000 kg,63.680000 L,2673 km
SXF,HAM,2019-10-18,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,MLH,2019-10-19,€5.000000,211.510000 kg,23.680000 L,730 km
MLH,AMS,2019-10-20,€5.000000,170.920000 kg,20.970000 L,590 km
AMS,SXF,2019-11-30,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,SXF,2019-11-30,€5.000000,10.190000 kg,2.570000 L,50 km
