DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LDY,NCL,2019-01-25,€5.000000,101.610000 kg,16.640000 L,397 km
NCL,WAW,2019-01-26,€11.000000,437.730000 kg,41.850000 L,1573 km
WAW,LDY,2019-02-01,€13.000000,523.570000 kg,48.800000 L,1921 km
LDY,HAM,2019-02-01,€8.000000,338.010000 kg,33.770000 L,1170 km
HAM,LCY,2019-02-02,€6.000000,220.270000 kg,24.310000 L,760 km
LCY,LDY,2019-02-08,€5.000000,194.040000 kg,22.510000 L,670 km
LDY,BEG,2019-02-08,€15.000000,616.890000 kg,56.540000 L,2312 km
BEG,BRS,2019-02-09,€12.000000,521.590000 kg,48.640000 L,1913 km
BRS,LDY,2019-02-23,€5.000000,160.470000 kg,20.270000 L,553 km
LDY,STR,2019-03-02,€9.000000,388.340000 kg,37.850000 L,1373 km
STR,LDY,2019-03-08,€9.000000,388.340000 kg,37.850000 L,1373 km
LDY,OBF,2019-03-08,€10.000000,428.400000 kg,41.090000 L,1536 km
OBF,GVA,2019-03-09,€5.000000,141.560000 kg,19.030000 L,491 km
GVA,LDY,2019-03-16,€10.000000,395.370000 kg,38.420000 L,1402 km
LDY,KIR,2019-03-16,€5.000000,109.680000 kg,17.120000 L,416 km
KIR,LDY,2019-03-20,€5.000000,109.680000 kg,17.120000 L,416 km
LDY,WOE,2019-03-20,€7.000000,268.520000 kg,28.170000 L,913 km
WOE,TXL,2019-03-22,€5.000000,195.870000 kg,22.630000 L,676 km
TXL,LDY,2019-03-28,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,TNT,2019-03-28,€11.000000,463.050000 kg,43.900000 L,1676 km
TNT,LGA,2019-03-30,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,BGY,2019-04-06,€45.000000,1925.500000 kg,167.050000 L,6533 km
BGY,LDY,2019-04-19,€11.000000,451.890000 kg,43.000000 L,1631 km
LDY,NCL,2019-04-19,€5.000000,101.610000 kg,16.640000 L,397 km
NCL,DUB,2019-04-21,€5.000000,100.700000 kg,16.590000 L,395 km
