DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
VKO,NST,2019-01-18,€54.000000,2330.070000 kg,201.330000 L,7600 km
NST,LJU,2019-01-25,€67.000000,2899.650000 kg,249.560000 L,9043 km
LJU,VKO,2019-02-15,€13.000000,532.200000 kg,49.500000 L,1956 km
IEV,LWO,2019-03-02,€5.000000,150.650000 kg,19.610000 L,519 km
LWO,VKO,2019-03-15,€5.000000,106.000000 kg,26.830000 L,1149 km
VKO,KRW,2019-03-15,€14.000000,574.280000 kg,52.980000 L,2132 km
KRW,MLH,2019-03-22,€23.000000,958.290000 kg,85.050000 L,3756 km
MLH,BUD,2019-03-23,€7.000000,278.060000 kg,28.940000 L,943 km
BUD,VKO,2019-03-29,€11.000000,440.910000 kg,42.110000 L,1586 km
VKO,SKP,2019-03-29,€13.000000,529.960000 kg,49.320000 L,1947 km
SKP,TIA,2019-03-30,€5.000000,42.890000 kg,10.850000 L,210 km
TIA,VKO,2019-04-03,€13.000000,563.770000 kg,52.110000 L,2087 km
VKO,TXL,2019-04-03,€11.000000,454.690000 kg,43.220000 L,1642 km
SVO,VKO,2019-04-12,€5.000000,19.170000 kg,4.850000 L,93 km
VKO,BRU,2019-04-12,€14.000000,607.500000 kg,55.760000 L,2272 km
BRU,VKO,2019-05-12,€14.000000,607.500000 kg,55.760000 L,2272 km
VKO,NCE,2019-05-12,€16.000000,675.720000 kg,61.460000 L,2561 km
NCE,VKO,2019-05-18,€16.000000,675.720000 kg,61.460000 L,2561 km
VKO,ESS,2019-05-18,€13.000000,564.190000 kg,52.140000 L,2089 km
ESS,VKO,2019-05-25,€13.000000,564.190000 kg,52.140000 L,2089 km
VKO,CLJ,2019-05-25,€10.000000,396.910000 kg,38.540000 L,1408 km
CLJ,VKO,2019-06-01,€10.000000,396.910000 kg,38.540000 L,1408 km
VKO,WRO,2019-06-01,€10.000000,414.680000 kg,39.980000 L,1480 km
WRO,VKO,2019-06-08,€10.000000,414.680000 kg,39.980000 L,1480 km
VKO,EIN,2019-06-08,€14.000000,587.870000 kg,54.120000 L,2189 km
EIN,VKO,2019-06-13,€14.000000,587.870000 kg,54.120000 L,2189 km
VKO,BCN,2019-06-13,€19.000000,790.990000 kg,71.080000 L,3048 km
BCN,VKO,2019-06-21,€19.000000,790.990000 kg,71.080000 L,3048 km
ARW,KRR,2019-06-29,€10.000000,402.400000 kg,38.990000 L,1430 km
KRR,VKO,2019-07-06,€12.000000,480.000000 kg,47.340000 L,1230 km
VKO,MHP,2019-07-13,€5.000000,193.900000 kg,22.500000 L,669 km
MHP,VKO,2019-07-27,€5.000000,193.900000 kg,22.500000 L,669 km
VKO,OHD,2019-07-27,€13.000000,555.850000 kg,51.450000 L,2054 km
OHD,VKO,2019-08-10,€13.000000,555.850000 kg,51.450000 L,2054 km
VKO,DCA,2019-08-10,€57.000000,2440.780000 kg,210.710000 L,7881 km
DCA,TGM,2019-08-15,€56.000000,2409.970000 kg,208.100000 L,7803 km
TGM,VKO,2019-08-21,€10.000000,393.070000 kg,38.230000 L,1392 km
VKO,BUD,2019-08-21,€11.000000,440.910000 kg,42.110000 L,1586 km
BUD,SUI,2019-08-22,€12.000000,502.220000 kg,47.070000 L,1834 km
SUI,BBU,2019-08-31,€9.000000,363.140000 kg,35.810000 L,1271 km
BBU,VKO,2019-09-14,€10.000000,423.420000 kg,40.690000 L,1515 km
VKO,ZRH,2019-09-14,€14.000000,593.900000 kg,54.630000 L,2215 km
ZRH,VKO,2019-09-20,€14.000000,593.900000 kg,54.630000 L,2215 km
VKO,BOD,2019-09-20,€18.000000,770.610000 kg,69.380000 L,2962 km
BOD,BEG,2019-09-21,€11.000000,473.880000 kg,44.780000 L,1720 km
BEG,VKO,2019-09-25,€11.000000,476.930000 kg,45.020000 L,1732 km
VKO,TXL,2019-09-25,€11.000000,454.690000 kg,43.220000 L,1642 km
TXL,BTS,2019-09-27,€5.000000,177.560000 kg,21.410000 L,613 km
BTS,VKO,2019-10-05,€11.000000,456.010000 kg,43.330000 L,1647 km
VKO,IEV,2019-10-05,€6.000000,227.910000 kg,24.920000 L,784 km
IEV,VKO,2019-10-12,€6.000000,227.910000 kg,24.920000 L,784 km
VKO,AUS,2019-10-12,€72.000000,3124.540000 kg,268.600000 L,9613 km
AUS,YHU,2019-10-19,€17.000000,709.960000 kg,64.310000 L,2706 km
YHU,BEY,2019-11-02,€65.000000,2791.560000 kg,240.410000 L,8770 km
BEY,PRN,2019-11-08,€11.000000,454.030000 kg,43.170000 L,1639 km
PRN,OSI,2019-11-09,€5.000000,116.300000 kg,17.520000 L,432 km
OSI,VKO,2019-11-15,€12.000000,484.950000 kg,45.670000 L,1765 km
VKO,MHP,2019-11-15,€5.000000,193.900000 kg,22.500000 L,669 km
MHP,VKO,2019-11-22,€5.000000,193.900000 kg,22.500000 L,669 km
VKO,KGD,2019-11-22,€8.000000,341.000000 kg,34.430000 L,1106 km
KGD,VKO,2019-12-07,€8.000000,341.000000 kg,34.430000 L,1106 km
VKO,CLO,2019-12-07,€90.000000,3884.140000 kg,332.970000 L,11215 km
CLO,SMR,2019-12-10,€7.000000,280.310000 kg,29.120000 L,950 km
SMR,CGH,2019-12-20,€32.000000,1356.200000 kg,118.740000 L,4947 km
