DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ELS,LCY,2019-01-04,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-01-11,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-01-11,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-01-18,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-01-18,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-01-25,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-01-25,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-02-01,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-02-01,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,PRG,2019-02-02,€8.000000,313.800000 kg,31.820000 L,1072 km
PRG,ELS,2019-02-08,€70.000000,3038.880000 kg,261.350000 L,9396 km
ELS,LCY,2019-02-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-02-15,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-02-15,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-02-22,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-02-22,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,BRS,2019-02-23,€5.000000,49.700000 kg,12.580000 L,243 km
BRS,ELS,2019-03-01,€75.000000,3242.690000 kg,278.610000 L,9913 km
ELS,LCY,2019-03-01,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-03-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-03-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-03-15,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-03-15,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-03-22,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-03-22,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,NCL,2019-03-23,€5.000000,127.520000 kg,18.190000 L,458 km
NCL,ELS,2019-03-29,€79.000000,3403.600000 kg,292.240000 L,10253 km
ELS,LCY,2019-03-29,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-04-03,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,SIR,2019-04-03,€68.000000,2926.900000 kg,251.870000 L,9112 km
SIR,ELS,2019-04-26,€68.000000,2926.900000 kg,251.870000 L,9112 km
ELS,CEG,2019-04-26,€77.000000,3324.710000 kg,285.560000 L,10095 km
CEG,ELS,2019-06-08,€77.000000,3324.710000 kg,285.560000 L,10095 km
ELS,MAN,2019-06-08,€77.000000,3326.200000 kg,285.680000 L,10098 km
MAN,ELS,2019-06-11,€77.000000,3326.200000 kg,285.680000 L,10098 km
ELS,IBZ,2019-06-11,€62.000000,2688.980000 kg,231.720000 L,8510 km
IBZ,ELS,2019-06-25,€62.000000,2688.980000 kg,231.720000 L,8510 km
ELS,IBZ,2019-06-25,€62.000000,2688.980000 kg,231.720000 L,8510 km
IBZ,YEO,2019-06-26,€10.000000,404.180000 kg,39.130000 L,1437 km
YEO,ELS,2019-07-04,€75.000000,3227.140000 kg,277.290000 L,9873 km
ELS,CND,2019-07-04,€64.000000,2742.050000 kg,236.220000 L,8644 km
CND,GLO,2019-07-05,€16.000000,655.490000 kg,59.770000 L,2475 km
