DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,MAN,2019-03-09,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,TXL,2019-03-15,€8.000000,319.570000 kg,32.280000 L,1095 km
TXL,SCL,2019-05-11,€106.000000,4573.510000 kg,391.410000 L,12596 km
SCL,CLO,2019-05-17,€26.000000,1089.400000 kg,96.100000 L,4204 km
CLO,BOG,2019-05-18,€5.000000,57.000000 kg,14.430000 L,328 km
BOG,TXL,2019-06-08,€71.000000,3072.320000 kg,264.180000 L,9481 km
TXL,LED,2019-06-08,€8.000000,316.000000 kg,30.880000 L,1366 km
LED,TXL,2019-06-22,€8.000000,316.000000 kg,30.880000 L,1366 km
TXL,MHG,2019-06-22,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,TXL,2019-07-19,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,IBZ,2019-07-19,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-08-11,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,BCN,2019-08-11,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-08-14,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,IBZ,2019-08-14,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-08-21,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,IBZ,2019-08-21,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-09-14,€9.000000,386.000000 kg,36.200000 L,1823 km
SXB,TXL,2019-09-28,€5.000000,188.640000 kg,22.150000 L,651 km
TXL,LCY,2019-09-28,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,TXL,2019-10-05,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,BUD,2019-10-05,€6.000000,222.000000 kg,24.550000 L,760 km
BUD,MAD,2019-10-06,€13.000000,545.000000 kg,50.370000 L,2021 km
MAD,TXL,2019-10-12,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,VIY,2019-10-12,€7.000000,276.840000 kg,28.840000 L,939 km
VIY,TXL,2019-10-16,€7.000000,276.840000 kg,28.840000 L,939 km
TXL,AMS,2019-10-16,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-10-31,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,DXB,2019-10-31,€30.000000,1279.000000 kg,112.150000 L,4682 km
DXB,IST,2019-11-01,€18.000000,771.000000 kg,69.110000 L,3056 km
IST,MHG,2019-11-08,€12.000000,510.550000 kg,47.750000 L,1868 km
MHG,TXL,2019-11-29,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,PRG,2019-11-29,€5.000000,38.000000 kg,9.620000 L,330 km
PRG,TXL,2019-12-13,€5.000000,38.000000 kg,9.620000 L,330 km
TXL,LIS,2019-12-13,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,TXL,2019-12-27,€15.000000,627.560000 kg,57.430000 L,2357 km
TXL,TXL,2019-12-27,€5.000000,10.190000 kg,2.570000 L,50 km
