DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LDY,FLN,2019-01-12,€77.000000,3311.550000 kg,284.440000 L,10069 km
FLN,ORY,2019-01-25,€75.000000,3255.580000 kg,279.700000 L,9945 km
ORY,LDY,2019-02-02,€7.000000,298.650000 kg,30.590000 L,1010 km
LDY,IEV,2019-02-02,€16.000000,686.240000 kg,62.330000 L,2605 km
IEV,LDY,2019-02-08,€16.000000,686.240000 kg,62.330000 L,2605 km
TXL,LDY,2019-03-01,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,MHP,2019-03-01,€15.000000,613.920000 kg,56.300000 L,2299 km
MHP,LDY,2019-03-08,€15.000000,613.920000 kg,56.300000 L,2299 km
LDY,ALA,2019-03-08,€40.000000,1707.330000 kg,148.530000 L,5925 km
ALA,LIS,2019-03-16,€48.000000,2080.310000 kg,180.180000 L,6964 km
LIS,LDY,2019-03-30,€12.000000,510.590000 kg,47.750000 L,1868 km
LDY,BXO,2019-03-30,€31.000000,1343.620000 kg,117.670000 L,4912 km
BXO,LDY,2019-04-19,€31.000000,1343.620000 kg,117.670000 L,4912 km
LDY,AEP,2019-04-19,€89.000000,3854.750000 kg,330.480000 L,11156 km
AEP,IGU,2019-04-27,€8.000000,322.940000 kg,32.550000 L,1109 km
IGU,ASU,2019-04-28,€5.000000,92.720000 kg,16.110000 L,376 km
ASU,TXL,2019-05-07,€88.000000,3822.310000 kg,327.730000 L,11091 km
TXL,LDY,2019-05-17,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,LCY,2019-05-17,€5.000000,194.040000 kg,22.510000 L,670 km
LCY,VIY,2019-05-18,€5.000000,98.670000 kg,16.470000 L,390 km
VIY,LDY,2019-06-06,€7.000000,294.920000 kg,30.290000 L,996 km
LDY,TXL,2019-06-06,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,EIN,2019-06-08,€5.000000,175.590000 kg,21.280000 L,606 km
EIN,LDY,2019-06-18,€7.000000,287.870000 kg,29.720000 L,974 km
LDY,TXL,2019-06-18,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-06-28,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,TXL,2019-06-28,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,AMS,2019-06-29,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,LDY,2019-07-07,€7.000000,261.950000 kg,27.650000 L,892 km
LDY,DET,2019-07-07,€36.000000,1556.090000 kg,135.700000 L,5504 km
DET,LDY,2019-07-23,€36.000000,1556.090000 kg,135.700000 L,5504 km
LDY,TXL,2019-07-23,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-07-27,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,STR,2019-07-27,€9.000000,388.340000 kg,37.850000 L,1373 km
STR,LDY,2019-08-02,€9.000000,388.340000 kg,37.850000 L,1373 km
LDY,ORY,2019-08-02,€7.000000,298.650000 kg,30.590000 L,1010 km
ORY,LDY,2019-08-15,€7.000000,298.650000 kg,30.590000 L,1010 km
LDY,TXL,2019-08-15,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,MRS,2019-08-16,€9.000000,352.810000 kg,34.970000 L,1230 km
MRS,ODS,2019-08-17,€13.000000,559.650000 kg,51.760000 L,2070 km
ODS,LDY,2019-08-30,€18.000000,740.130000 kg,66.830000 L,2833 km
LDY,KIV,2019-08-30,€17.000000,707.560000 kg,64.110000 L,2695 km
KIV,AMS,2019-08-31,€12.000000,513.010000 kg,47.940000 L,1878 km
AMS,LDY,2019-09-08,€7.000000,261.950000 kg,27.650000 L,892 km
LDY,IBZ,2019-09-08,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-09-28,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,TXL,2019-09-28,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-10-05,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,TXL,2019-10-05,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-10-18,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,AMS,2019-10-18,€7.000000,261.950000 kg,27.650000 L,892 km
AMS,LDY,2019-10-26,€7.000000,261.950000 kg,27.650000 L,892 km
LDY,LCY,2019-10-26,€5.000000,194.040000 kg,22.510000 L,670 km
LCY,LDY,2019-11-15,€5.000000,194.040000 kg,22.510000 L,670 km
LDY,TXL,2019-11-15,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-11-22,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,VIY,2019-11-22,€7.000000,294.920000 kg,30.290000 L,996 km
VIY,BCN,2019-11-23,€6.000000,258.730000 kg,27.390000 L,882 km
BCN,LDY,2019-12-14,€11.000000,474.770000 kg,44.850000 L,1723 km
LDY,LIN,2019-12-14,€11.000000,450.940000 kg,42.920000 L,1627 km
LIN,LDY,2019-12-20,€11.000000,450.940000 kg,42.920000 L,1627 km
LDY,TXL,2019-12-20,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-12-27,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,LJU,2019-12-27,€12.000000,510.710000 kg,47.760000 L,1869 km
LJU,LDY,2019-12-29,€12.000000,510.710000 kg,47.760000 L,1869 km
