DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TLL,IEV,2019-04-12,€8.000000,326.000000 kg,32.800000 L,1121 km
IEV,TXL,2019-04-17,€9.000000,360.520000 kg,35.600000 L,1261 km
TXL,LBG,2019-04-17,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,HAM,2019-04-18,€6.000000,228.810000 kg,24.990000 L,787 km
HAM,AMS,2019-04-20,€5.000000,125.000000 kg,18.480000 L,428 km
AMS,TXL,2019-04-25,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,NTE,2019-04-25,€9.000000,363.750000 kg,35.860000 L,1274 km
NTE,ESH,2019-04-26,€5.000000,132.780000 kg,18.500000 L,471 km
ESH,LCY,2019-04-27,€5.000000,26.490000 kg,6.700000 L,129 km
LCY,TXL,2019-05-03,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,VIE,2019-05-03,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,TXL,2019-05-18,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,LED,2019-05-18,€8.000000,316.000000 kg,30.880000 L,1366 km
LED,TXL,2019-05-26,€8.000000,316.000000 kg,30.880000 L,1366 km
TXL,BRS,2019-05-26,€8.000000,334.010000 kg,33.450000 L,1153 km
BRS,TXL,2019-05-30,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,BCN,2019-05-30,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,AMS,2019-06-01,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,TXL,2019-06-14,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,TRN,2019-06-14,€7.000000,277.000000 kg,28.860000 L,964 km
TRN,TXL,2019-06-21,€7.000000,277.000000 kg,28.860000 L,964 km
TXL,BTS,2019-06-21,€5.000000,177.560000 kg,21.410000 L,613 km
BTS,TXL,2019-07-05,€5.000000,177.560000 kg,21.410000 L,613 km
TXL,SIR,2019-07-05,€6.000000,256.730000 kg,27.230000 L,875 km
SIR,TXL,2019-07-12,€6.000000,256.730000 kg,27.230000 L,875 km
TXL,CRL,2019-07-12,€5.000000,205.190000 kg,23.260000 L,708 km
CRL,TXL,2019-07-18,€5.000000,205.190000 kg,23.260000 L,708 km
TXL,BCN,2019-07-18,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-07-25,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,MRS,2019-07-25,€9.000000,352.810000 kg,34.970000 L,1230 km
MRS,TXL,2019-08-01,€9.000000,352.810000 kg,34.970000 L,1230 km
TXL,TAR,2019-08-01,€10.000000,401.320000 kg,38.900000 L,1426 km
TAR,TXL,2019-08-08,€10.000000,401.320000 kg,38.900000 L,1426 km
TXL,MLH,2019-08-08,€5.000000,212.410000 kg,23.740000 L,734 km
MLH,XFW,2019-08-09,€5.000000,207.290000 kg,23.400000 L,716 km
XFW,TXL,2019-09-19,€5.000000,65.550000 kg,14.250000 L,302 km
TXL,SKG,2019-09-19,€9.000000,353.000000 kg,33.670000 L,1574 km
SKG,TXL,2019-09-28,€9.000000,353.000000 kg,33.670000 L,1574 km
TXL,BRU,2019-09-28,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-10-06,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,MAD,2019-10-06,€11.000000,455.000000 kg,42.530000 L,1901 km
MAD,TXL,2019-10-16,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,AMS,2019-10-16,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-11-15,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,IST,2019-11-15,€10.000000,428.000000 kg,40.250000 L,1790 km
IST,MEX,2019-11-22,€93.000000,4001.520000 kg,342.920000 L,11450 km
MEX,SDV,2019-11-29,€105.000000,4541.510000 kg,388.690000 L,12532 km
SDV,TXL,2019-12-04,€18.000000,757.990000 kg,68.320000 L,2909 km
