DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,BBU,2019-03-02,€9.000000,381.970000 kg,37.330000 L,1348 km
BBU,LIN,2019-03-02,€9.000000,388.620000 kg,37.870000 L,1374 km
LIN,BBU,2019-03-08,€9.000000,388.620000 kg,37.870000 L,1374 km
BBU,CLJ,2019-03-08,€5.000000,87.940000 kg,15.820000 L,365 km
CLJ,VLC,2019-03-09,€14.000000,581.610000 kg,53.600000 L,2163 km
VLC,BBU,2019-03-14,€15.000000,615.500000 kg,56.430000 L,2306 km
BBU,BUD,2019-03-14,€5.000000,194.600000 kg,22.550000 L,672 km
BUD,SBZ,2019-03-16,€5.000000,130.150000 kg,18.350000 L,464 km
SBZ,BBU,2019-03-22,€5.000000,54.100000 kg,13.190000 L,261 km
BBU,SDV,2019-03-22,€11.000000,449.660000 kg,42.820000 L,1622 km
SDV,LCY,2019-03-30,€22.000000,920.480000 kg,81.890000 L,3596 km
LCY,BBU,2019-04-05,€14.000000,572.640000 kg,52.850000 L,2125 km
BRU,BBU,2019-04-12,€12.000000,496.050000 kg,46.570000 L,1809 km
BBU,IAS,2019-04-13,€5.000000,90.210000 kg,15.960000 L,370 km
IAS,BBU,2019-04-18,€5.000000,90.210000 kg,15.960000 L,370 km
BBU,ZRH,2019-04-18,€10.000000,405.290000 kg,39.220000 L,1442 km
ZRH,LBA,2019-04-20,€8.000000,311.370000 kg,31.620000 L,1062 km
LBA,BBU,2019-04-25,€15.000000,614.260000 kg,56.320000 L,2301 km
BBU,CND,2019-04-25,€5.000000,52.100000 kg,13.010000 L,254 km
CND,BBU,2019-05-11,€5.000000,52.100000 kg,13.010000 L,254 km
BBU,CIA,2019-05-11,€9.000000,348.580000 kg,34.630000 L,1212 km
CIA,BBU,2019-05-17,€9.000000,348.580000 kg,34.630000 L,1212 km
BBU,FRA,2019-05-17,€10.000000,420.730000 kg,40.470000 L,1505 km
FRA,MLH,2019-05-18,€5.000000,70.170000 kg,14.670000 L,319 km
MLH,BBU,2019-05-25,€10.000000,428.700000 kg,41.120000 L,1537 km
BBU,TXL,2019-05-25,€9.000000,381.970000 kg,37.330000 L,1348 km
TXL,BHX,2019-05-26,€8.000000,312.780000 kg,31.730000 L,1067 km
BHX,BBU,2019-06-01,€14.000000,606.590000 kg,55.680000 L,2268 km
BBU,VKO,2019-06-01,€10.000000,423.420000 kg,40.690000 L,1515 km
VKO,BBU,2019-06-07,€10.000000,423.420000 kg,40.690000 L,1515 km
BCN,BBU,2019-06-14,€13.000000,550.590000 kg,51.010000 L,2032 km
BBU,TXL,2019-06-16,€9.000000,381.970000 kg,37.330000 L,1348 km
TXL,BBU,2019-07-04,€9.000000,381.970000 kg,37.330000 L,1348 km
BBU,CND,2019-07-04,€5.000000,52.100000 kg,13.010000 L,254 km
CND,IBZ,2019-07-05,€15.000000,634.000000 kg,57.970000 L,2384 km
IBZ,BBU,2019-07-19,€14.000000,588.070000 kg,54.140000 L,2190 km
BBU,CLJ,2019-07-19,€5.000000,87.940000 kg,15.820000 L,365 km
CLJ,BUD,2019-07-20,€5.000000,99.000000 kg,16.200000 L,393 km
BUD,BBU,2019-07-24,€5.000000,194.600000 kg,22.550000 L,672 km
BBU,CND,2019-07-24,€5.000000,52.100000 kg,13.010000 L,254 km
CND,BBU,2019-08-09,€5.000000,52.100000 kg,13.010000 L,254 km
BBU,ZRH,2019-08-09,€10.000000,405.290000 kg,39.220000 L,1442 km
ZRH,BBU,2019-08-15,€10.000000,405.290000 kg,39.220000 L,1442 km
BBU,CND,2019-08-15,€5.000000,52.100000 kg,13.010000 L,254 km
CND,BBU,2019-08-25,€5.000000,52.100000 kg,13.010000 L,254 km
BBU,LCY,2019-08-25,€14.000000,572.640000 kg,52.850000 L,2125 km
LCY,BBU,2019-08-30,€14.000000,572.640000 kg,52.850000 L,2125 km
BBU,IEV,2019-08-30,€6.000000,227.850000 kg,24.910000 L,784 km
IEV,BBU,2019-08-31,€6.000000,227.850000 kg,24.910000 L,784 km
BBU,VCE,2019-09-08,€8.000000,328.820000 kg,33.030000 L,1132 km
VCE,BBU,2019-09-14,€8.000000,328.820000 kg,33.030000 L,1132 km
BBU,BCN,2019-09-14,€13.000000,550.590000 kg,51.010000 L,2032 km
