DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AEP,TXL,2019-01-19,€98.000000,4259.480000 kg,364.790000 L,11967 km
TXL,AEP,2019-02-15,€98.000000,4259.480000 kg,364.790000 L,11967 km
AEP,BUD,2019-02-15,€99.000000,4276.670000 kg,366.250000 L,12001 km
BUD,AEP,2019-03-02,€99.000000,4276.670000 kg,366.250000 L,12001 km
AEP,ORY,2019-03-02,€89.000000,3826.690000 kg,328.100000 L,11100 km
ORY,AEP,2019-04-12,€89.000000,3826.690000 kg,328.100000 L,11100 km
AEP,BTS,2019-04-12,€98.000000,4235.880000 kg,362.790000 L,11920 km
BTS,ZRH,2019-04-13,€5.000000,203.320000 kg,23.130000 L,702 km
ZRH,OPO,2019-04-18,€10.000000,399.000000 kg,37.970000 L,1577 km
OPO,AEP,2019-06-22,€75.000000,3235.860000 kg,278.030000 L,9895 km
AEP,CZM,2019-06-22,€48.000000,2052.550000 kg,177.830000 L,6887 km
CZM,AEP,2019-10-26,€48.000000,2052.550000 kg,177.830000 L,6887 km
AEP,LIS,2019-10-26,€73.000000,3143.450000 kg,270.210000 L,9661 km
LIS,AEP,2019-12-31,€73.000000,3143.450000 kg,270.210000 L,9661 km
AEP,AEP,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
