DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTN,CIA,2019-01-01,€10.000000,424.660000 kg,40.790000 L,1520 km
CIA,LTN,2019-01-05,€10.000000,424.660000 kg,40.790000 L,1520 km
LTN,MAD,2019-01-05,€9.000000,380.600000 kg,37.220000 L,1342 km
MAD,LTN,2019-02-08,€9.000000,380.600000 kg,37.220000 L,1342 km
LTN,LCY,2019-02-08,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-02-22,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,BCN,2019-02-22,€8.000000,320.000000 kg,31.640000 L,1239 km
BCN,MAD,2019-02-23,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,LTN,2019-02-27,€9.000000,380.600000 kg,37.220000 L,1342 km
LTN,AGP,2019-02-27,€12.000000,486.970000 kg,45.840000 L,1773 km
AGP,LTN,2019-03-02,€12.000000,486.970000 kg,45.840000 L,1773 km
LTN,NAP,2019-03-02,€11.000000,470.260000 kg,44.480000 L,1705 km
NAP,LTN,2019-03-16,€11.000000,470.260000 kg,44.480000 L,1705 km
LTN,DUB,2019-03-16,€5.000000,138.120000 kg,18.820000 L,483 km
DUB,LTN,2019-03-23,€5.000000,138.120000 kg,18.820000 L,483 km
LTN,PMI,2019-03-23,€10.000000,405.120000 kg,39.210000 L,1441 km
PMI,LTN,2019-03-29,€10.000000,405.120000 kg,39.210000 L,1441 km
LTN,LBG,2019-03-29,€5.000000,115.180000 kg,17.450000 L,429 km
LBG,LCY,2019-03-30,€5.000000,94.460000 kg,16.210000 L,380 km
LCY,LTN,2019-04-11,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,CLO,2019-04-11,€65.000000,2812.550000 kg,242.190000 L,8823 km
CLO,EOH,2019-04-13,€5.000000,95.280000 kg,16.260000 L,382 km
TOJ,STR,2019-04-20,€10.000000,400.130000 kg,38.810000 L,1421 km
STR,LTN,2019-04-26,€6.000000,238.020000 kg,25.730000 L,816 km
LTN,EIN,2019-04-26,€5.000000,123.690000 kg,17.960000 L,449 km
EIN,LTN,2019-05-03,€5.000000,123.690000 kg,17.960000 L,449 km
LTN,CIA,2019-05-03,€10.000000,424.660000 kg,40.790000 L,1520 km
CIA,LTN,2019-05-16,€10.000000,424.660000 kg,40.790000 L,1520 km
LTN,BCN,2019-05-16,€8.000000,320.000000 kg,31.640000 L,1239 km
BCN,LTN,2019-05-24,€8.000000,320.000000 kg,31.640000 L,1239 km
LTN,HAM,2019-05-24,€6.000000,224.540000 kg,24.650000 L,773 km
HAM,LTN,2019-05-31,€6.000000,224.540000 kg,24.650000 L,773 km
LTN,LPL,2019-05-31,€5.000000,60.620000 kg,13.790000 L,284 km
LPL,LTN,2019-06-08,€5.000000,60.620000 kg,13.790000 L,284 km
LTN,RTM,2019-06-08,€5.000000,94.060000 kg,16.190000 L,379 km
RTM,OBF,2019-06-09,€5.000000,203.090000 kg,23.120000 L,701 km
OBF,LTN,2019-06-15,€7.000000,290.600000 kg,29.940000 L,982 km
LTN,LCY,2019-06-15,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-06-29,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,LMO,2019-06-29,€5.000000,210.420000 kg,23.610000 L,727 km
LMO,AMS,2019-06-30,€6.000000,245.350000 kg,26.320000 L,839 km
AMS,LTN,2019-07-11,€5.000000,105.060000 kg,16.850000 L,405 km
LTN,TXL,2019-07-11,€7.000000,290.930000 kg,29.970000 L,983 km
TXL,LGA,2019-07-12,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,IBZ,2019-07-17,€43.000000,1833.160000 kg,159.210000 L,6276 km
IBZ,LTN,2019-07-20,€10.000000,420.310000 kg,40.440000 L,1503 km
LTN,BCN,2019-07-20,€8.000000,320.000000 kg,31.640000 L,1239 km
BCN,LTN,2019-07-26,€8.000000,320.000000 kg,31.640000 L,1239 km
SXF,LTN,2019-08-02,€7.000000,295.430000 kg,30.330000 L,998 km
LTN,CTT,2019-08-02,€8.000000,324.010000 kg,32.640000 L,1113 km
CTT,GLA,2019-08-03,€11.000000,451.090000 kg,42.930000 L,1627 km
GLA,LTN,2019-08-23,€5.000000,163.570000 kg,20.480000 L,564 km
LTN,EDI,2019-08-23,€5.000000,157.890000 kg,20.100000 L,544 km
EDI,LTN,2019-09-07,€5.000000,157.890000 kg,20.100000 L,544 km
LTN,EIN,2019-09-07,€5.000000,123.690000 kg,17.960000 L,449 km
EIN,MLA,2019-09-08,€13.000000,525.660000 kg,48.970000 L,1929 km
MLA,LTN,2019-09-11,€14.000000,586.530000 kg,54.010000 L,2184 km
LTN,SNN,2019-09-11,€5.000000,185.100000 kg,21.910000 L,639 km
SNN,MAD,2019-09-13,€10.000000,412.340000 kg,39.800000 L,1471 km
MAD,LTN,2019-10-04,€9.000000,380.600000 kg,37.220000 L,1342 km
LTN,VIY,2019-10-04,€5.000000,119.190000 kg,17.690000 L,439 km
VIY,RTM,2019-10-05,€5.000000,118.710000 kg,17.660000 L,437 km
RTM,LTN,2019-10-12,€5.000000,94.060000 kg,16.190000 L,379 km
LTN,PEK,2019-10-12,€59.000000,2558.610000 kg,220.690000 L,8179 km
PEK,AMS,2019-10-18,€59.000000,2559.000000 kg,221.010000 L,7875 km
AMS,ANR,2019-10-19,€5.000000,36.320000 kg,9.190000 L,178 km
ANR,LTN,2019-10-26,€5.000000,99.780000 kg,16.530000 L,393 km
LTN,REU,2019-10-26,€9.000000,357.340000 kg,35.340000 L,1248 km
REU,LTN,2019-10-31,€9.000000,357.340000 kg,35.340000 L,1248 km
LTN,GRX,2019-10-31,€11.000000,471.340000 kg,44.570000 L,1709 km
GRX,LCY,2019-11-01,€11.000000,463.290000 kg,43.920000 L,1677 km
LCY,TXL,2019-11-02,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,LTN,2019-11-15,€7.000000,290.930000 kg,29.970000 L,983 km
LTN,OVD,2019-11-15,€8.000000,317.990000 kg,32.150000 L,1089 km
OVD,MAD,2019-11-16,€5.000000,108.000000 kg,15.440000 L,446 km
MAD,LTN,2019-11-22,€9.000000,380.600000 kg,37.220000 L,1342 km
LTN,MST,2019-11-22,€5.000000,140.740000 kg,18.980000 L,489 km
MST,LTN,2019-11-26,€5.000000,140.740000 kg,18.980000 L,489 km
LTN,LAS,2019-11-26,€62.000000,2657.950000 kg,229.100000 L,8431 km
LAS,BFI,2019-11-27,€10.000000,408.110000 kg,39.450000 L,1453 km
BFI,PHX,2019-11-29,€12.000000,503.640000 kg,47.190000 L,1840 km
PHX,BCN,2019-12-05,€70.000000,3033.230000 kg,260.870000 L,9382 km
BCN,TLS,2019-12-06,€5.000000,57.000000 kg,14.430000 L,317 km
TLS,LTN,2019-12-13,€7.000000,288.930000 kg,29.810000 L,977 km
LTN,OPO,2019-12-13,€10.000000,394.080000 kg,38.320000 L,1397 km
OPO,LTN,2019-12-31,€10.000000,394.080000 kg,38.320000 L,1397 km
LTN,LTN,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
