DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SEA,BFI,2019-01-18,€5.000000,12.090000 kg,3.060000 L,59 km
BFI,SEA,2019-02-17,€5.000000,12.090000 kg,3.060000 L,59 km
SEA,SFO,2019-02-17,€7.000000,278.000000 kg,27.840000 L,1140 km
SFO,SEA,2019-03-01,€7.000000,278.000000 kg,27.840000 L,1140 km
SEA,PDX,2019-03-01,€5.000000,39.000000 kg,9.870000 L,256 km
PDX,SEA,2019-03-09,€5.000000,39.000000 kg,9.870000 L,256 km
SEA,PIT,2019-03-09,€21.000000,894.400000 kg,79.710000 L,3485 km
PIT,SEA,2019-03-29,€21.000000,894.400000 kg,79.710000 L,3485 km
SEA,BRS,2019-03-29,€55.000000,2357.650000 kg,203.670000 L,7670 km
BRS,SEA,2019-04-13,€55.000000,2357.650000 kg,203.670000 L,7670 km
SEA,BMA,2019-04-13,€55.000000,2353.550000 kg,203.320000 L,7660 km
BMA,TXL,2019-04-20,€6.000000,251.330000 kg,26.800000 L,858 km
TXL,LCY,2019-04-27,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,MAN,2019-05-03,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,HEM,2019-05-10,€12.000000,510.040000 kg,47.710000 L,1866 km
HEM,LGA,2019-05-17,€46.000000,1972.720000 kg,171.050000 L,6664 km
LGA,SEA,2019-05-25,€23.000000,998.810000 kg,88.430000 L,3927 km
SEA,DET,2019-05-25,€19.000000,818.260000 kg,73.360000 L,3163 km
DET,SEA,2019-06-29,€19.000000,818.260000 kg,73.360000 L,3163 km
SEA,LCY,2019-06-29,€56.000000,2400.410000 kg,207.290000 L,7778 km
LCY,MAN,2019-07-05,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,BUD,2019-07-12,€11.000000,469.820000 kg,44.450000 L,1703 km
BUD,ALB,2019-07-26,€48.000000,2065.380000 kg,178.920000 L,6923 km
ALB,SEA,2019-08-09,€23.000000,976.980000 kg,86.610000 L,3835 km
SEA,HEM,2019-08-09,€55.000000,2384.830000 kg,205.970000 L,7739 km
HEM,TXL,2019-08-11,€8.000000,337.440000 kg,33.730000 L,1167 km
TXL,AOO,2019-08-15,€46.000000,1994.510000 kg,172.900000 L,6725 km
AOO,SEA,2019-08-24,€22.000000,925.650000 kg,82.320000 L,3617 km
SEA,LGA,2019-08-24,€23.000000,998.810000 kg,88.430000 L,3927 km
LGA,SEA,2019-09-06,€23.000000,998.810000 kg,88.430000 L,3927 km
SEA,BFI,2019-09-06,€5.000000,12.090000 kg,3.060000 L,59 km
BFI,SEA,2019-09-20,€5.000000,12.090000 kg,3.060000 L,59 km
SEA,MMJ,2019-09-20,€56.000000,2419.970000 kg,208.940000 L,7828 km
MMJ,CPH,2019-10-04,€63.000000,2732.990000 kg,235.450000 L,8621 km
MAN,BCN,2019-10-26,€10.000000,402.300000 kg,38.980000 L,1430 km
BCN,ZRH,2019-11-02,€5.000000,211.000000 kg,22.270000 L,905 km
ZRH,TXL,2019-11-04,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,LBA,2019-11-08,€8.000000,309.600000 kg,31.480000 L,1055 km
LBA,BRS,2019-11-15,€5.000000,69.000000 kg,17.460000 L,335 km
HND,KWL,2019-11-29,€19.000000,804.320000 kg,72.190000 L,3104 km
KWL,SZX,2019-11-30,€5.000000,123.000000 kg,15.690000 L,528 km
SZX,YTZ,2019-12-06,€106.000000,4573.300000 kg,391.390000 L,12595 km
YTZ,LGA,2019-12-08,€5.000000,175.710000 kg,21.290000 L,606 km
LGA,SEA,2019-12-12,€23.000000,998.810000 kg,88.430000 L,3927 km
SEA,PDX,2019-12-12,€5.000000,39.000000 kg,9.870000 L,256 km
PDX,SEA,2019-12-15,€5.000000,39.000000 kg,9.870000 L,256 km
SEA,SFO,2019-12-15,€7.000000,278.000000 kg,27.840000 L,1140 km
SFO,SEA,2019-12-31,€7.000000,278.000000 kg,27.840000 L,1140 km
SEA,SEA,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
