DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,HAM,2019-05-25,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-06-14,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,TNT,2019-06-16,€6.000000,229.760000 kg,25.070000 L,790 km
TNT,TXL,2019-08-09,€6.000000,229.760000 kg,25.070000 L,790 km
TXL,PUJ,2019-08-09,€50.000000,2156.000000 kg,186.070000 L,7865 km
PUJ,TXL,2019-11-01,€50.000000,2156.000000 kg,186.070000 L,7865 km
TXL,DET,2019-11-01,€47.000000,2032.230000 kg,176.100000 L,6830 km
DET,CLO,2019-11-10,€28.000000,1175.160000 kg,103.370000 L,4443 km
CLO,TXL,2019-12-27,€74.000000,3181.070000 kg,273.390000 L,9756 km
TXL,TXL,2019-12-27,€5.000000,10.190000 kg,2.570000 L,50 km
