DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DTW,IBZ,2019-01-01,€48.000000,2061.610000 kg,178.600000 L,6912 km
IBZ,DTW,2019-01-18,€48.000000,2061.610000 kg,178.600000 L,6912 km
DTW,LBG,2019-01-18,€44.000000,1881.820000 kg,163.340000 L,6411 km
LBG,MPL,2019-01-19,€5.000000,191.220000 kg,22.320000 L,660 km
MPL,YTZ,2019-02-02,€44.000000,1898.710000 kg,164.770000 L,6458 km
YTZ,DTW,2019-02-09,€5.000000,106.180000 kg,16.910000 L,408 km
DTW,DET,2019-02-09,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-02-14,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DET,2019-02-14,€5.000000,17.360000 kg,4.390000 L,85 km
DET,LGA,2019-02-16,€6.000000,242.760000 kg,26.110000 L,831 km
LGA,DTW,2019-02-22,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,SFO,2019-02-22,€18.000000,751.000000 kg,66.830000 L,3386 km
SFO,DEN,2019-02-23,€9.000000,388.000000 kg,36.960000 L,1603 km
DEN,DTW,2019-03-01,€12.000000,484.000000 kg,45.310000 L,1851 km
DTW,BCN,2019-03-01,€47.000000,2027.990000 kg,175.740000 L,6818 km
BCN,LBG,2019-03-02,€7.000000,265.650000 kg,27.940000 L,903 km
LBG,OPO,2019-03-04,€9.000000,364.840000 kg,35.950000 L,1278 km
OPO,GVA,2019-03-08,€9.000000,354.000000 kg,34.430000 L,1357 km
GVA,OSL,2019-03-15,€11.000000,453.220000 kg,43.100000 L,1636 km
OSL,HEM,2019-03-16,€6.000000,239.660000 kg,25.860000 L,821 km
HEM,EOH,2019-03-23,€76.000000,3301.900000 kg,283.620000 L,10049 km
EOH,DTW,2019-03-26,€25.000000,1062.910000 kg,93.850000 L,4130 km
DTW,TNT,2019-03-26,€50.000000,2146.850000 kg,185.820000 L,7136 km
TNT,MAD,2019-03-29,€10.000000,392.800000 kg,38.210000 L,1391 km
MAD,LYN,2019-03-30,€7.000000,281.900000 kg,29.240000 L,955 km
LYN,OBF,2019-04-05,€5.000000,173.450000 kg,21.130000 L,598 km
OBF,POZ,2019-04-12,€5.000000,194.870000 kg,22.570000 L,673 km
POZ,GVA,2019-04-13,€8.000000,317.380000 kg,32.100000 L,1086 km
GVA,SDV,2019-04-20,€18.000000,769.120000 kg,69.250000 L,2956 km
SDV,CIA,2019-04-24,€15.000000,618.080000 kg,56.640000 L,2317 km
CIA,NHT,2019-04-28,€10.000000,418.800000 kg,40.320000 L,1497 km
NHT,NKX,2019-05-02,€66.000000,2829.060000 kg,243.580000 L,8865 km
NKX,DTW,2019-05-10,€19.000000,825.350000 kg,73.950000 L,3193 km
DTW,TNT,2019-05-10,€50.000000,2146.850000 kg,185.820000 L,7136 km
TNT,DTW,2019-05-18,€50.000000,2146.850000 kg,185.820000 L,7136 km
DTW,LGA,2019-05-18,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,YHU,2019-05-19,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,DTW,2019-05-25,€6.000000,254.410000 kg,27.040000 L,868 km
DTW,DET,2019-05-25,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-06-01,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,LYN,2019-06-01,€47.000000,2004.840000 kg,173.780000 L,6754 km
LYN,DET,2019-06-06,€46.000000,1992.230000 kg,172.710000 L,6719 km
DET,VIC,2019-06-07,€50.000000,2155.190000 kg,186.530000 L,7157 km
VIC,IBZ,2019-06-17,€8.000000,338.090000 kg,33.780000 L,1170 km
IBZ,HND,2019-06-28,€85.000000,3659.280000 kg,313.910000 L,10765 km
HND,QPG,2019-06-29,€35.000000,1504.630000 kg,131.330000 L,5361 km
QPG,JMK,2019-07-03,€66.000000,2869.460000 kg,247.010000 L,8967 km
JMK,MAD,2019-07-07,€16.000000,676.560000 kg,61.530000 L,2564 km
MAD,BCN,2019-07-11,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,GPA,2019-07-20,€12.000000,484.030000 kg,45.600000 L,1761 km
GPA,IBZ,2019-07-22,€12.000000,499.040000 kg,46.820000 L,1822 km
IBZ,VIY,2019-07-28,€8.000000,334.260000 kg,33.470000 L,1154 km
VIY,IBZ,2019-07-29,€8.000000,334.260000 kg,33.470000 L,1154 km
IBZ,EDI,2019-08-02,€13.000000,538.880000 kg,50.040000 L,1983 km
EDI,GLA,2019-08-03,€5.000000,21.750000 kg,5.500000 L,106 km
GLA,BOD,2019-08-09,€9.000000,371.340000 kg,36.470000 L,1305 km
BOD,VIE,2019-08-10,€10.000000,396.260000 kg,38.490000 L,1405 km
VIE,MLH,2019-08-17,€5.000000,209.000000 kg,23.510000 L,722 km
MLH,IBZ,2019-08-19,€8.000000,333.170000 kg,33.380000 L,1150 km
IBZ,PMI,2019-08-23,€5.000000,26.000000 kg,6.580000 L,190 km
PMI,CIA,2019-08-24,€7.000000,261.180000 kg,27.580000 L,889 km
CIA,LCY,2019-08-25,€10.000000,412.640000 kg,39.820000 L,1472 km
LCY,OSL,2019-08-30,€9.000000,353.140000 kg,35.000000 L,1231 km
OSL,LIS,2019-09-06,€15.000000,652.000000 kg,58.730000 L,2816 km
LIS,CIA,2019-09-07,€12.000000,516.000000 kg,48.190000 L,1890 km
CIA,BCN,2019-09-08,€7.000000,263.430000 kg,27.760000 L,896 km
BCN,FAO,2019-09-12,€8.000000,305.320000 kg,31.130000 L,1037 km
FAO,BRU,2019-09-13,€12.000000,510.000000 kg,47.590000 L,1881 km
BRU,SVQ,2019-09-14,€12.000000,488.000000 kg,45.820000 L,1758 km
SVQ,FAO,2019-09-15,€5.000000,48.450000 kg,12.260000 L,237 km
FAO,IBZ,2019-09-16,€7.000000,261.750000 kg,27.630000 L,891 km
IBZ,HAM,2019-09-20,€9.000000,387.000000 kg,36.200000 L,1814 km
HAM,CGN,2019-09-21,€5.000000,101.000000 kg,15.690000 L,412 km
CGN,DXB,2019-09-27,€32.000000,1382.180000 kg,120.940000 L,5020 km
DXB,LEJ,2019-09-28,€30.000000,1264.580000 kg,110.960000 L,4692 km
LEJ,IBZ,2019-09-30,€11.000000,466.360000 kg,44.170000 L,1689 km
IBZ,BFI,2019-10-04,€67.000000,2870.150000 kg,247.060000 L,8969 km
BFI,ZUN,2019-10-05,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,DTW,2019-10-11,€0.000000,0.000000 kg,0.000000 L,0 km
DTW,DCA,2019-10-11,€5.000000,193.000000 kg,22.020000 L,700 km
DCA,LGA,2019-10-12,€5.000000,91.000000 kg,14.680000 L,393 km
LGA,DTW,2019-10-18,€6.000000,250.000000 kg,26.580000 L,855 km
