DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,TXL,2019-01-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-01-11,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ORY,2019-01-11,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,SXF,2019-01-19,€7.000000,277.190000 kg,28.870000 L,940 km
SXF,TAR,2019-01-19,€10.000000,398.780000 kg,38.700000 L,1416 km
TAR,TXL,2019-01-20,€10.000000,401.320000 kg,38.900000 L,1426 km
TXL,SXF,2019-01-25,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-01-25,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,FRA,2019-01-26,€5.000000,111.000000 kg,15.180000 L,481 km
FRA,SXF,2019-02-02,€5.000000,140.910000 kg,18.990000 L,490 km
SXF,LCY,2019-02-02,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-02-08,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,LIN,2019-02-08,€7.000000,262.280000 kg,27.670000 L,893 km
LIN,SXF,2019-02-16,€7.000000,262.280000 kg,27.670000 L,893 km
SXF,TXL,2019-02-16,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-01,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ORY,2019-03-01,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,DUB,2019-03-02,€6.000000,248.350000 kg,26.560000 L,849 km
DUB,SXF,2019-03-06,€9.000000,388.500000 kg,37.860000 L,1374 km
SXF,SFO,2019-03-06,€68.000000,2955.670000 kg,254.300000 L,9185 km
SFO,OBF,2019-03-08,€71.000000,3080.400000 kg,264.870000 L,9501 km
OBF,BUD,2019-03-09,€5.000000,187.930000 kg,22.100000 L,649 km
BUD,SXF,2019-03-16,€5.000000,216.140000 kg,23.990000 L,747 km
SXF,TXL,2019-03-16,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,AMS,2019-03-17,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,SXF,2019-03-21,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,TXL,2019-03-21,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,STR,2019-03-22,€5.000000,159.000000 kg,19.740000 L,565 km
STR,CGN,2019-03-23,€5.000000,74.780000 kg,15.040000 L,334 km
CGN,SXF,2019-03-30,€5.000000,152.180000 kg,19.710000 L,524 km
SXF,BEY,2019-03-30,€17.000000,719.000000 kg,64.810000 L,2752 km
BEY,BWE,2019-04-06,€18.000000,756.740000 kg,68.220000 L,2903 km
BWE,SXF,2019-04-12,€5.000000,53.200000 kg,13.110000 L,258 km
SXF,LYN,2019-04-12,€7.000000,302.810000 kg,30.920000 L,1027 km
LYN,SXF,2019-04-20,€7.000000,302.810000 kg,30.920000 L,1027 km
SXF,DPS,2019-04-20,€95.000000,4090.990000 kg,350.510000 L,11629 km
DPS,STR,2019-04-30,€99.000000,4261.250000 kg,364.940000 L,11970 km
STR,TXL,2019-05-01,€5.000000,159.000000 kg,19.740000 L,565 km
TXL,SXF,2019-05-03,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HAM,2019-05-04,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-05-07,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,PRG,2019-05-07,€5.000000,72.650000 kg,14.900000 L,328 km
PRG,ZUN,2019-05-09,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,YHU,2019-05-10,€0.000000,0.000000 kg,0.000000 L,0 km
YHU,ATL,2019-05-11,€11.000000,457.030000 kg,43.410000 L,1651 km
ATL,SXB,2019-05-24,€53.000000,2281.130000 kg,197.190000 L,7476 km
SXB,EIN,2019-05-25,€5.000000,107.890000 kg,17.020000 L,412 km
EIN,TXL,2019-05-26,€5.000000,175.590000 kg,21.280000 L,606 km
TXL,SXF,2019-06-01,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-06-01,€5.000000,13.420000 kg,3.390000 L,65 km
BRS,SXF,2019-06-21,€8.000000,337.490000 kg,33.730000 L,1168 km
SXF,SYD,2019-06-21,€0.000000,0.000000 kg,0.000000 L,0 km
SYD,KNX,2019-06-22,€0.000000,0.000000 kg,0.000000 L,0 km
KNX,ZQN,2019-06-27,€0.000000,0.000000 kg,0.000000 L,0 km
ZQN,AKL,2019-06-28,€0.000000,0.000000 kg,0.000000 L,0 km
AKL,SYD,2019-07-07,€0.000000,0.000000 kg,0.000000 L,0 km
SYD,BUD,2019-07-12,€0.000000,0.000000 kg,0.000000 L,0 km
BUD,SXF,2019-07-18,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,TXL,2019-07-18,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,EDI,2019-07-19,€0.000000,0.000000 kg,0.000000 L,0 km
EDI,LBG,2019-07-20,€0.000000,0.000000 kg,0.000000 L,0 km
LBG,SXF,2019-07-25,€0.000000,0.000000 kg,0.000000 L,0 km
MLA,SXF,2019-08-03,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,HAM,2019-08-03,€0.000000,0.000000 kg,0.000000 L,0 km
HAM,SXF,2019-08-07,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,TXL,2019-08-07,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,OSL,2019-08-09,€0.000000,0.000000 kg,0.000000 L,0 km
OSL,SXF,2019-08-17,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,NUE,2019-08-17,€0.000000,0.000000 kg,0.000000 L,0 km
NUE,SXF,2019-08-24,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,LBG,2019-08-24,€0.000000,0.000000 kg,0.000000 L,0 km
LBG,IBZ,2019-08-26,€0.000000,0.000000 kg,0.000000 L,0 km
IBZ,SXF,2019-08-31,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,CPH,2019-08-31,€0.000000,0.000000 kg,0.000000 L,0 km
CPH,SXF,2019-09-06,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,FRA,2019-09-06,€0.000000,0.000000 kg,0.000000 L,0 km
FRA,TXL,2019-09-08,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,SXF,2019-09-13,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,DXB,2019-09-13,€0.000000,0.000000 kg,0.000000 L,0 km
ERF,SXF,2019-09-28,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,DET,2019-09-28,€0.000000,0.000000 kg,0.000000 L,0 km
DET,BOG,2019-10-04,€0.000000,0.000000 kg,0.000000 L,0 km
BOG,EOH,2019-10-05,€0.000000,0.000000 kg,0.000000 L,0 km
EOH,MAN,2019-10-10,€0.000000,0.000000 kg,0.000000 L,0 km
MAN,MHG,2019-10-12,€0.000000,0.000000 kg,0.000000 L,0 km
MHG,SXF,2019-10-16,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,AMS,2019-10-16,€0.000000,0.000000 kg,0.000000 L,0 km
AMS,FRA,2019-10-18,€0.000000,0.000000 kg,0.000000 L,0 km
FRA,SXF,2019-10-24,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,CVT,2019-10-24,€0.000000,0.000000 kg,0.000000 L,0 km
CVT,SXF,2019-10-31,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,ESS,2019-10-31,€0.000000,0.000000 kg,0.000000 L,0 km
ESS,GVA,2019-11-02,€0.000000,0.000000 kg,0.000000 L,0 km
GVA,SXF,2019-11-08,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,MAN,2019-11-08,€0.000000,0.000000 kg,0.000000 L,0 km
MAN,MXP,2019-11-09,€0.000000,0.000000 kg,0.000000 L,0 km
MXP,SXF,2019-11-23,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,LEJ,2019-11-23,€0.000000,0.000000 kg,0.000000 L,0 km
LEJ,SXF,2019-11-29,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,TXL,2019-11-29,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,AMS,2019-11-30,€0.000000,0.000000 kg,0.000000 L,0 km
AMS,SXF,2019-12-05,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,HAM,2019-12-05,€0.000000,0.000000 kg,0.000000 L,0 km
HAM,BOD,2019-12-06,€0.000000,0.000000 kg,0.000000 L,0 km
BOD,LBG,2019-12-07,€0.000000,0.000000 kg,0.000000 L,0 km
LBG,SXF,2019-12-13,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,LCY,2019-12-13,€0.000000,0.000000 kg,0.000000 L,0 km
LCY,BHD,2019-12-14,€0.000000,0.000000 kg,0.000000 L,0 km
BHD,SXF,2019-12-19,€0.000000,0.000000 kg,0.000000 L,0 km
SXF,TXL,2019-12-19,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,SXF,2019-12-25,€0.000000,0.000000 kg,0.000000 L,0 km
