DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HCS,SDV,2019-02-15,€45.000000,1945.100000 kg,168.710000 L,6588 km
SDV,BCN,2019-02-23,€19.000000,808.040000 kg,72.500000 L,3120 km
BCN,GCJ,2019-03-02,€58.000000,2510.940000 kg,216.650000 L,8058 km
GCJ,HCS,2019-03-08,€5.000000,10.200000 kg,2.580000 L,50 km
HCS,VIY,2019-03-08,€65.000000,2808.660000 kg,241.860000 L,8813 km
VIY,HCS,2019-04-28,€65.000000,2808.660000 kg,241.860000 L,8813 km
HCS,IBZ,2019-04-28,€56.000000,2424.930000 kg,209.360000 L,7841 km
IBZ,HCS,2019-05-25,€56.000000,2424.930000 kg,209.360000 L,7841 km
HCS,BMA,2019-05-25,€73.000000,3133.880000 kg,269.400000 L,9637 km
BMA,IBZ,2019-05-31,€16.000000,688.480000 kg,62.520000 L,2615 km
IBZ,GVA,2019-06-14,€7.000000,282.740000 kg,29.310000 L,958 km
GVA,JMK,2019-06-16,€13.000000,521.920000 kg,48.670000 L,1914 km
JMK,TXL,2019-06-27,€13.000000,537.440000 kg,49.920000 L,1977 km
TXL,IBZ,2019-06-29,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,GEL,2019-07-06,€71.000000,3077.180000 kg,264.590000 L,9493 km
GEL,LCY,2019-07-20,€80.000000,3474.500000 kg,298.250000 L,10395 km
LCY,IBZ,2019-07-27,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,HCS,2019-08-17,€56.000000,2424.930000 kg,209.360000 L,7841 km
HCS,IBZ,2019-08-17,€56.000000,2424.930000 kg,209.360000 L,7841 km
IBZ,MMX,2019-08-31,€14.000000,569.220000 kg,52.560000 L,2110 km
MMX,IBZ,2019-09-01,€14.000000,569.220000 kg,52.560000 L,2110 km
IBZ,MXP,2019-09-07,€7.000000,279.000000 kg,28.600000 L,1012 km
MXP,CIA,2019-09-12,€5.000000,162.540000 kg,20.410000 L,560 km
CIA,TXL,2019-09-14,€9.000000,357.980000 kg,35.390000 L,1250 km
TXL,HCS,2019-10-04,€66.000000,2865.310000 kg,246.650000 L,8956 km
HCS,BBU,2019-10-04,€57.000000,2463.210000 kg,212.610000 L,7938 km
BBU,BCN,2019-10-18,€13.000000,550.590000 kg,51.010000 L,2032 km
BCN,AMS,2019-10-19,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,LCY,2019-11-01,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,VIY,2019-11-02,€5.000000,98.670000 kg,16.470000 L,390 km
VIY,SKP,2019-11-08,€11.000000,476.360000 kg,44.980000 L,1730 km
SKP,HAM,2019-11-09,€11.000000,444.470000 kg,42.400000 L,1601 km
MEB,SYD,2019-11-16,€6.000000,218.980000 kg,24.200000 L,756 km
SYD,HCS,2019-12-06,€88.000000,3800.290000 kg,325.870000 L,11047 km
HCS,TNT,2019-12-06,€60.000000,2605.680000 kg,224.670000 L,8299 km
HCS,HCS,2019-12-31,€0.000000,0.000000 kg,0.000000 L,0 km
