DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AHO,TXL,2019-01-18,€10.000000,402.680000 kg,39.010000 L,1431 km
TXL,AHO,2019-02-08,€10.000000,402.680000 kg,39.010000 L,1431 km
AHO,VIC,2019-02-08,€5.000000,190.700000 kg,22.290000 L,658 km
VIC,AHO,2019-03-16,€5.000000,190.700000 kg,22.290000 L,658 km
AHO,AVB,2019-03-16,€5.000000,216.500000 kg,24.010000 L,748 km
AVB,AHO,2019-04-04,€5.000000,216.500000 kg,24.010000 L,748 km
AHO,FLR,2019-04-04,€5.000000,135.110000 kg,18.640000 L,476 km
FLR,AHO,2019-04-11,€5.000000,135.110000 kg,18.640000 L,476 km
AHO,LIN,2019-04-11,€5.000000,171.590000 kg,21.010000 L,592 km
LIN,LCY,2019-04-12,€7.000000,297.740000 kg,30.510000 L,1007 km
LCY,AHO,2019-04-20,€10.000000,398.670000 kg,38.690000 L,1415 km
AHO,TXL,2019-04-20,€10.000000,402.680000 kg,39.010000 L,1431 km
TXL,AHO,2019-04-25,€10.000000,402.680000 kg,39.010000 L,1431 km
AHO,RMI,2019-04-25,€5.000000,164.470000 kg,20.530000 L,567 km
RMI,AHO,2019-05-31,€5.000000,164.470000 kg,20.530000 L,567 km
AHO,VIC,2019-05-31,€5.000000,190.700000 kg,22.290000 L,658 km
VIC,AHO,2019-06-07,€5.000000,190.700000 kg,22.290000 L,658 km
AHO,LIN,2019-06-07,€5.000000,171.590000 kg,21.010000 L,592 km
LIN,AHO,2019-06-26,€5.000000,171.590000 kg,21.010000 L,592 km
AHO,BMA,2019-06-26,€14.000000,599.860000 kg,55.120000 L,2240 km
BMA,AHO,2019-08-04,€14.000000,599.860000 kg,55.120000 L,2240 km
AHO,NAP,2019-08-04,€5.000000,161.300000 kg,20.320000 L,556 km
NAP,AHO,2019-08-09,€5.000000,161.300000 kg,20.320000 L,556 km
AHO,PSR,2019-08-09,€5.000000,169.370000 kg,20.860000 L,584 km
PSR,AHO,2019-09-06,€5.000000,169.370000 kg,20.860000 L,584 km
AHO,PEG,2019-09-06,€5.000000,143.100000 kg,19.120000 L,495 km
PEG,AHO,2019-09-21,€5.000000,143.100000 kg,19.120000 L,495 km
AHO,LYN,2019-09-21,€5.000000,196.490000 kg,22.670000 L,678 km
LYN,AHO,2019-11-09,€5.000000,196.490000 kg,22.670000 L,678 km
AHO,NAP,2019-11-09,€5.000000,161.300000 kg,20.320000 L,556 km
NAP,AHO,2019-11-22,€5.000000,161.300000 kg,20.320000 L,556 km
AHO,SFO,2019-11-22,€76.000000,3293.190000 kg,282.890000 L,10032 km
SFO,AHO,2019-12-20,€76.000000,3293.190000 kg,282.890000 L,10032 km
AHO,LCY,2019-12-20,€10.000000,398.670000 kg,38.690000 L,1415 km
LCY,AHO,2019-12-25,€10.000000,398.670000 kg,38.690000 L,1415 km
AHO,AHO,2019-12-25,€0.000000,0.000000 kg,0.000000 L,0 km
