DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ELS,AVV,2019-01-01,€74.000000,3203.850000 kg,275.320000 L,9814 km
AVV,HBA,2019-01-05,€5.000000,186.140000 kg,21.980000 L,642 km
HBA,MEB,2019-01-06,€5.000000,192.110000 kg,22.380000 L,663 km
MEB,ELS,2019-01-24,€75.000000,3223.950000 kg,277.020000 L,9865 km
ELS,QPG,2019-01-24,€66.000000,2826.690000 kg,243.380000 L,8859 km
QPG,KUL,2019-01-25,€5.000000,87.460000 kg,15.790000 L,364 km
KUL,HLP,2019-01-26,€9.000000,388.000000 kg,38.480000 L,1202 km
HLP,SSN,2019-02-01,€35.000000,1502.250000 kg,131.130000 L,5354 km
SSN,HND,2019-02-08,€9.000000,348.350000 kg,34.610000 L,1211 km
MEB,SFO,2019-02-28,€107.000000,4633.950000 kg,396.530000 L,12717 km
SFO,BFI,2019-03-01,€8.000000,334.030000 kg,33.450000 L,1153 km
BFI,SAN,2019-03-03,€12.000000,482.030000 kg,45.440000 L,1753 km
SAN,DEN,2019-03-06,€9.000000,352.000000 kg,33.920000 L,1420 km
DEN,DAL,2019-03-07,€8.000000,321.550000 kg,32.440000 L,1103 km
DAL,LGA,2019-03-08,€14.000000,607.160000 kg,55.730000 L,2271 km
LGA,ZUN,2019-03-09,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,DCA,2019-03-13,€0.000000,0.000000 kg,0.000000 L,0 km
DCA,YHU,2019-03-16,€6.000000,251.090000 kg,26.780000 L,857 km
YHU,ELS,2019-04-03,€116.000000,5036.210000 kg,430.620000 L,13522 km
ELS,EMA,2019-04-03,€76.000000,3286.920000 kg,282.350000 L,10019 km
EMA,LCY,2019-04-05,€5.000000,45.760000 kg,11.580000 L,224 km
LCY,ORY,2019-04-06,€5.000000,98.000000 kg,15.690000 L,399 km
ORY,ELS,2019-04-12,€71.000000,3078.410000 kg,264.700000 L,9496 km
ELS,BUD,2019-04-12,€67.000000,2902.360000 kg,249.790000 L,9050 km
BUD,SKU,2019-04-13,€8.000000,319.340000 kg,32.260000 L,1094 km
SKU,ELS,2019-04-20,€58.000000,2513.320000 kg,216.850000 L,8065 km
ELS,AMS,2019-04-20,€74.000000,3203.740000 kg,275.310000 L,9814 km
AMS,ELS,2019-04-25,€74.000000,3203.740000 kg,275.310000 L,9814 km
ELS,MAD,2019-04-25,€65.000000,2821.930000 kg,242.980000 L,8846 km
MAD,ZRH,2019-04-26,€8.000000,309.000000 kg,30.370000 L,1286 km
ZRH,BEG,2019-04-27,€7.000000,274.000000 kg,28.100000 L,1001 km
BEG,TXL,2019-04-28,€8.000000,318.000000 kg,32.400000 L,1049 km
TXL,LBA,2019-04-30,€8.000000,309.600000 kg,31.480000 L,1055 km
LBA,NCL,2019-05-01,€5.000000,36.700000 kg,9.290000 L,179 km
NCL,MAN,2019-05-02,€5.000000,49.160000 kg,12.440000 L,240 km
MAN,LPL,2019-05-03,€5.000000,18.340000 kg,4.640000 L,89 km
LPL,LCY,2019-05-04,€5.000000,74.590000 kg,15.030000 L,333 km
LCY,EMA,2019-05-05,€5.000000,45.760000 kg,11.580000 L,224 km
EMA,ELS,2019-05-11,€76.000000,3286.920000 kg,282.350000 L,10019 km
ELS,BHD,2019-05-11,€80.000000,3441.680000 kg,295.470000 L,10329 km
BHD,ELS,2019-05-18,€80.000000,3441.680000 kg,295.470000 L,10329 km
ELS,SOU,2019-05-18,€74.000000,3209.680000 kg,275.810000 L,9829 km
SOU,ELS,2019-05-24,€74.000000,3209.680000 kg,275.810000 L,9829 km
ELS,MAN,2019-05-24,€77.000000,3326.200000 kg,285.680000 L,10098 km
MAN,NCE,2019-05-25,€9.000000,378.140000 kg,37.030000 L,1332 km
NCE,ELS,2019-05-30,€65.000000,2820.510000 kg,242.860000 L,8843 km
ELS,AMS,2019-05-30,€74.000000,3203.740000 kg,275.310000 L,9814 km
AMS,BHD,2019-05-31,€6.000000,233.080000 kg,25.330000 L,800 km
BHD,LCY,2019-06-01,€5.000000,167.020000 kg,20.710000 L,576 km
LCY,ELS,2019-06-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-06-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,NCL,2019-06-10,€5.000000,127.520000 kg,18.190000 L,458 km
NCL,ELS,2019-06-14,€79.000000,3403.600000 kg,292.240000 L,10253 km
ELS,BCN,2019-06-14,€64.000000,2778.610000 kg,239.310000 L,8737 km
BCN,LCY,2019-06-15,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,ELS,2019-06-19,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,MHG,2019-06-19,€71.000000,3054.050000 kg,262.640000 L,9435 km
MHG,ELS,2019-06-22,€71.000000,3054.050000 kg,262.640000 L,9435 km
ELS,LCY,2019-06-22,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-06-29,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-06-29,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-07-06,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,ZUN,2019-07-06,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,LWR,2019-07-12,€0.000000,0.000000 kg,0.000000 L,0 km
LWR,ELS,2019-07-19,€75.000000,3233.290000 kg,277.810000 L,9889 km
ELS,GLA,2019-07-19,€81.000000,3480.790000 kg,298.780000 L,10408 km
GLA,ELS,2019-07-27,€81.000000,3480.790000 kg,298.780000 L,10408 km
ELS,MUC,2019-07-27,€69.000000,2981.520000 kg,256.490000 L,9251 km
MUC,ELS,2019-08-02,€69.000000,2981.520000 kg,256.490000 L,9251 km
ELS,CTA,2019-08-02,€58.000000,2491.940000 kg,215.040000 L,8010 km
CTA,MLA,2019-08-03,€5.000000,43.000000 kg,10.880000 L,237 km
MLA,ELS,2019-08-16,€56.000000,2427.190000 kg,209.560000 L,7846 km
ELS,TRD,2019-08-16,€86.000000,3726.120000 kg,319.580000 L,10899 km
TRD,DUB,2019-08-17,€10.000000,423.760000 kg,40.720000 L,1517 km
DUB,ELS,2019-08-22,€78.000000,3389.130000 kg,291.020000 L,10224 km
ELS,QPG,2019-08-22,€66.000000,2826.690000 kg,243.380000 L,8859 km
QPG,TSA,2019-08-23,€20.000000,852.130000 kg,76.180000 L,3307 km
TSA,BKK,2019-08-24,€16.000000,683.010000 kg,62.060000 L,2592 km
BKK,SSN,2019-08-30,€23.000000,962.820000 kg,85.430000 L,3775 km
SSN,HND,2019-08-31,€9.000000,348.350000 kg,34.610000 L,1211 km
HND,LCY,2019-09-06,€72.000000,3130.370000 kg,269.100000 L,9628 km
LCY,ORY,2019-09-07,€5.000000,98.000000 kg,15.690000 L,399 km
ORY,ELS,2019-09-10,€71.000000,3078.410000 kg,264.700000 L,9496 km
ELS,LIN,2019-09-10,€67.000000,2877.130000 kg,247.660000 L,8986 km
LIN,QHD,2019-09-12,€0.000000,0.000000 kg,0.000000 L,0 km
QHD,TXL,2019-09-13,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,CGN,2019-09-14,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,ELS,2019-09-20,€72.000000,3123.050000 kg,268.480000 L,9609 km
ELS,GVA,2019-09-20,€68.000000,2938.330000 kg,252.840000 L,9141 km
GVA,BCN,2019-09-21,€5.000000,163.000000 kg,18.730000 L,687 km
BCN,ELS,2019-09-26,€64.000000,2778.610000 kg,239.310000 L,8737 km
ELS,BRU,2019-09-26,€73.000000,3147.810000 kg,270.570000 L,9672 km
BRU,TNT,2019-09-27,€6.000000,225.790000 kg,24.750000 L,777 km
TNT,DCA,2019-09-28,€48.000000,2076.950000 kg,179.900000 L,6955 km
DCA,YHU,2019-09-29,€6.000000,251.090000 kg,26.780000 L,857 km
YHU,HHR,2019-10-03,€24.000000,1009.320000 kg,89.310000 L,3971 km
HHR,SFO,2019-10-04,€5.000000,173.730000 kg,21.150000 L,599 km
SFO,LGA,2019-10-06,€25.000000,1086.830000 kg,95.880000 L,4197 km
