DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LAX,LGA,2019-02-08,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-03-09,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,AVV,2019-03-09,€109.000000,4710.090000 kg,402.980000 L,12869 km
AVV,SFO,2019-03-16,€108.000000,4658.420000 kg,398.600000 L,12766 km
SFO,LAX,2019-03-30,€5.000000,147.000000 kg,17.720000 L,594 km
LAX,TNT,2019-03-30,€74.000000,3214.680000 kg,276.240000 L,9842 km
TNT,LAX,2019-04-06,€74.000000,3214.680000 kg,276.240000 L,9842 km
LAX,LGA,2019-04-06,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-04-12,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,AMS,2019-04-12,€81.000000,3482.000000 kg,299.740000 L,9001 km
AMS,RTM,2019-04-13,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,LCY,2019-04-18,€5.000000,83.520000 kg,15.560000 L,354 km
LCY,LIS,2019-04-20,€11.000000,454.010000 kg,43.170000 L,1639 km
LIS,OIM,2019-04-27,€91.000000,3916.600000 kg,335.720000 L,11280 km
OIM,HHR,2019-05-04,€66.000000,2865.780000 kg,246.690000 L,8958 km
HHR,LAX,2019-05-17,€5.000000,11.210000 kg,2.830000 L,54 km
LAX,NKX,2019-05-17,€5.000000,46.610000 kg,11.800000 L,228 km
NKX,LAX,2019-05-24,€5.000000,46.610000 kg,11.800000 L,228 km
LAX,DET,2019-05-24,€20.000000,841.550000 kg,75.300000 L,3262 km
DET,LAX,2019-06-09,€20.000000,841.550000 kg,75.300000 L,3262 km
LAX,BUR,2019-06-09,€5.000000,16.320000 kg,4.130000 L,80 km
BUR,LAX,2019-06-15,€5.000000,16.320000 kg,4.130000 L,80 km
LAX,LGA,2019-06-15,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-06-22,€24.000000,1023.260000 kg,90.480000 L,4020 km
ZAD,BUR,2019-07-12,€78.000000,3372.910000 kg,289.640000 L,10192 km
BUR,LAX,2019-08-03,€5.000000,16.320000 kg,4.130000 L,80 km
LAX,SFO,2019-08-03,€5.000000,147.000000 kg,17.720000 L,594 km
SFO,LAX,2019-08-10,€5.000000,147.000000 kg,17.720000 L,594 km
LAX,LCY,2019-08-10,€65.000000,2820.810000 kg,242.890000 L,8844 km
LCY,IBZ,2019-08-12,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,BCN,2019-08-23,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,IBZ,2019-08-26,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,LCY,2019-10-05,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,HHR,2019-10-19,€65.000000,2820.400000 kg,242.850000 L,8843 km
HHR,LAX,2019-11-22,€5.000000,11.210000 kg,2.830000 L,54 km
LAX,NGO,2019-11-22,€68.000000,2924.150000 kg,251.640000 L,9105 km
NGO,ITM,2019-11-24,€5.000000,39.650000 kg,10.030000 L,194 km
ITM,HND,2019-11-29,€5.000000,114.000000 kg,16.200000 L,452 km
HND,LAX,2019-12-31,€73.000000,3133.000000 kg,269.870000 L,8860 km
LAX,LAX,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
