DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HAM,LGA,2019-02-08,€42.000000,1795.080000 kg,155.980000 L,6170 km
LGA,HAM,2019-03-29,€42.000000,1795.080000 kg,155.980000 L,6170 km
HAM,LCY,2019-03-29,€6.000000,220.270000 kg,24.310000 L,760 km
LCY,HAM,2019-04-05,€6.000000,220.270000 kg,24.310000 L,760 km
HAM,BOG,2019-04-05,€69.000000,2985.280000 kg,256.810000 L,9260 km
BOG,TLC,2019-04-06,€20.000000,839.340000 kg,75.120000 L,3253 km
TLC,AMS,2019-04-20,€70.000000,3003.910000 kg,258.390000 L,9308 km
AMS,HAM,2019-05-08,€5.000000,125.000000 kg,18.480000 L,428 km
HAM,BFL,2019-05-08,€67.000000,2892.920000 kg,248.990000 L,9026 km
LGA,BMA,2019-05-25,€43.000000,1862.570000 kg,161.710000 L,6358 km
BMA,IBZ,2019-05-26,€16.000000,688.480000 kg,62.520000 L,2615 km
IBZ,HAM,2019-05-31,€9.000000,387.000000 kg,36.200000 L,1814 km
HAM,EIN,2019-05-31,€5.000000,121.670000 kg,17.840000 L,444 km
EIN,AMS,2019-06-01,€5.000000,31.600000 kg,8.000000 L,154 km
AMS,HAM,2019-06-07,€5.000000,125.000000 kg,18.480000 L,428 km
HAM,NHT,2019-06-07,€6.000000,228.890000 kg,25.000000 L,787 km
NHT,MAN,2019-06-08,€5.000000,61.350000 kg,13.860000 L,287 km
MAN,HAM,2019-06-28,€7.000000,271.000000 kg,28.860000 L,859 km
HAM,BZR,2019-06-28,€9.000000,369.250000 kg,36.300000 L,1296 km
BZR,HAM,2019-07-05,€9.000000,369.250000 kg,36.300000 L,1296 km
HAM,BRU,2019-07-05,€5.000000,183.000000 kg,23.290000 L,530 km
BRU,HAM,2019-07-17,€5.000000,183.000000 kg,23.290000 L,530 km
HAM,BCN,2019-07-17,€8.000000,334.000000 kg,31.890000 L,1542 km
BCN,HAM,2019-08-09,€8.000000,334.000000 kg,31.890000 L,1542 km
HAM,SFO,2019-08-09,€66.000000,2861.490000 kg,246.330000 L,8947 km
SFO,ZAD,2019-08-18,€76.000000,3299.620000 kg,283.430000 L,10045 km
ZAD,IBZ,2019-08-19,€9.000000,383.160000 kg,37.430000 L,1352 km
IBZ,HAM,2019-08-26,€9.000000,387.000000 kg,36.200000 L,1814 km
HAM,IBZ,2019-08-26,€9.000000,387.000000 kg,36.200000 L,1814 km
IBZ,HAM,2019-09-06,€9.000000,387.000000 kg,36.200000 L,1814 km
HAM,IBZ,2019-09-06,€9.000000,387.000000 kg,36.200000 L,1814 km
IBZ,BCN,2019-09-07,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,HAM,2019-09-30,€8.000000,334.000000 kg,31.890000 L,1542 km
HAM,SDV,2019-09-30,€19.000000,815.630000 kg,73.140000 L,3152 km
SDV,HAM,2019-11-16,€19.000000,815.630000 kg,73.140000 L,3152 km
HAM,SCL,2019-11-16,€104.000000,4501.770000 kg,385.320000 L,12452 km
SCL,HAM,2019-12-07,€104.000000,4501.770000 kg,385.320000 L,12452 km
HAM,HND,2019-12-07,€67.000000,2901.000000 kg,249.680000 L,9047 km
HND,SYD,2019-12-12,€57.000000,2438.690000 kg,210.530000 L,7875 km
SYD,HAM,2019-12-13,€0.000000,0.000000 kg,0.000000 L,0 km
