DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AVV,CZM,2019-01-11,€131.000000,5676.820000 kg,484.920000 L,14805 km
CZM,TMB,2019-01-19,€7.000000,281.220000 kg,29.190000 L,953 km
TMB,SCL,2019-01-19,€46.000000,1996.620000 kg,173.080000 L,6731 km
SCL,VCP,2019-01-25,€16.000000,692.680000 kg,62.870000 L,2632 km
VCP,NVT,2019-01-26,€5.000000,147.760000 kg,19.420000 L,509 km
NVT,TMB,2019-02-08,€47.000000,2030.890000 kg,175.990000 L,6826 km
TMB,LGA,2019-02-08,€12.000000,498.110000 kg,46.740000 L,1818 km
LGA,YHU,2019-02-09,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,TMB,2019-02-15,€15.000000,623.990000 kg,57.140000 L,2342 km
TMB,SDV,2019-02-15,€83.000000,3601.990000 kg,309.060000 L,10650 km
SDV,IST,2019-02-16,€8.000000,346.150000 kg,34.440000 L,1203 km
IST,SKP,2019-02-22,€5.000000,166.000000 kg,19.240000 L,657 km
SKP,AMS,2019-02-24,€12.000000,481.480000 kg,45.390000 L,1750 km
AMS,DXB,2019-03-01,€40.000000,1720.000000 kg,150.370000 L,5216 km
DXB,BEY,2019-03-02,€16.000000,657.000000 kg,60.500000 L,2189 km
BEY,DEL,2019-03-07,€24.000000,1026.980000 kg,90.800000 L,4030 km
DEL,BLR,2019-03-10,€9.000000,371.000000 kg,34.930000 L,1770 km
BLR,GCJ,2019-03-15,€48.000000,2065.090000 kg,178.890000 L,6922 km
LAS,HOU,2019-03-23,€13.000000,551.570000 kg,51.090000 L,2036 km
HOU,TMB,2019-03-27,€11.000000,443.240000 kg,42.300000 L,1596 km
TMB,TNT,2019-03-27,€59.000000,2541.160000 kg,219.210000 L,8135 km
TNT,TMB,2019-04-04,€59.000000,2541.160000 kg,219.210000 L,8135 km
TMB,ETH,2019-04-04,€85.000000,3690.170000 kg,316.530000 L,10827 km
ETH,LCY,2019-04-05,€23.000000,974.020000 kg,86.360000 L,3822 km
LCY,LIN,2019-04-12,€7.000000,297.740000 kg,30.510000 L,1007 km
LIN,GRX,2019-04-18,€10.000000,411.750000 kg,39.750000 L,1468 km
GRX,EAS,2019-04-19,€6.000000,219.850000 kg,24.270000 L,759 km
EAS,CIA,2019-04-21,€9.000000,348.310000 kg,34.610000 L,1211 km
CIA,ORY,2019-04-26,€8.000000,330.160000 kg,33.140000 L,1138 km
ORY,LCY,2019-04-27,€5.000000,98.000000 kg,15.690000 L,399 km
LCY,ORL,2019-05-03,€49.000000,2113.730000 kg,183.020000 L,7052 km
ORL,EOH,2019-05-04,€16.000000,686.690000 kg,62.370000 L,2607 km
EOH,TMB,2019-05-11,€15.000000,609.990000 kg,55.970000 L,2283 km
TMB,SCL,2019-05-11,€46.000000,1996.620000 kg,173.080000 L,6731 km
SCL,TNT,2019-05-17,€100.000000,4335.180000 kg,371.210000 L,12118 km
TNT,ATL,2019-05-18,€56.000000,2422.880000 kg,209.190000 L,7835 km
ATL,TMB,2019-05-25,€7.000000,299.880000 kg,30.690000 L,1015 km
TMB,DET,2019-05-25,€13.000000,522.560000 kg,48.720000 L,1917 km
DET,YQG,2019-05-27,€5.000000,13.270000 kg,3.350000 L,65 km
YQG,TMB,2019-05-30,€12.000000,518.830000 kg,48.420000 L,1902 km
TMB,AMS,2019-05-30,€53.000000,2289.720000 kg,197.920000 L,7498 km
AMS,CPH,2019-05-31,€5.000000,204.000000 kg,23.290000 L,687 km
CPH,TXL,2019-06-01,€5.000000,94.000000 kg,14.680000 L,406 km
TXL,MST,2019-06-07,€5.000000,173.630000 kg,21.150000 L,599 km
MST,TLS,2019-06-08,€7.000000,273.120000 kg,28.540000 L,927 km
TLS,BCN,2019-06-14,€5.000000,57.000000 kg,14.430000 L,317 km
BCN,LGA,2019-06-15,€42.000000,1808.520000 kg,157.120000 L,6207 km
LGA,YHU,2019-06-16,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,TMB,2019-06-20,€15.000000,623.990000 kg,57.140000 L,2342 km
TMB,GDL,2019-06-20,€16.000000,656.250000 kg,59.830000 L,2478 km
GDL,MEX,2019-06-21,€5.000000,142.000000 kg,18.480000 L,507 km
MEX,HHR,2019-06-22,€16.000000,672.180000 kg,61.160000 L,2546 km
HHR,SFO,2019-06-23,€5.000000,173.730000 kg,21.150000 L,599 km
SFO,TMB,2019-06-27,€26.000000,1093.630000 kg,96.460000 L,4216 km
TMB,BMA,2019-06-27,€58.000000,2513.460000 kg,216.860000 L,8065 km
BMA,GLA,2019-06-29,€10.000000,400.090000 kg,38.800000 L,1421 km
GLA,IBZ,2019-07-01,€13.000000,540.340000 kg,50.160000 L,1989 km
IBZ,AEP,2019-07-07,€79.000000,3416.180000 kg,293.310000 L,10278 km
AEP,TMB,2019-07-11,€50.000000,2153.660000 kg,186.400000 L,7153 km
TMB,BCN,2019-07-11,€54.000000,2329.240000 kg,201.260000 L,7598 km
BCN,SDV,2019-07-12,€19.000000,808.040000 kg,72.500000 L,3120 km
SDV,BCN,2019-07-17,€19.000000,808.040000 kg,72.500000 L,3120 km
BCN,IBZ,2019-07-21,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,BIQ,2019-08-02,€5.000000,178.440000 kg,21.470000 L,616 km
BIQ,OST,2019-08-09,€7.000000,287.230000 kg,29.670000 L,972 km
OST,IBZ,2019-08-12,€10.000000,401.730000 kg,38.930000 L,1428 km
IBZ,OBF,2019-08-16,€9.000000,382.520000 kg,37.380000 L,1350 km
OBF,LCY,2019-08-17,€7.000000,277.280000 kg,28.870000 L,940 km
LCY,HEM,2019-08-18,€12.000000,511.270000 kg,47.810000 L,1871 km
HEM,SUI,2019-08-22,€14.000000,606.660000 kg,55.690000 L,2269 km
SUI,IBZ,2019-08-24,€21.000000,873.120000 kg,77.940000 L,3395 km
IBZ,ANR,2019-08-25,€10.000000,405.310000 kg,39.230000 L,1442 km
ANR,FLR,2019-09-07,€7.000000,299.590000 kg,30.660000 L,1014 km
