DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TNT,BOH,2019-01-25,€8.000000,330.630000 kg,33.180000 L,1140 km
BOH,MAN,2019-01-26,€5.000000,76.070000 kg,15.110000 L,337 km
MAN,GLA,2019-02-01,€5.000000,77.000000 kg,13.920000 L,362 km
GLA,CWL,2019-02-01,€5.000000,160.150000 kg,20.250000 L,552 km
CWL,SOU,2019-02-02,€5.000000,40.450000 kg,10.240000 L,198 km
SOU,GLA,2019-02-15,€5.000000,182.950000 kg,21.770000 L,631 km
GLA,BCN,2019-02-15,€11.000000,478.130000 kg,45.120000 L,1737 km
BCN,LIN,2019-02-16,€6.000000,248.000000 kg,27.080000 L,792 km
LIN,GLA,2019-02-21,€10.000000,431.400000 kg,41.340000 L,1548 km
GLA,MAD,2019-02-21,€12.000000,485.440000 kg,45.710000 L,1766 km
MAD,BHX,2019-02-22,€8.000000,316.000000 kg,30.630000 L,1386 km
BHX,LBA,2019-02-23,€5.000000,42.400000 kg,10.730000 L,207 km
LBA,GLA,2019-03-09,€5.000000,97.000000 kg,19.240000 L,335 km
SYD,CBR,2019-03-10,€5.000000,47.000000 kg,11.890000 L,287 km
CBR,ZQN,2019-03-14,€13.000000,548.890000 kg,50.870000 L,2024 km
ZQN,MEB,2019-03-17,€14.000000,588.910000 kg,54.210000 L,2194 km
MEB,KUL,2019-03-22,€44.000000,1880.460000 kg,163.230000 L,6407 km
KUL,HND,2019-03-23,€35.000000,1509.920000 kg,131.780000 L,5375 km
BUD,ORY,2019-04-06,€9.000000,372.280000 kg,36.550000 L,1308 km
ORY,INN,2019-04-08,€5.000000,213.200000 kg,23.790000 L,736 km
INN,GLA,2019-04-13,€10.000000,416.540000 kg,40.130000 L,1488 km
GLA,CIA,2019-04-13,€13.000000,547.280000 kg,50.730000 L,2018 km
CIA,GLA,2019-04-19,€13.000000,547.280000 kg,50.730000 L,2018 km
GLA,WAW,2019-04-19,€12.000000,478.720000 kg,45.170000 L,1739 km
WAW,FLR,2019-04-21,€9.000000,352.770000 kg,34.970000 L,1229 km
FLR,GLA,2019-05-09,€12.000000,489.990000 kg,46.080000 L,1785 km
GLA,LGA,2019-05-09,€34.000000,1455.690000 kg,127.180000 L,5224 km
