DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTQ,ORY,2019-02-01,€5.000000,53.160000 kg,13.100000 L,257 km
ORY,LPL,2019-02-02,€5.000000,197.270000 kg,22.730000 L,681 km
LPL,LTQ,2019-02-09,€5.000000,140.430000 kg,18.960000 L,489 km
LTQ,MAN,2019-02-09,€5.000000,129.260000 kg,18.290000 L,462 km
MAN,LTQ,2019-02-23,€5.000000,129.260000 kg,18.290000 L,462 km
LTQ,LBA,2019-02-23,€5.000000,138.380000 kg,18.840000 L,484 km
LBA,LIS,2019-02-24,€12.000000,499.610000 kg,46.860000 L,1824 km
LIS,LTQ,2019-03-04,€11.000000,445.980000 kg,42.520000 L,1607 km
LTQ,NVT,2019-03-04,€76.000000,3270.230000 kg,280.940000 L,9982 km
NVT,LCY,2019-03-09,€76.000000,3273.530000 kg,281.220000 L,9991 km
LCY,TXL,2019-03-10,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,LTQ,2019-03-15,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,CLO,2019-03-15,€66.000000,2858.370000 kg,246.070000 L,8939 km
CLO,LGA,2019-03-16,€26.000000,1095.620000 kg,96.620000 L,4221 km
LGA,ANR,2019-03-23,€40.000000,1707.610000 kg,148.560000 L,5926 km
ANR,LTQ,2019-03-29,€5.000000,54.740000 kg,13.250000 L,263 km
LTQ,ZRH,2019-03-29,€5.000000,191.210000 kg,22.320000 L,660 km
ZRH,LTQ,2019-04-05,€5.000000,191.210000 kg,22.320000 L,660 km
LTQ,BCN,2019-04-05,€8.000000,314.930000 kg,31.910000 L,1076 km
BCN,IBZ,2019-04-07,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,LTQ,2019-04-19,€9.000000,381.730000 kg,37.320000 L,1347 km
AMS,LTQ,2019-04-28,€5.000000,80.370000 kg,15.370000 L,347 km
LTQ,TXL,2019-04-28,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-05-01,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,LIS,2019-05-01,€11.000000,445.980000 kg,42.520000 L,1607 km
LIS,ORY,2019-05-03,€9.000000,370.000000 kg,35.440000 L,1487 km
ORY,LTQ,2019-05-17,€5.000000,53.160000 kg,13.100000 L,257 km
LTQ,MLH,2019-05-17,€5.000000,164.490000 kg,20.540000 L,567 km
MLH,VCE,2019-05-19,€5.000000,149.130000 kg,19.510000 L,514 km
VCE,LTQ,2019-05-26,€7.000000,303.490000 kg,30.980000 L,1030 km
LTQ,LCY,2019-05-26,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,LTQ,2019-05-31,€5.000000,41.910000 kg,10.610000 L,205 km
ZAG,RLG,2019-06-02,€7.000000,296.070000 kg,30.380000 L,1000 km
RLG,LTQ,2019-06-15,€6.000000,254.650000 kg,27.060000 L,869 km
LTQ,MAD,2019-06-15,€9.000000,355.010000 kg,35.150000 L,1238 km
MAD,BCN,2019-06-16,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,IBZ,2019-06-18,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,LTQ,2019-06-21,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,LBG,2019-06-21,€5.000000,47.460000 kg,12.010000 L,232 km
LBG,LIS,2019-06-23,€10.000000,422.980000 kg,40.660000 L,1514 km
LIS,LTQ,2019-06-30,€11.000000,445.980000 kg,42.520000 L,1607 km
LTQ,AMS,2019-06-30,€5.000000,80.370000 kg,15.370000 L,347 km
AMS,LTQ,2019-07-03,€5.000000,80.370000 kg,15.370000 L,347 km
LTQ,LGA,2019-07-03,€38.000000,1649.780000 kg,143.650000 L,5765 km
LGA,TNT,2019-07-04,€45.000000,1953.210000 kg,169.400000 L,6610 km
TNT,LBA,2019-07-13,€9.000000,372.120000 kg,36.540000 L,1308 km
LBA,LTQ,2019-07-21,€5.000000,138.380000 kg,18.840000 L,484 km
LTQ,BCN,2019-07-21,€8.000000,314.930000 kg,31.910000 L,1076 km
BCN,LTQ,2019-07-28,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,IBZ,2019-07-28,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LTQ,2019-08-08,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,KNF,2019-08-08,€5.000000,43.540000 kg,11.020000 L,213 km
KNF,LTQ,2019-08-24,€5.000000,43.540000 kg,11.020000 L,213 km
LTQ,VKO,2019-08-24,€16.000000,654.740000 kg,59.700000 L,2472 km
VKO,LTQ,2019-08-31,€16.000000,654.740000 kg,59.700000 L,2472 km
LTQ,AMS,2019-08-31,€5.000000,80.370000 kg,15.370000 L,347 km
AMS,LTQ,2019-09-12,€5.000000,80.370000 kg,15.370000 L,347 km
LTQ,FAO,2019-09-12,€11.000000,477.540000 kg,45.070000 L,1734 km
FAO,LTQ,2019-09-20,€11.000000,477.540000 kg,45.070000 L,1734 km
LTQ,IBZ,2019-09-20,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LCY,2019-09-21,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,LTQ,2019-09-28,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,HRT,2019-09-28,€5.000000,140.350000 kg,18.960000 L,489 km
HRT,LTQ,2019-10-09,€5.000000,140.350000 kg,18.960000 L,489 km
LTQ,IBZ,2019-10-09,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LTQ,2019-10-12,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,BRU,2019-10-12,€5.000000,52.810000 kg,13.070000 L,256 km
BRU,LTQ,2019-10-26,€5.000000,52.810000 kg,13.070000 L,256 km
LTQ,LCY,2019-10-26,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,TXL,2019-10-27,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,LTQ,2019-11-29,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,LCY,2019-11-29,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,AMS,2019-12-01,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,LTQ,2019-12-07,€5.000000,80.370000 kg,15.370000 L,347 km
LTQ,RMI,2019-12-07,€8.000000,332.770000 kg,33.350000 L,1148 km
RMI,LTQ,2019-12-19,€8.000000,332.770000 kg,33.350000 L,1148 km
LTQ,TNT,2019-12-19,€7.000000,267.700000 kg,28.110000 L,910 km
TNT,YHU,2019-12-21,€43.000000,1850.420000 kg,160.680000 L,6324 km
YHU,LTQ,2019-12-29,€36.000000,1542.870000 kg,134.580000 L,5467 km
