DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MXP,CIA,2019-01-01,€5.000000,162.540000 kg,20.410000 L,560 km
CIA,MXP,2019-01-11,€5.000000,162.540000 kg,20.410000 L,560 km
MXP,SCL,2019-01-11,€98.000000,4242.840000 kg,363.380000 L,11934 km
SCL,MXP,2019-02-01,€98.000000,4242.840000 kg,363.380000 L,11934 km
MXP,ZRH,2019-02-01,€5.000000,54.000000 kg,13.670000 L,253 km
ZRH,BHD,2019-02-02,€9.000000,378.320000 kg,37.040000 L,1333 km
BHD,MXP,2019-02-08,€10.000000,416.980000 kg,40.170000 L,1489 km
MXP,SKU,2019-02-08,€10.000000,431.950000 kg,41.380000 L,1550 km
SKU,MXP,2019-02-14,€10.000000,431.950000 kg,41.380000 L,1550 km
MXP,OBF,2019-02-14,€5.000000,96.170000 kg,16.320000 L,384 km
OBF,MXP,2019-02-23,€5.000000,96.170000 kg,16.320000 L,384 km
MXP,HAM,2019-02-23,€7.000000,304.000000 kg,31.640000 L,943 km
HAM,MXP,2019-03-01,€7.000000,304.000000 kg,31.640000 L,943 km
MXP,YTZ,2019-03-01,€46.000000,1969.910000 kg,170.820000 L,6657 km
YTZ,SAN,2019-03-02,€21.000000,906.330000 kg,80.710000 L,3536 km
SAN,YHU,2019-03-09,€24.000000,1005.400000 kg,88.980000 L,3955 km
YHU,MXP,2019-03-27,€42.000000,1803.870000 kg,156.720000 L,6194 km
MXP,TNT,2019-03-27,€5.000000,49.410000 kg,12.500000 L,242 km
TNT,OBF,2019-04-05,€5.000000,57.810000 kg,13.530000 L,274 km
OBF,MXP,2019-04-12,€5.000000,96.170000 kg,16.320000 L,384 km
BNE,SYD,2019-04-13,€6.000000,227.000000 kg,24.550000 L,800 km
SYD,ADL,2019-04-18,€8.000000,315.000000 kg,31.130000 L,1214 km
ADL,MEB,2019-04-20,€5.000000,201.170000 kg,22.990000 L,695 km
MEB,JAD,2019-04-21,€17.000000,722.190000 kg,65.340000 L,2757 km
JAD,AMS,2019-04-27,€124.000000,5388.520000 kg,460.490000 L,14228 km
AMS,MXP,2019-05-10,€6.000000,249.000000 kg,26.830000 L,847 km
MXP,VIE,2019-05-10,€5.000000,210.000000 kg,23.790000 L,707 km
VIE,IBZ,2019-05-11,€8.000000,343.000000 kg,32.400000 L,1643 km
IBZ,MXP,2019-05-16,€7.000000,279.000000 kg,28.600000 L,1012 km
MXP,LAS,2019-05-16,€70.000000,3037.320000 kg,261.220000 L,9392 km
LAS,HHR,2019-05-17,€5.000000,114.240000 kg,17.400000 L,427 km
HHR,LAS,2019-05-19,€5.000000,114.240000 kg,17.400000 L,427 km
LAS,POW,2019-05-24,€73.000000,3138.980000 kg,269.830000 L,9650 km
POW,MXP,2019-06-07,€5.000000,115.090000 kg,17.450000 L,429 km
MXP,MLH,2019-06-07,€5.000000,67.150000 kg,14.390000 L,308 km
MLH,CEQ,2019-06-09,€5.000000,150.240000 kg,19.580000 L,518 km
CEQ,MXP,2019-06-14,€5.000000,69.940000 kg,14.650000 L,318 km
MXP,TXL,2019-06-14,€5.000000,206.000000 kg,21.770000 L,888 km
TXL,MXP,2019-06-21,€5.000000,206.000000 kg,21.770000 L,888 km
MXP,LIN,2019-06-21,€5.000000,19.880000 kg,5.030000 L,97 km
LIN,MXP,2019-06-29,€5.000000,19.880000 kg,5.030000 L,97 km
MXP,AMS,2019-06-29,€6.000000,249.000000 kg,26.830000 L,847 km
AMS,IBZ,2019-07-01,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,MXP,2019-07-05,€7.000000,279.000000 kg,28.600000 L,1012 km
MXP,LIS,2019-07-05,€10.000000,432.000000 kg,40.750000 L,1700 km
LIS,CTA,2019-07-06,€14.000000,582.800000 kg,53.700000 L,2168 km
CTA,TRN,2019-07-07,€7.000000,287.000000 kg,28.860000 L,1107 km
TRN,MXP,2019-07-18,€5.000000,31.770000 kg,8.040000 L,155 km
MXP,BCN,2019-07-18,€6.000000,229.000000 kg,25.310000 L,769 km
BCN,MXP,2019-07-26,€6.000000,229.000000 kg,25.310000 L,769 km
MXP,WAW,2019-07-26,€9.000000,384.000000 kg,37.970000 L,1199 km
WAW,NUE,2019-07-27,€6.000000,234.330000 kg,25.430000 L,804 km
NUE,MXP,2019-08-01,€5.000000,125.000000 kg,16.200000 L,513 km
MPL,MXP,2019-08-06,€5.000000,141.290000 kg,19.010000 L,491 km
MXP,IBZ,2019-08-06,€7.000000,279.000000 kg,28.600000 L,1012 km
IBZ,SOU,2019-08-07,€10.000000,397.670000 kg,38.610000 L,1411 km
SOU,MXP,2019-08-10,€7.000000,296.370000 kg,30.400000 L,1001 km
MXP,FRA,2019-08-10,€5.000000,146.000000 kg,18.480000 L,538 km
FRA,MXP,2019-08-13,€5.000000,146.000000 kg,18.480000 L,538 km
MXP,IBZ,2019-08-13,€7.000000,279.000000 kg,28.600000 L,1012 km
IBZ,MXP,2019-08-18,€7.000000,279.000000 kg,28.600000 L,1012 km
MXP,ZAD,2019-08-18,€5.000000,173.690000 kg,21.150000 L,599 km
ZAD,JMK,2019-08-20,€8.000000,338.280000 kg,33.800000 L,1171 km
JMK,LPL,2019-08-22,€18.000000,743.280000 kg,67.100000 L,2846 km
LPL,GVA,2019-08-23,€8.000000,313.040000 kg,31.750000 L,1069 km
GVA,AMS,2019-08-24,€6.000000,222.000000 kg,24.810000 L,731 km
AMS,MXP,2019-09-21,€6.000000,249.000000 kg,26.830000 L,847 km
