DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DTW,EOH,2019-02-01,€25.000000,1062.910000 kg,93.850000 L,4130 km
EOH,DTW,2019-02-09,€25.000000,1062.910000 kg,93.850000 L,4130 km
DTW,LIM,2019-02-09,€41.000000,1777.570000 kg,154.490000 L,6121 km
LIM,DTW,2019-02-15,€41.000000,1777.570000 kg,154.490000 L,6121 km
DTW,DET,2019-02-15,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-03-02,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,LGA,2019-03-02,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,DTW,2019-03-16,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,DET,2019-03-16,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-03-22,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,SFO,2019-03-22,€18.000000,751.000000 kg,66.830000 L,3386 km
SFO,DTW,2019-04-20,€18.000000,751.000000 kg,66.830000 L,3386 km
DTW,DET,2019-04-20,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-04-23,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,IND,2019-04-23,€5.000000,112.000000 kg,16.960000 L,419 km
IND,DTW,2019-04-28,€5.000000,112.000000 kg,16.960000 L,419 km
DTW,RDU,2019-04-28,€6.000000,246.000000 kg,26.320000 L,856 km
RDU,DTW,2019-05-25,€6.000000,246.000000 kg,26.320000 L,856 km
DTW,DET,2019-05-25,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-06-01,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,ZAG,2019-06-01,€53.000000,2277.630000 kg,196.890000 L,7467 km
ZAG,TXL,2019-06-07,€6.000000,244.420000 kg,26.240000 L,836 km
TXL,DTW,2019-07-06,€48.000000,2044.590000 kg,177.150000 L,6865 km
DTW,TXL,2019-07-06,€48.000000,2044.590000 kg,177.150000 L,6865 km
TXL,HND,2019-07-14,€67.000000,2879.910000 kg,247.890000 L,8993 km
HND,DTW,2019-08-03,€80.000000,3467.980000 kg,297.700000 L,10382 km
DTW,DET,2019-08-03,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-08-08,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DLH,2019-08-08,€8.000000,309.000000 kg,32.400000 L,917 km
DLH,DTW,2019-08-31,€8.000000,309.000000 kg,32.400000 L,917 km
DTW,NTU,2019-08-31,€7.000000,270.350000 kg,28.320000 L,918 km
NTU,DTW,2019-09-07,€7.000000,270.350000 kg,28.320000 L,918 km
DTW,TXL,2019-09-07,€48.000000,2044.590000 kg,177.150000 L,6865 km
TXL,LIS,2019-09-13,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,DTW,2019-10-11,€42.000000,1784.160000 kg,155.050000 L,6139 km
DTW,TXL,2019-10-11,€48.000000,2044.590000 kg,177.150000 L,6865 km
TXL,BBU,2019-10-12,€9.000000,381.970000 kg,37.330000 L,1348 km
BBU,BRU,2019-10-19,€12.000000,496.050000 kg,46.570000 L,1809 km
BRU,YQG,2019-10-26,€44.000000,1881.150000 kg,163.280000 L,6409 km
YQG,DTW,2019-11-01,€5.000000,16.730000 kg,4.230000 L,82 km
DTW,SFO,2019-11-01,€18.000000,751.000000 kg,66.830000 L,3386 km
SFO,DTW,2019-11-15,€18.000000,751.000000 kg,66.830000 L,3386 km
DTW,ZUN,2019-11-15,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,DTW,2019-12-07,€0.000000,0.000000 kg,0.000000 L,0 km
DTW,DET,2019-12-07,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-12-13,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DTW,2019-12-13,€5.000000,10.190000 kg,2.570000 L,50 km
