DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HAM,LEJ,2019-01-11,€5.000000,80.730000 kg,15.390000 L,348 km
LEJ,DRS,2019-01-12,€5.000000,25.000000 kg,6.320000 L,161 km
DRS,HAM,2019-01-19,€5.000000,156.000000 kg,23.290000 L,427 km
HAM,AAH,2019-01-19,€5.000000,126.350000 kg,18.120000 L,455 km
AAH,HAM,2019-02-01,€5.000000,126.350000 kg,18.120000 L,455 km
HAM,EOH,2019-02-01,€69.000000,2969.090000 kg,255.440000 L,9219 km
EOH,TXL,2019-02-15,€71.000000,3057.790000 kg,262.950000 L,9444 km
TXL,BRN,2019-02-16,€6.000000,234.140000 kg,25.420000 L,804 km
BRN,HAM,2019-02-23,€7.000000,295.000000 kg,31.890000 L,816 km
HAM,VIE,2019-02-23,€6.000000,225.000000 kg,24.300000 L,816 km
VIE,HAM,2019-03-01,€6.000000,225.000000 kg,24.300000 L,816 km
HAM,ESS,2019-03-01,€5.000000,89.460000 kg,15.910000 L,368 km
ESS,HAM,2019-03-09,€5.000000,89.460000 kg,15.910000 L,368 km
HAM,HND,2019-03-15,€67.000000,2901.000000 kg,249.680000 L,9047 km
HND,OBF,2019-03-30,€71.000000,3066.170000 kg,263.660000 L,9465 km
OBF,HAM,2019-04-13,€5.000000,195.260000 kg,22.590000 L,674 km
HAM,ZRH,2019-04-13,€5.000000,199.000000 kg,22.270000 L,742 km
ZRH,HAM,2019-05-18,€5.000000,199.000000 kg,22.270000 L,742 km
HAM,AMS,2019-05-18,€5.000000,125.000000 kg,18.480000 L,428 km
AMS,HAM,2019-05-26,€5.000000,125.000000 kg,18.480000 L,428 km
HAM,TXL,2019-05-26,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-06-08,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,ERF,2019-06-08,€5.000000,82.520000 kg,15.500000 L,352 km
ERF,HAM,2019-06-15,€5.000000,82.520000 kg,15.500000 L,352 km
HAM,AMS,2019-06-15,€5.000000,125.000000 kg,18.480000 L,428 km
AMS,HAM,2019-06-19,€5.000000,125.000000 kg,18.480000 L,428 km
HAM,STR,2019-06-19,€5.000000,162.000000 kg,19.490000 L,600 km
STR,WAW,2019-06-21,€7.000000,286.140000 kg,29.580000 L,968 km
WAW,FRA,2019-06-22,€7.000000,302.000000 kg,31.390000 L,945 km
FRA,HAM,2019-07-11,€5.000000,106.000000 kg,14.930000 L,460 km
HAM,EMA,2019-07-11,€6.000000,235.130000 kg,25.500000 L,807 km
EMA,HAM,2019-07-19,€6.000000,235.130000 kg,25.500000 L,807 km
HAM,PMI,2019-07-26,€9.000000,367.000000 kg,34.680000 L,1706 km
PMI,HAM,2019-08-03,€9.000000,367.000000 kg,34.680000 L,1706 km
HAM,MHG,2019-08-03,€5.000000,211.000000 kg,27.340000 L,522 km
MHG,HAM,2019-08-07,€5.000000,211.000000 kg,27.340000 L,522 km
HAM,SZZ,2019-08-07,€5.000000,91.940000 kg,16.060000 L,374 km
SZZ,HAM,2019-08-16,€5.000000,91.940000 kg,16.060000 L,374 km
HAM,TXL,2019-08-16,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-08-24,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,OBF,2019-08-31,€5.000000,195.260000 kg,22.590000 L,674 km
OBF,HAM,2019-09-07,€5.000000,195.260000 kg,22.590000 L,674 km
HAM,ANR,2019-09-07,€5.000000,148.790000 kg,19.490000 L,513 km
ANR,HAM,2019-09-14,€5.000000,148.790000 kg,19.490000 L,513 km
HAM,DEL,2019-09-14,€41.000000,1757.070000 kg,152.750000 L,6064 km
DEL,MEB,2019-09-27,€79.000000,3404.920000 kg,292.350000 L,10256 km
HAJ,BRN,2019-10-04,€5.000000,198.550000 kg,22.810000 L,685 km
BRN,AOC,2019-10-05,€5.000000,183.240000 kg,21.790000 L,632 km
AOC,HAM,2019-10-11,€5.000000,98.670000 kg,16.470000 L,390 km
HAM,TXL,2019-10-11,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-10-19,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,AMS,2019-10-19,€5.000000,125.000000 kg,18.480000 L,428 km
AMS,HAM,2019-10-25,€5.000000,125.000000 kg,18.480000 L,428 km
HAM,GVA,2019-10-25,€7.000000,288.000000 kg,30.370000 L,916 km
GVA,HAM,2019-11-09,€7.000000,288.000000 kg,30.370000 L,916 km
HAM,CPH,2019-11-09,€5.000000,75.000000 kg,14.680000 L,338 km
CPH,HAM,2019-11-15,€5.000000,75.000000 kg,14.680000 L,338 km
HAM,RTM,2019-11-15,€5.000000,131.370000 kg,18.420000 L,467 km
RTM,AMS,2019-11-16,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,HAM,2019-11-23,€5.000000,125.000000 kg,18.480000 L,428 km
HAM,MLH,2019-11-23,€5.000000,211.510000 kg,23.680000 L,730 km
MLH,HAM,2019-11-30,€5.000000,211.510000 kg,23.680000 L,730 km
HAM,MUC,2019-11-30,€5.000000,155.000000 kg,17.970000 L,649 km
MUC,HAM,2019-12-21,€5.000000,155.000000 kg,17.970000 L,649 km
HAM,SVQ,2019-12-21,€14.000000,596.680000 kg,54.860000 L,2226 km
SVQ,HAM,2019-12-29,€14.000000,596.680000 kg,54.860000 L,2226 km
HAM,HAM,2019-12-29,€0.000000,0.000000 kg,0.000000 L,0 km
