DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LGA,LGW,2019-02-05,€37.000000,1598.530000 kg,139.300000 L,5622 km
LGW,LAS,2019-02-05,€65.000000,2796.000000 kg,241.010000 L,8480 km
LAS,BUR,2019-02-16,€5.000000,105.880000 kg,16.900000 L,407 km
BUR,LCY,2019-03-01,€65.000000,2810.070000 kg,241.980000 L,8816 km
LCY,LGW,2019-03-08,€5.000000,19.250000 kg,4.870000 L,94 km
LGW,DCA,2019-03-08,€40.000000,1722.270000 kg,149.800000 L,5967 km
DCA,LGW,2019-04-08,€40.000000,1722.270000 kg,149.800000 L,5967 km
LGW,INN,2019-04-08,€7.000000,269.000000 kg,27.590000 L,988 km
INN,LGW,2019-04-12,€7.000000,269.000000 kg,27.590000 L,988 km
LGW,BMA,2019-04-12,€10.000000,422.160000 kg,40.590000 L,1510 km
BMA,LGW,2019-04-18,€10.000000,422.160000 kg,40.590000 L,1510 km
LGW,BRS,2019-04-18,€5.000000,46.580000 kg,11.790000 L,228 km
BRS,LGW,2019-05-04,€5.000000,46.580000 kg,11.790000 L,228 km
LGW,LCY,2019-05-04,€5.000000,19.250000 kg,4.870000 L,94 km
LCY,LGW,2019-05-31,€5.000000,19.250000 kg,4.870000 L,94 km
LGW,LPL,2019-05-31,€5.000000,83.220000 kg,15.540000 L,354 km
LPL,LGW,2019-07-01,€5.000000,83.220000 kg,15.540000 L,354 km
LGW,ZAD,2019-07-01,€10.000000,407.450000 kg,39.400000 L,1451 km
ZAD,LGW,2019-07-16,€10.000000,407.450000 kg,39.400000 L,1451 km
LGW,IBZ,2019-07-16,€9.000000,383.000000 kg,36.960000 L,1418 km
IBZ,BCN,2019-07-17,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,LGW,2019-07-20,€8.000000,335.570000 kg,33.580000 L,1160 km
LGW,BCN,2019-07-20,€8.000000,335.570000 kg,33.580000 L,1160 km
BCN,LGW,2019-08-25,€8.000000,335.570000 kg,33.580000 L,1160 km
LGW,LCY,2019-08-25,€5.000000,19.250000 kg,4.870000 L,94 km
LCY,LGW,2019-08-30,€5.000000,19.250000 kg,4.870000 L,94 km
LGW,KTW,2019-08-30,€10.000000,395.600000 kg,38.440000 L,1403 km
KTW,LGW,2019-09-04,€10.000000,395.600000 kg,38.440000 L,1403 km
LGW,PUY,2019-09-04,€9.000000,371.910000 kg,36.520000 L,1307 km
PUY,LGW,2019-09-20,€9.000000,371.910000 kg,36.520000 L,1307 km
LGW,PRG,2019-09-20,€8.000000,317.710000 kg,32.130000 L,1087 km
PRG,LCY,2019-09-21,€8.000000,313.800000 kg,31.820000 L,1072 km
LCY,LGW,2019-09-24,€5.000000,19.250000 kg,4.870000 L,94 km
LGW,LBA,2019-09-24,€5.000000,89.220000 kg,15.900000 L,368 km
LBA,LGW,2019-09-27,€5.000000,89.220000 kg,15.900000 L,368 km
MEB,BNE,2019-09-28,€10.000000,400.090000 kg,38.800000 L,1421 km
BNE,PER,2019-09-29,€25.000000,1045.000000 kg,92.650000 L,3655 km
PER,SYD,2019-10-05,€22.000000,948.000000 kg,84.550000 L,3325 km
EMA,MAN,2019-10-15,€5.000000,27.670000 kg,7.000000 L,135 km
MAN,LGW,2019-10-19,€5.000000,66.000000 kg,13.410000 L,333 km
LGW,LPL,2019-10-19,€5.000000,83.220000 kg,15.540000 L,354 km
LPL,LGW,2019-10-26,€5.000000,83.220000 kg,15.540000 L,354 km
LGW,NCL,2019-10-26,€5.000000,142.460000 kg,19.080000 L,494 km
NCL,LGW,2019-11-16,€5.000000,142.460000 kg,19.080000 L,494 km
LGW,LGW,2019-11-16,€0.000000,0.000000 kg,0.000000 L,0 km
