DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,BRI,2019-01-05,€8.000000,312.000000 kg,30.370000 L,1346 km
BRI,TXL,2019-01-12,€8.000000,312.000000 kg,30.370000 L,1346 km
TXL,STR,2019-01-12,€5.000000,159.000000 kg,19.740000 L,565 km
STR,TXL,2019-01-19,€5.000000,159.000000 kg,19.740000 L,565 km
TXL,HAJ,2019-01-19,€5.000000,63.160000 kg,14.030000 L,294 km
HAJ,TXL,2019-01-22,€5.000000,63.160000 kg,14.030000 L,294 km
TXL,GRQ,2019-01-25,€5.000000,146.660000 kg,19.340000 L,505 km
GRQ,TXL,2019-02-02,€5.000000,146.660000 kg,19.340000 L,505 km
TXL,AMS,2019-02-02,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-02-08,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,ORY,2019-02-08,€5.000000,202.000000 kg,21.010000 L,927 km
ORY,TXL,2019-02-09,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,BCN,2019-02-15,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-02-22,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,ANR,2019-02-22,€5.000000,195.650000 kg,22.620000 L,675 km
LCY,TXL,2019-03-22,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,OBF,2019-03-22,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,LIN,2019-03-23,€5.000000,94.350000 kg,16.210000 L,380 km
LIN,TXL,2019-03-30,€7.000000,262.650000 kg,27.700000 L,894 km
TXL,RTM,2019-03-30,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,TXL,2019-04-02,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,SIR,2019-04-02,€6.000000,256.730000 kg,27.230000 L,875 km
SIR,TXL,2019-04-13,€6.000000,256.730000 kg,27.230000 L,875 km
TXL,MAD,2019-04-13,€11.000000,455.000000 kg,42.530000 L,1901 km
MAD,TXL,2019-04-19,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,EIN,2019-04-19,€5.000000,175.590000 kg,21.280000 L,606 km
EIN,TXL,2019-04-26,€5.000000,175.590000 kg,21.280000 L,606 km
TXL,EIN,2019-04-26,€5.000000,175.590000 kg,21.280000 L,606 km
EIN,TXL,2019-05-04,€5.000000,175.590000 kg,21.280000 L,606 km
TXL,CIA,2019-05-16,€9.000000,357.980000 kg,35.390000 L,1250 km
CIA,BMA,2019-05-17,€13.000000,553.240000 kg,51.230000 L,2043 km
BMA,BLQ,2019-05-18,€12.000000,483.630000 kg,45.570000 L,1759 km
BLQ,TXL,2019-05-31,€7.000000,282.180000 kg,29.270000 L,956 km
TXL,CPH,2019-05-31,€5.000000,94.000000 kg,14.680000 L,406 km
CPH,AMS,2019-06-01,€5.000000,204.000000 kg,23.290000 L,687 km
AMS,TXL,2019-06-08,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,HAM,2019-06-08,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-06-14,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,SDV,2019-06-14,€18.000000,757.990000 kg,68.320000 L,2909 km
SDV,VKO,2019-06-21,€17.000000,701.350000 kg,63.600000 L,2669 km
