DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MLC,EMA,2019-02-20,€52.000000,2221.070000 kg,192.100000 L,7324 km
EMA,MLC,2019-07-04,€52.000000,2221.070000 kg,192.100000 L,7324 km
MLC,LGG,2019-07-04,€56.000000,2431.660000 kg,209.940000 L,7858 km
LGG,YEO,2019-07-12,€5.000000,181.840000 kg,21.700000 L,627 km
YEO,BCN,2019-07-13,€8.000000,343.070000 kg,34.180000 L,1190 km
BCN,LCY,2019-07-26,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,DUB,2019-08-03,€5.000000,196.000000 kg,25.060000 L,526 km
DUB,MLC,2019-08-29,€49.000000,2091.730000 kg,181.150000 L,6996 km
MLC,LGA,2019-08-29,€13.000000,561.670000 kg,51.930000 L,2078 km
LGA,MLC,2019-11-23,€13.000000,561.670000 kg,51.930000 L,2078 km
MLC,MLC,2019-11-23,€5.000000,10.190000 kg,2.570000 L,50 km
