DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HFA,NOB,2019-01-02,€101.000000,4380.170000 kg,375.020000 L,12209 km
NOB,CZM,2019-01-08,€9.000000,358.350000 kg,35.420000 L,1252 km
CZM,HFA,2019-02-03,€93.000000,4041.380000 kg,346.300000 L,11530 km
HFA,FLN,2019-02-03,€89.000000,3850.980000 kg,330.160000 L,11149 km
FLN,LGA,2019-02-07,€59.000000,2528.930000 kg,218.170000 L,8104 km
LGA,DXB,2019-02-15,€88.000000,3805.350000 kg,326.300000 L,11057 km
DXB,HFA,2019-02-22,€14.000000,588.190000 kg,54.150000 L,2191 km
HFA,NVT,2019-02-22,€89.000000,3830.210000 kg,328.400000 L,11107 km
NVT,COR,2019-03-04,€11.000000,455.470000 kg,43.290000 L,1645 km
TNT,NTR,2019-03-22,€71.000000,3085.820000 kg,265.320000 L,9515 km
NTR,TNT,2019-03-27,€71.000000,3085.820000 kg,265.320000 L,9515 km
TNT,LGA,2019-04-04,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,SDV,2019-04-18,€68.000000,2945.560000 kg,253.450000 L,9160 km
SDV,HFA,2019-05-04,€5.000000,26.530000 kg,6.710000 L,130 km
HFA,HHR,2019-05-04,€101.000000,4353.960000 kg,372.790000 L,12156 km
HHR,DPS,2019-05-10,€121.000000,5253.410000 kg,449.030000 L,13957 km
DPS,HFA,2019-05-25,€73.000000,3152.670000 kg,270.980000 L,9684 km
HFA,IBZ,2019-05-25,€19.000000,814.270000 kg,73.020000 L,3147 km
IBZ,LAS,2019-05-27,€71.000000,3080.830000 kg,264.900000 L,9502 km
LAS,LGA,2019-05-31,€22.000000,934.610000 kg,83.070000 L,3655 km
LGA,SFO,2019-06-08,€25.000000,1086.830000 kg,95.880000 L,4197 km
SFO,OBF,2019-06-14,€71.000000,3080.400000 kg,264.870000 L,9501 km
OBF,BCN,2019-06-15,€8.000000,320.090000 kg,32.320000 L,1097 km
BCN,IBZ,2019-06-18,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,VIY,2019-06-21,€8.000000,334.260000 kg,33.470000 L,1154 km
VIY,IBZ,2019-06-23,€8.000000,334.260000 kg,33.470000 L,1154 km
IBZ,JMK,2019-07-04,€14.000000,578.720000 kg,53.360000 L,2151 km
JMK,CLY,2019-07-05,€11.000000,436.380000 kg,41.740000 L,1568 km
CLY,IBZ,2019-07-07,€6.000000,232.540000 kg,25.290000 L,799 km
IBZ,JMK,2019-07-11,€14.000000,578.720000 kg,53.360000 L,2151 km
JMK,NHT,2019-07-12,€16.000000,686.110000 kg,62.320000 L,2605 km
NHT,IBZ,2019-07-14,€10.000000,411.680000 kg,39.740000 L,1468 km
IBZ,AGP,2019-07-17,€5.000000,158.000000 kg,18.730000 L,618 km
AGP,BCN,2019-07-18,€5.000000,201.000000 kg,21.770000 L,813 km
BCN,IBZ,2019-07-21,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,JMK,2019-07-25,€14.000000,578.720000 kg,53.360000 L,2151 km
JMK,CLJ,2019-08-01,€8.000000,320.660000 kg,32.370000 L,1099 km
CLJ,IBZ,2019-08-04,€13.000000,558.550000 kg,51.670000 L,2065 km
IBZ,OLB,2019-08-08,€6.000000,226.720000 kg,24.820000 L,780 km
OLB,AGP,2019-08-10,€9.000000,382.490000 kg,37.380000 L,1350 km
