DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,TBS,2019-01-04,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,TXL,2019-01-26,€17.000000,705.980000 kg,63.980000 L,2689 km
TXL,ESS,2019-01-26,€5.000000,145.070000 kg,19.240000 L,500 km
ESS,TXL,2019-02-15,€5.000000,145.070000 kg,19.240000 L,500 km
TXL,LBG,2019-02-20,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,TXL,2019-03-02,€7.000000,268.020000 kg,28.130000 L,911 km
TXL,LNZ,2019-03-02,€5.000000,155.490000 kg,19.940000 L,536 km
LNZ,TXL,2019-03-15,€5.000000,155.490000 kg,19.940000 L,536 km
TXL,VKO,2019-03-15,€11.000000,454.690000 kg,43.220000 L,1642 km
VKO,TXL,2019-03-30,€11.000000,454.690000 kg,43.220000 L,1642 km
TXL,BRU,2019-04-13,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-04-26,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,PDX,2019-04-26,€61.000000,2637.800000 kg,227.390000 L,8380 km
PDX,BMA,2019-04-30,€56.000000,2433.600000 kg,210.100000 L,7863 km
BMA,TXL,2019-05-03,€6.000000,251.330000 kg,26.800000 L,858 km
TXL,LBG,2019-05-11,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,TXL,2019-05-26,€7.000000,268.020000 kg,28.130000 L,911 km
TXL,DET,2019-05-26,€47.000000,2032.230000 kg,176.100000 L,6830 km
DET,TXL,2019-06-16,€47.000000,2032.230000 kg,176.100000 L,6830 km
TXL,RKV,2019-06-21,€15.000000,645.060000 kg,58.900000 L,2431 km
RKV,TXL,2019-07-05,€15.000000,645.060000 kg,58.900000 L,2431 km
TXL,ANR,2019-07-05,€5.000000,195.650000 kg,22.620000 L,675 km
ANR,TXL,2019-07-13,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,HND,2019-07-27,€67.000000,2879.910000 kg,247.890000 L,8993 km
HND,TXL,2019-08-10,€67.000000,2879.910000 kg,247.890000 L,8993 km
TXL,LRT,2019-08-14,€9.000000,383.560000 kg,37.460000 L,1354 km
LRT,TXL,2019-08-24,€9.000000,383.560000 kg,37.460000 L,1354 km
TXL,LGA,2019-08-24,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,TXL,2019-09-14,€44.000000,1885.170000 kg,163.630000 L,6421 km
TXL,KSF,2019-09-14,€5.000000,80.720000 kg,15.390000 L,348 km
KSF,TXL,2019-09-20,€5.000000,80.720000 kg,15.390000 L,348 km
TXL,STR,2019-09-20,€5.000000,159.000000 kg,19.740000 L,565 km
STR,TXL,2019-09-27,€5.000000,159.000000 kg,19.740000 L,565 km
TXL,MAN,2019-10-05,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,TXL,2019-10-11,€8.000000,319.570000 kg,32.280000 L,1095 km
TXL,BOS,2019-10-11,€41.000000,1778.870000 kg,154.600000 L,6125 km
BOS,SPG,2019-10-12,€13.000000,536.830000 kg,49.870000 L,1975 km
SPG,AMS,2019-10-18,€53.000000,2284.040000 kg,197.440000 L,7484 km
AMS,TXL,2019-10-25,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,SHA,2019-10-25,€62.000000,2666.220000 kg,229.800000 L,8452 km
SHA,TSA,2019-10-26,€5.000000,200.000000 kg,22.270000 L,729 km
MEB,LST,2019-11-09,€5.000000,151.600000 kg,19.680000 L,522 km
NTE,TXL,2019-11-24,€9.000000,363.750000 kg,35.860000 L,1274 km
TXL,EWR,2019-11-24,€37.000000,1579.000000 kg,136.960000 L,6434 km
EWR,PMO,2019-11-29,€51.000000,2190.280000 kg,189.500000 L,7246 km
PMO,HAM,2019-11-30,€12.000000,492.720000 kg,46.300000 L,1796 km
HAM,TXL,2019-12-06,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,DTM,2019-12-07,€5.000000,130.620000 kg,18.370000 L,466 km
DTM,TXL,2019-12-13,€5.000000,130.620000 kg,18.370000 L,466 km
TXL,IEV,2019-12-13,€9.000000,360.520000 kg,35.600000 L,1261 km
IEV,TXL,2019-12-31,€9.000000,360.520000 kg,35.600000 L,1261 km
TXL,TXL,2019-12-31,€0.000000,0.000000 kg,0.000000 L,0 km
