DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MDW,MSP,2019-01-30,€5.000000,173.000000 kg,20.750000 L,608 km
MSP,MDW,2019-02-15,€5.000000,173.000000 kg,20.750000 L,608 km
MDW,LGA,2019-02-15,€9.000000,363.000000 kg,35.940000 L,1214 km
LGA,MDW,2019-02-23,€9.000000,363.000000 kg,35.940000 L,1214 km
MDW,SFO,2019-02-23,€19.000000,787.040000 kg,70.750000 L,3031 km
SFO,MDW,2019-03-08,€19.000000,787.040000 kg,70.750000 L,3031 km
PER,AVV,2019-03-09,€17.000000,714.480000 kg,64.690000 L,2725 km
AVV,SYD,2019-03-15,€6.000000,234.800000 kg,25.470000 L,806 km
SYD,MEB,2019-03-16,€6.000000,218.980000 kg,24.200000 L,756 km
MEB,ADL,2019-03-17,€5.000000,201.170000 kg,22.990000 L,695 km
MSP,MDW,2019-05-10,€5.000000,173.000000 kg,20.750000 L,608 km
MDW,CLT,2019-05-10,€7.000000,293.210000 kg,30.150000 L,991 km
CLT,MDW,2019-05-26,€7.000000,293.210000 kg,30.150000 L,991 km
MDW,YQG,2019-05-26,€5.000000,123.460000 kg,17.950000 L,449 km
YQG,MDW,2019-05-29,€5.000000,123.460000 kg,17.950000 L,449 km
MDW,ANR,2019-05-29,€46.000000,1992.990000 kg,172.770000 L,6721 km
ANR,BCN,2019-05-30,€8.000000,336.820000 kg,33.680000 L,1165 km
BCN,IBZ,2019-06-11,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,MDW,2019-07-20,€51.000000,2193.040000 kg,189.730000 L,7253 km
MDW,PHX,2019-07-20,€15.000000,631.500000 kg,57.760000 L,2374 km
PHX,MDW,2019-08-02,€15.000000,631.500000 kg,57.760000 L,2374 km
MDW,PEG,2019-08-02,€55.000000,2381.990000 kg,205.730000 L,7732 km
PEG,TXL,2019-08-03,€8.000000,322.050000 kg,32.480000 L,1105 km
TXL,MDW,2019-08-23,€50.000000,2151.150000 kg,186.180000 L,7147 km
MDW,LGA,2019-08-23,€9.000000,363.000000 kg,35.940000 L,1214 km
LGA,MDW,2019-08-30,€9.000000,363.000000 kg,35.940000 L,1214 km
OSL,SXF,2019-10-10,€7.000000,270.100000 kg,28.300000 L,918 km
SXF,LEJ,2019-10-13,€5.000000,39.530000 kg,10.000000 L,193 km
LEJ,GOA,2019-10-19,€6.000000,255.500000 kg,27.130000 L,871 km
GOA,LCY,2019-10-30,€8.000000,314.290000 kg,31.860000 L,1074 km
LCY,MDW,2019-11-09,€0.000000,0.000000 kg,0.000000 L,0 km
