DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,BCN,2019-01-19,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,LHR,2019-02-09,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,NAP,2019-02-09,€11.000000,464.310000 kg,44.000000 L,1681 km
NAP,LHR,2019-02-16,€11.000000,464.310000 kg,44.000000 L,1681 km
LHR,LCY,2019-02-16,€5.000000,17.680000 kg,4.470000 L,86 km
LCY,LHR,2019-02-22,€5.000000,17.680000 kg,4.470000 L,86 km
LHR,ORY,2019-02-22,€5.000000,110.180000 kg,17.150000 L,417 km
ORY,LHR,2019-03-15,€5.000000,110.180000 kg,17.150000 L,417 km
LHR,BRS,2019-03-15,€5.000000,42.240000 kg,10.690000 L,207 km
BRS,LHR,2019-03-30,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,LCY,2019-03-30,€5.000000,17.680000 kg,4.470000 L,86 km
LCY,LHR,2019-04-27,€5.000000,17.680000 kg,4.470000 L,86 km
LHR,TXL,2019-04-27,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-05-03,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,HAM,2019-05-03,€6.000000,218.000000 kg,23.790000 L,794 km
HAM,LEJ,2019-05-04,€5.000000,80.730000 kg,15.390000 L,348 km
LEJ,LHR,2019-05-18,€7.000000,277.790000 kg,28.910000 L,942 km
LHR,TXL,2019-06-08,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-06-14,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,OST,2019-06-14,€5.000000,60.130000 kg,13.750000 L,283 km
OST,LHR,2019-07-13,€5.000000,60.130000 kg,13.750000 L,283 km
LHR,PRG,2019-07-13,€7.000000,272.000000 kg,27.590000 L,1091 km
PRG,LHR,2019-08-28,€7.000000,272.000000 kg,27.590000 L,1091 km
LHR,TXL,2019-08-28,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-08-31,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-08-31,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-09-27,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,SKU,2019-09-27,€15.000000,647.540000 kg,59.100000 L,2442 km
SKU,LHR,2019-10-11,€15.000000,647.540000 kg,59.100000 L,2442 km
LHR,EOH,2019-10-11,€62.000000,2684.630000 kg,231.350000 L,8499 km
EOH,NVA,2019-10-12,€5.000000,109.850000 kg,17.130000 L,417 km
LHR,NAP,2019-10-31,€11.000000,464.310000 kg,44.000000 L,1681 km
NAP,LHR,2019-11-09,€11.000000,464.310000 kg,44.000000 L,1681 km
LHR,SXB,2019-11-09,€5.000000,206.780000 kg,23.360000 L,714 km
SXB,LHR,2019-11-16,€5.000000,206.780000 kg,23.360000 L,714 km
LHR,TXL,2019-11-16,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-12-07,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,ENC,2019-12-07,€6.000000,247.130000 kg,26.460000 L,845 km
ENC,LHR,2019-12-13,€6.000000,247.130000 kg,26.460000 L,845 km
LHR,MAD,2019-12-13,€7.000000,300.000000 kg,29.360000 L,1292 km
MAD,LHR,2019-12-20,€7.000000,300.000000 kg,29.360000 L,1292 km
LHR,DTM,2019-12-20,€5.000000,173.510000 kg,21.140000 L,599 km
DTM,LHR,2019-12-31,€5.000000,173.510000 kg,21.140000 L,599 km
LHR,LHR,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
