DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTQ,BOG,2019-01-19,€64.000000,2748.350000 kg,236.750000 L,8660 km
BOG,AEP,2019-01-23,€30.000000,1276.330000 kg,111.960000 L,4725 km
AEP,SCL,2019-01-25,€7.000000,286.000000 kg,28.350000 L,1197 km
SCL,LTQ,2019-02-21,€96.000000,4167.790000 kg,357.020000 L,11783 km
LTQ,VIY,2019-02-21,€5.000000,50.640000 kg,12.820000 L,248 km
VIY,DUB,2019-02-22,€6.000000,243.650000 kg,26.180000 L,834 km
DUB,TXL,2019-02-24,€9.000000,384.720000 kg,37.560000 L,1359 km
TXL,LTQ,2019-03-16,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,YHU,2019-03-16,€36.000000,1542.870000 kg,134.580000 L,5467 km
YHU,MEX,2019-03-22,€23.000000,958.610000 kg,85.080000 L,3757 km
MEX,CZM,2019-03-23,€10.000000,406.000000 kg,39.740000 L,1323 km
CZM,TNT,2019-03-28,€67.000000,2896.670000 kg,249.310000 L,9036 km
TNT,LCY,2019-03-30,€8.000000,311.200000 kg,31.610000 L,1061 km
LCY,LTQ,2019-04-18,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,IBZ,2019-04-18,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,OPO,2019-04-20,€7.000000,277.430000 kg,28.890000 L,941 km
OPO,LTQ,2019-04-26,€9.000000,384.340000 kg,37.530000 L,1357 km
LTQ,VIY,2019-04-26,€5.000000,50.640000 kg,12.820000 L,248 km
VIY,LTQ,2019-05-03,€5.000000,50.640000 kg,12.820000 L,248 km
LTQ,LCY,2019-05-03,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,LTQ,2019-05-11,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,SXB,2019-05-29,€5.000000,155.770000 kg,19.950000 L,537 km
SXB,LTQ,2019-06-15,€5.000000,155.770000 kg,19.950000 L,537 km
LTQ,MAD,2019-06-15,€9.000000,355.010000 kg,35.150000 L,1238 km
MAD,BCN,2019-06-16,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,LTQ,2019-07-12,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,TRS,2019-07-12,€8.000000,320.840000 kg,32.380000 L,1100 km
TRS,LBG,2019-07-13,€7.000000,289.220000 kg,29.830000 L,978 km
LBG,TLN,2019-07-14,€6.000000,218.410000 kg,24.160000 L,754 km
TLN,LTQ,2019-07-20,€7.000000,275.970000 kg,28.770000 L,936 km
LTQ,BCN,2019-07-20,€8.000000,314.930000 kg,31.910000 L,1076 km
BCN,LTQ,2019-07-23,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,IBZ,2019-07-23,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,DXB,2019-07-25,€34.000000,1477.030000 kg,128.990000 L,5284 km
DXB,LTQ,2019-08-15,€35.000000,1514.950000 kg,132.210000 L,5389 km
LTQ,TGM,2019-08-15,€12.000000,490.790000 kg,46.150000 L,1788 km
TGM,LTQ,2019-08-25,€12.000000,490.790000 kg,46.150000 L,1788 km
LTQ,LCY,2019-08-25,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,LTQ,2019-08-31,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,MCX,2019-08-31,€22.000000,918.920000 kg,81.760000 L,3589 km
MCX,LTQ,2019-09-06,€22.000000,918.920000 kg,81.760000 L,3589 km
LTQ,LBG,2019-09-06,€5.000000,47.460000 kg,12.010000 L,232 km
LBG,LTQ,2019-09-13,€5.000000,47.460000 kg,12.010000 L,232 km
LTQ,DUB,2019-09-13,€5.000000,196.580000 kg,22.680000 L,679 km
DUB,LYN,2019-09-14,€9.000000,351.660000 kg,34.880000 L,1225 km
LYN,LTQ,2019-09-18,€5.000000,184.500000 kg,21.870000 L,637 km
LTQ,TXL,2019-09-18,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,BFI,2019-09-19,€59.000000,2556.920000 kg,220.540000 L,8175 km
BFI,TNT,2019-09-20,€64.000000,2773.800000 kg,238.910000 L,8725 km
TNT,ATL,2019-09-21,€56.000000,2422.880000 kg,209.190000 L,7835 km
ATL,BFI,2019-09-22,€21.000000,911.720000 kg,81.160000 L,3559 km
BFI,DEN,2019-09-26,€11.000000,467.000000 kg,44.220000 L,1692 km
DEN,YHU,2019-09-28,€16.000000,687.000000 kg,62.400000 L,2608 km
LGA,DCA,2019-10-05,€5.000000,91.000000 kg,14.680000 L,393 km
DCA,SOF,2019-10-19,€58.000000,2479.660000 kg,214.000000 L,7979 km
SOF,LTQ,2019-10-25,€13.000000,523.180000 kg,48.770000 L,1919 km
LTQ,LBG,2019-10-25,€5.000000,47.460000 kg,12.010000 L,232 km
LBG,LTQ,2019-11-08,€5.000000,47.460000 kg,12.010000 L,232 km
LTQ,BRU,2019-11-08,€5.000000,52.810000 kg,13.070000 L,256 km
BRU,LTQ,2019-11-15,€5.000000,52.810000 kg,13.070000 L,256 km
TAO,PEK,2019-11-23,€5.000000,144.000000 kg,17.460000 L,588 km
PEK,SHA,2019-11-29,€8.000000,333.000000 kg,33.410000 L,1125 km
SHA,BKK,2019-11-30,€18.000000,768.190000 kg,69.180000 L,2952 km
BKK,PER,2019-12-01,€32.000000,1381.000000 kg,120.500000 L,5399 km
PER,MEB,2019-12-06,€17.000000,721.910000 kg,65.310000 L,2756 km
MEB,SYD,2019-12-07,€6.000000,218.980000 kg,24.200000 L,756 km
ORY,LTQ,2019-12-27,€5.000000,53.160000 kg,13.100000 L,257 km
LTQ,LTQ,2019-12-27,€0.000000,0.000000 kg,0.000000 L,0 km
