DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,BMA,2019-01-19,€6.000000,251.330000 kg,26.800000 L,858 km
BMA,TXL,2019-01-25,€6.000000,251.330000 kg,26.800000 L,858 km
TXL,LCY,2019-01-25,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,TXL,2019-02-09,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,TRN,2019-02-09,€7.000000,277.000000 kg,28.860000 L,964 km
TRN,TXL,2019-02-21,€7.000000,277.000000 kg,28.860000 L,964 km
TXL,BUD,2019-02-23,€6.000000,222.000000 kg,24.550000 L,760 km
BUD,TXL,2019-03-09,€6.000000,222.000000 kg,24.550000 L,760 km
TXL,PRG,2019-03-15,€5.000000,38.000000 kg,9.620000 L,330 km
PRG,TXL,2019-04-05,€5.000000,38.000000 kg,9.620000 L,330 km
TXL,ZRH,2019-04-13,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,TXL,2019-04-19,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,MHG,2019-04-27,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,PSA,2019-04-28,€5.000000,206.070000 kg,23.310000 L,712 km
PSA,TXL,2019-05-11,€8.000000,311.290000 kg,31.610000 L,1061 km
TXL,LCY,2019-05-11,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,TXL,2019-06-09,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,SXF,2019-06-09,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,IBZ,2019-06-11,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,TXL,2019-07-06,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,TRN,2019-07-06,€7.000000,277.000000 kg,28.860000 L,964 km
TRN,TXL,2019-07-14,€7.000000,277.000000 kg,28.860000 L,964 km
TXL,AMS,2019-07-14,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-08-02,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LCC,2019-08-13,€10.000000,411.990000 kg,39.770000 L,1469 km
LCC,CND,2019-08-15,€7.000000,299.750000 kg,30.680000 L,1015 km
CND,LCY,2019-08-17,€15.000000,617.910000 kg,56.630000 L,2316 km
LCY,TXL,2019-08-22,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,IBZ,2019-08-22,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-09-01,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,LCY,2019-09-27,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,VIC,2019-09-28,€8.000000,325.820000 kg,32.790000 L,1120 km
VIC,TXL,2019-10-04,€6.000000,245.430000 kg,26.320000 L,839 km
TXL,LIN,2019-10-04,€7.000000,262.650000 kg,27.700000 L,894 km
LIN,TXL,2019-10-05,€7.000000,262.650000 kg,27.700000 L,894 km
TXL,RTM,2019-11-15,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,LCY,2019-11-16,€5.000000,83.520000 kg,15.560000 L,354 km
LCY,TXL,2019-11-30,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,FLR,2019-11-30,€8.000000,305.430000 kg,31.140000 L,1038 km
FLR,TXL,2019-12-14,€8.000000,305.430000 kg,31.140000 L,1038 km
TXL,TXL,2019-12-14,€5.000000,10.190000 kg,2.570000 L,50 km
