DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
GLA,OXF,2019-01-18,€5.000000,159.530000 kg,20.210000 L,550 km
OXF,HRT,2019-01-19,€5.000000,66.410000 kg,14.320000 L,306 km
HRT,GLA,2019-01-25,€5.000000,72.990000 kg,14.930000 L,329 km
GLA,LIN,2019-01-25,€10.000000,431.400000 kg,41.340000 L,1548 km
LIN,TXL,2019-01-26,€7.000000,262.650000 kg,27.700000 L,894 km
TXL,CWL,2019-01-28,€8.000000,344.490000 kg,34.300000 L,1196 km
CWL,GLA,2019-02-02,€5.000000,160.150000 kg,20.250000 L,552 km
GLA,CBG,2019-02-02,€5.000000,159.940000 kg,20.230000 L,551 km
CBG,GLA,2019-02-03,€5.000000,159.940000 kg,20.230000 L,551 km
GLA,LCY,2019-02-08,€5.000000,198.000000 kg,23.540000 L,616 km
LCY,GLA,2019-03-01,€5.000000,198.000000 kg,23.540000 L,616 km
GLA,EDI,2019-03-01,€5.000000,21.750000 kg,5.500000 L,106 km
EDI,GLA,2019-03-16,€5.000000,21.750000 kg,5.500000 L,106 km
GLA,TUN,2019-03-19,€15.000000,645.200000 kg,58.910000 L,2432 km
TUN,ESH,2019-03-30,€12.000000,497.770000 kg,46.710000 L,1816 km
ESH,GLA,2019-04-05,€5.000000,194.140000 kg,22.520000 L,670 km
WLG,MEB,2019-04-06,€16.000000,694.150000 kg,63.000000 L,2639 km
MEB,SYD,2019-04-13,€6.000000,218.980000 kg,24.200000 L,756 km
ABZ,GLA,2019-04-20,€5.000000,49.600000 kg,12.550000 L,243 km
GLA,BHD,2019-04-22,€5.000000,45.890000 kg,11.610000 L,224 km
BHD,GLA,2019-04-27,€5.000000,45.890000 kg,11.610000 L,224 km
GLA,DND,2019-04-27,€5.000000,30.410000 kg,7.690000 L,149 km
DND,GLA,2019-05-02,€5.000000,30.410000 kg,7.690000 L,149 km
GLA,SFO,2019-05-02,€59.000000,2548.240000 kg,219.810000 L,8153 km
SFO,GLA,2019-05-18,€59.000000,2548.240000 kg,219.810000 L,8153 km
GLA,EDI,2019-05-18,€5.000000,21.750000 kg,5.500000 L,106 km
EDI,GLA,2019-05-24,€5.000000,21.750000 kg,5.500000 L,106 km
GLA,SWS,2019-05-24,€5.000000,152.770000 kg,19.750000 L,526 km
SWS,ORY,2019-05-25,€5.000000,176.850000 kg,21.360000 L,610 km
ORY,NWI,2019-05-26,€5.000000,136.750000 kg,18.740000 L,480 km
NWI,GLA,2019-05-29,€5.000000,164.610000 kg,20.540000 L,568 km
GLA,LBA,2019-05-29,€5.000000,97.000000 kg,19.240000 L,335 km
LBA,LPL,2019-05-31,€5.000000,30.580000 kg,7.740000 L,149 km
LPL,DUB,2019-06-02,€5.000000,57.840000 kg,13.540000 L,274 km
