DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ELS,AGP,2019-04-19,€62.000000,2687.630000 kg,231.610000 L,8506 km
AGP,ELS,2019-05-03,€62.000000,2687.630000 kg,231.610000 L,8506 km
ELS,CPH,2019-05-03,€76.000000,3289.930000 kg,282.610000 L,10025 km
CPH,ELS,2019-07-20,€76.000000,3289.930000 kg,282.610000 L,10025 km
ELS,AUS,2019-07-20,€133.000000,5761.780000 kg,492.120000 L,14975 km
AUS,BUR,2019-07-24,€13.000000,552.060000 kg,51.130000 L,2038 km
BUR,LGA,2019-07-25,€24.000000,1017.390000 kg,89.980000 L,4003 km
LGA,DEN,2019-07-27,€15.000000,621.000000 kg,56.200000 L,2647 km
ELS,IBZ,2019-10-02,€62.000000,2688.980000 kg,231.720000 L,8510 km
IBZ,ELS,2019-10-22,€62.000000,2688.980000 kg,231.720000 L,8510 km
ELS,LGA,2019-10-22,€114.000000,4923.280000 kg,421.050000 L,13296 km
HOU,HHR,2019-11-09,€14.000000,608.560000 kg,55.850000 L,2277 km
ELS,ELS,2019-12-06,€0.000000,0.000000 kg,0.000000 L,0 km
