DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YYZ,YTZ,2019-01-04,€5.000000,14.210000 kg,3.590000 L,69 km
YTZ,YYZ,2019-01-26,€5.000000,14.210000 kg,3.590000 L,69 km
YYZ,YTZ,2019-01-26,€5.000000,14.210000 kg,3.590000 L,69 km
YTZ,YYZ,2019-02-08,€5.000000,14.210000 kg,3.590000 L,69 km
YYZ,PMI,2019-02-08,€46.000000,1959.000000 kg,169.890000 L,6626 km
PMI,YYZ,2019-03-17,€46.000000,1959.000000 kg,169.890000 L,6626 km
YYZ,FMY,2019-03-17,€13.000000,534.240000 kg,49.670000 L,1964 km
FMY,YYZ,2019-03-30,€13.000000,534.240000 kg,49.670000 L,1964 km
YYZ,BUF,2019-03-30,€5.000000,32.850000 kg,8.310000 L,161 km
BUF,YYZ,2019-04-07,€5.000000,32.850000 kg,8.310000 L,161 km
YYZ,SAN,2019-04-07,€21.000000,890.000000 kg,79.240000 L,3513 km
SAN,YYZ,2019-04-19,€21.000000,890.000000 kg,79.240000 L,3513 km
YYZ,PUJ,2019-04-19,€17.000000,697.000000 kg,62.530000 L,3030 km
PUJ,YYZ,2019-04-27,€17.000000,697.000000 kg,62.530000 L,3030 km
YYZ,YTZ,2019-04-27,€5.000000,14.210000 kg,3.590000 L,69 km
YTZ,YYZ,2019-05-04,€5.000000,14.210000 kg,3.590000 L,69 km
YYZ,YTZ,2019-05-04,€5.000000,14.210000 kg,3.590000 L,69 km
YTZ,YYZ,2019-05-26,€5.000000,14.210000 kg,3.590000 L,69 km
YYZ,DET,2019-05-26,€5.000000,85.290000 kg,15.670000 L,359 km
DET,YYZ,2019-07-06,€5.000000,85.290000 kg,15.670000 L,359 km
YYZ,SFO,2019-07-06,€21.000000,877.000000 kg,77.720000 L,3677 km
SFO,YYZ,2019-08-17,€21.000000,877.000000 kg,77.720000 L,3677 km
YYZ,AUS,2019-08-17,€14.000000,597.890000 kg,54.960000 L,2232 km
AUS,YYZ,2019-08-30,€14.000000,597.890000 kg,54.960000 L,2232 km
YYZ,CLO,2019-08-30,€28.000000,1213.180000 kg,106.600000 L,4549 km
CLO,LGA,2019-09-01,€26.000000,1095.620000 kg,96.620000 L,4221 km
LGA,YTZ,2019-09-02,€5.000000,175.710000 kg,21.290000 L,606 km
YTZ,YYZ,2019-09-28,€5.000000,14.210000 kg,3.590000 L,69 km
YYZ,YTZ,2019-09-28,€5.000000,14.210000 kg,3.590000 L,69 km
YTZ,YYZ,2019-10-12,€5.000000,14.210000 kg,3.590000 L,69 km
YYZ,LGA,2019-10-12,€5.000000,199.000000 kg,23.540000 L,621 km
LGA,YYZ,2019-11-01,€5.000000,199.000000 kg,23.540000 L,621 km
YYZ,LGB,2019-11-01,€21.000000,905.820000 kg,80.670000 L,3534 km
LGB,BAQ,2019-11-02,€33.000000,1425.040000 kg,124.580000 L,5139 km
BAQ,YYZ,2019-12-28,€22.000000,952.510000 kg,84.570000 L,3731 km
YYZ,YYZ,2019-12-28,€5.000000,10.190000 kg,2.570000 L,50 km
