DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MEB,BNE,2019-01-11,€10.000000,400.090000 kg,38.800000 L,1421 km
BNE,ADL,2019-01-12,€10.000000,427.000000 kg,40.500000 L,1669 km
ADL,SYD,2019-01-13,€8.000000,315.000000 kg,31.130000 L,1214 km
SOF,LCY,2019-03-30,€13.000000,557.060000 kg,51.550000 L,2059 km
LCY,SOF,2019-04-18,€13.000000,557.060000 kg,51.550000 L,2059 km
SOF,SXB,2019-04-18,€10.000000,403.480000 kg,39.080000 L,1435 km
SXB,GLA,2019-04-20,€8.000000,345.110000 kg,34.350000 L,1198 km
GLA,LPL,2019-04-21,€5.000000,80.420000 kg,15.370000 L,347 km
LPL,SOF,2019-04-26,€15.000000,617.910000 kg,56.630000 L,2316 km
SOF,LYN,2019-04-26,€10.000000,433.670000 kg,41.520000 L,1557 km
LYN,VIY,2019-04-27,€5.000000,122.830000 kg,17.910000 L,447 km
VIY,SOF,2019-05-03,€12.000000,499.590000 kg,46.860000 L,1824 km
SOF,SCL,2019-05-03,€108.000000,4687.250000 kg,401.050000 L,12823 km
SCL,CGH,2019-05-04,€16.000000,693.990000 kg,62.980000 L,2638 km
CGH,MAD,2019-05-11,€62.000000,2671.140000 kg,230.210000 L,8464 km
MAD,BCN,2019-05-12,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,SOF,2019-05-18,€12.000000,492.000000 kg,46.070000 L,1814 km
SOF,MHG,2019-05-18,€10.000000,400.560000 kg,38.840000 L,1423 km
MHG,SOF,2019-05-30,€10.000000,400.560000 kg,38.840000 L,1423 km
SOF,AMS,2019-05-30,€12.000000,504.000000 kg,47.340000 L,1803 km
AMS,MRS,2019-05-31,€8.000000,326.000000 kg,33.160000 L,1035 km
MRS,CPH,2019-06-02,€10.000000,421.170000 kg,40.510000 L,1506 km
CPH,SOF,2019-06-08,€11.000000,464.650000 kg,44.030000 L,1682 km
SOF,TXL,2019-06-08,€11.000000,462.000000 kg,44.810000 L,1379 km
TXL,SOF,2019-06-14,€11.000000,462.000000 kg,44.810000 L,1379 km
SOF,MAD,2019-06-14,€15.000000,615.000000 kg,56.200000 L,2295 km
MAD,SOF,2019-06-26,€15.000000,615.000000 kg,56.200000 L,2295 km
SOF,LDY,2019-06-26,€16.000000,695.370000 kg,63.100000 L,2644 km
LDY,SOF,2019-06-29,€16.000000,695.370000 kg,63.100000 L,2644 km
SOF,DUB,2019-06-29,€16.000000,669.070000 kg,60.900000 L,2533 km
DUB,AMS,2019-06-30,€6.000000,233.080000 kg,25.330000 L,800 km
AMS,SOF,2019-07-05,€12.000000,504.000000 kg,47.340000 L,1803 km
SOF,GLO,2019-07-05,€14.000000,594.800000 kg,54.700000 L,2219 km
