DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
WVN,CIA,2019-01-01,€10.000000,393.650000 kg,38.280000 L,1395 km
CIA,WVN,2019-01-10,€10.000000,393.650000 kg,38.280000 L,1395 km
WVN,OBF,2019-01-10,€5.000000,203.160000 kg,23.120000 L,701 km
OBF,WVN,2019-02-09,€5.000000,203.160000 kg,23.120000 L,701 km
WVN,BCN,2019-02-09,€10.000000,414.320000 kg,39.950000 L,1479 km
BCN,WVN,2019-03-23,€10.000000,414.320000 kg,39.950000 L,1479 km
WVN,MHG,2019-03-23,€5.000000,145.790000 kg,19.290000 L,502 km
MHG,WVN,2019-03-29,€5.000000,145.790000 kg,19.290000 L,502 km
WVN,ESS,2019-03-29,€5.000000,62.850000 kg,14.000000 L,293 km
ESS,CIA,2019-03-30,€8.000000,343.390000 kg,34.210000 L,1191 km
CIA,WVN,2019-04-18,€10.000000,393.650000 kg,38.280000 L,1395 km
WVN,LIS,2019-04-18,€14.000000,576.630000 kg,53.180000 L,2142 km
LIS,SZG,2019-04-20,€14.000000,565.650000 kg,52.270000 L,2095 km
SZG,WVN,2019-04-27,€6.000000,227.380000 kg,24.880000 L,782 km
WVN,STR,2019-04-27,€5.000000,173.130000 kg,21.110000 L,597 km
STR,WVN,2019-04-30,€5.000000,173.130000 kg,21.110000 L,597 km
WVN,TXL,2019-04-30,€5.000000,114.500000 kg,17.410000 L,428 km
TXL,WVN,2019-05-18,€5.000000,114.500000 kg,17.410000 L,428 km
WVN,KSF,2019-05-18,€5.000000,67.040000 kg,14.380000 L,308 km
KSF,WVN,2019-05-30,€5.000000,67.040000 kg,14.380000 L,308 km
WVN,ZCC,2019-05-30,€0.000000,0.000000 kg,0.000000 L,0 km
ZCC,WVN,2019-06-14,€0.000000,0.000000 kg,0.000000 L,0 km
WVN,DEB,2019-06-14,€9.000000,351.110000 kg,34.840000 L,1223 km
DEB,WVN,2019-06-20,€9.000000,351.110000 kg,34.840000 L,1223 km
WVN,QHD,2019-06-20,€0.000000,0.000000 kg,0.000000 L,0 km
QHD,PZY,2019-06-22,€0.000000,0.000000 kg,0.000000 L,0 km
PZY,WVN,2019-06-28,€7.000000,274.120000 kg,28.620000 L,930 km
WVN,EWR,2019-06-28,€41.000000,1759.480000 kg,152.960000 L,6070 km
EWR,OST,2019-07-12,€39.000000,1679.070000 kg,146.130000 L,5846 km
OST,WVN,2019-08-02,€5.000000,135.890000 kg,18.690000 L,478 km
WVN,HHN,2019-08-02,€5.000000,124.360000 kg,18.000000 L,451 km
HHN,WVN,2019-08-18,€5.000000,124.360000 kg,18.000000 L,451 km
WVN,BOG,2019-08-18,€68.000000,2930.360000 kg,252.160000 L,9121 km
BOG,CGN,2019-08-23,€67.000000,2903.080000 kg,249.850000 L,9052 km
CGN,WVN,2019-08-31,€5.000000,81.910000 kg,15.460000 L,351 km
WVN,STR,2019-08-31,€5.000000,173.130000 kg,21.110000 L,597 km
STR,WVN,2019-09-28,€5.000000,173.130000 kg,21.110000 L,597 km
WVN,DUS,2019-09-28,€5.000000,68.050000 kg,14.480000 L,312 km
DUS,WVN,2019-10-11,€5.000000,68.050000 kg,14.480000 L,312 km
WVN,MLH,2019-10-11,€5.000000,201.150000 kg,22.980000 L,694 km
MLH,WVN,2019-10-18,€5.000000,201.150000 kg,22.980000 L,694 km
WVN,PRG,2019-10-18,€5.000000,186.210000 kg,21.990000 L,643 km
PRG,FOG,2019-10-19,€7.000000,300.120000 kg,30.710000 L,1016 km
FOG,WVN,2019-10-25,€10.000000,423.090000 kg,40.660000 L,1514 km
WVN,CGN,2019-10-25,€5.000000,81.910000 kg,15.460000 L,351 km
CGN,WVN,2019-10-31,€5.000000,81.910000 kg,15.460000 L,351 km
WVN,ESS,2019-10-31,€5.000000,62.850000 kg,14.000000 L,293 km
ESS,WVN,2019-11-15,€5.000000,62.850000 kg,14.000000 L,293 km
WVN,ENC,2019-11-15,€7.000000,261.270000 kg,27.590000 L,890 km
ENC,LUX,2019-11-16,€5.000000,123.790000 kg,17.970000 L,449 km
LUX,WVN,2019-12-07,€5.000000,145.360000 kg,19.260000 L,501 km
WVN,ESS,2019-12-07,€5.000000,62.850000 kg,14.000000 L,293 km
ESS,WVN,2019-12-14,€5.000000,62.850000 kg,14.000000 L,293 km
WVN,BUD,2019-12-14,€8.000000,320.750000 kg,32.380000 L,1100 km
BUD,WVN,2019-12-31,€8.000000,320.750000 kg,32.380000 L,1100 km
WVN,WVN,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
