DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,CPH,2019-02-09,€5.000000,103.130000 kg,16.730000 L,401 km
CPH,SXF,2019-02-15,€5.000000,103.130000 kg,16.730000 L,401 km
SXF,LCY,2019-02-15,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,LGA,2019-02-16,€37.000000,1599.810000 kg,139.410000 L,5626 km
LGA,TXL,2019-03-02,€44.000000,1885.170000 kg,163.630000 L,6421 km
TXL,SXF,2019-03-15,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-03-15,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-04,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-04-04,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-11,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,DUB,2019-04-11,€9.000000,388.500000 kg,37.860000 L,1374 km
LIS,SXF,2019-04-21,€15.000000,629.470000 kg,57.600000 L,2365 km
SXF,TXL,2019-04-21,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-27,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HAM,2019-04-27,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-05-01,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,TXL,2019-05-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LCY,2019-05-03,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,SXF,2019-05-10,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,WRO,2019-05-10,€5.000000,74.080000 kg,15.000000 L,332 km
WRO,SXF,2019-05-17,€5.000000,74.080000 kg,15.000000 L,332 km
SXF,BRS,2019-05-17,€8.000000,337.490000 kg,33.730000 L,1168 km
BRS,SXF,2019-05-24,€8.000000,337.490000 kg,33.730000 L,1168 km
SXF,MAN,2019-05-24,€8.000000,323.340000 kg,32.590000 L,1110 km
MAN,LBA,2019-05-25,€5.000000,24.570000 kg,6.220000 L,120 km
LBA,SXF,2019-05-29,€8.000000,313.420000 kg,31.780000 L,1070 km
SXF,LEJ,2019-05-29,€5.000000,39.530000 kg,10.000000 L,193 km
LEJ,EIN,2019-05-31,€5.000000,155.960000 kg,19.970000 L,538 km
EIN,SXF,2019-06-08,€5.000000,179.280000 kg,21.520000 L,619 km
SXF,GLA,2019-06-08,€9.000000,360.790000 kg,35.620000 L,1262 km
GLA,SXF,2019-06-13,€9.000000,360.790000 kg,35.620000 L,1262 km
SYD,MEB,2019-06-15,€6.000000,218.980000 kg,24.200000 L,756 km
MEB,AKL,2019-06-21,€17.000000,705.880000 kg,63.970000 L,2688 km
AKL,HND,2019-06-27,€66.000000,2837.590000 kg,244.310000 L,8886 km
HND,SSN,2019-06-28,€9.000000,348.350000 kg,34.610000 L,1211 km
KWL,QPG,2019-07-06,€17.000000,728.970000 kg,65.900000 L,2786 km
QPG,DPS,2019-07-07,€11.000000,476.580000 kg,45.000000 L,1731 km
