DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ORD,CVJ,2019-02-15,€18.000000,742.180000 kg,67.010000 L,2842 km
CVJ,ORD,2019-05-24,€18.000000,742.180000 kg,67.010000 L,2842 km
ORD,SYD,2019-05-24,€132.000000,5739.070000 kg,490.200000 L,14930 km
GLA,ORD,2019-06-26,€40.000000,1721.580000 kg,149.740000 L,5965 km
ORD,YEO,2019-06-26,€43.000000,1837.760000 kg,159.600000 L,6289 km
YEO,RTM,2019-07-06,€5.000000,159.560000 kg,20.210000 L,550 km
RTM,ORD,2019-08-23,€46.000000,1974.390000 kg,171.200000 L,6669 km
ORD,BCN,2019-08-23,€39.000000,1664.000000 kg,144.050000 L,7139 km
BCN,LCY,2019-08-25,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,PUY,2019-08-28,€9.000000,373.090000 kg,36.620000 L,1312 km
PUY,ORD,2019-11-09,€55.000000,2365.960000 kg,204.370000 L,7691 km
ORD,ORD,2019-11-09,€0.000000,0.000000 kg,0.000000 L,0 km
