DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LGW,BRS,2019-02-07,€5.000000,46.580000 kg,11.790000 L,228 km
BRS,LGW,2019-02-23,€5.000000,46.580000 kg,11.790000 L,228 km
LGW,TXL,2019-02-23,€7.000000,292.490000 kg,30.090000 L,988 km
TXL,LGW,2019-03-28,€7.000000,292.490000 kg,30.090000 L,988 km
LGW,LCY,2019-03-28,€5.000000,19.250000 kg,4.870000 L,94 km
LCY,LGW,2019-04-11,€5.000000,19.250000 kg,4.870000 L,94 km
LGW,BXO,2019-05-18,€29.000000,1246.030000 kg,109.390000 L,4640 km
BXO,LGW,2019-05-31,€29.000000,1246.030000 kg,109.390000 L,4640 km
LGW,HND,2019-05-31,€73.000000,3147.680000 kg,270.560000 L,9672 km
LGW,YEO,2019-06-26,€5.000000,45.280000 kg,11.460000 L,221 km
YEO,LGW,2019-07-12,€5.000000,45.280000 kg,11.460000 L,221 km
LGW,TXL,2019-07-12,€7.000000,292.490000 kg,30.090000 L,988 km
TXL,LGW,2019-07-20,€7.000000,292.490000 kg,30.090000 L,988 km
LGW,BRU,2019-07-20,€5.000000,109.000000 kg,18.480000 L,377 km
BRU,LGW,2019-08-17,€5.000000,109.000000 kg,18.480000 L,377 km
LGW,LGA,2019-08-17,€37.000000,1598.530000 kg,139.300000 L,5622 km
LGA,SFO,2019-08-24,€25.000000,1086.830000 kg,95.880000 L,4197 km
SFO,TXL,2019-08-28,€68.000000,2950.230000 kg,253.840000 L,9172 km
TXL,LGW,2019-09-05,€7.000000,292.490000 kg,30.090000 L,988 km
LGW,WAW,2019-09-05,€10.000000,421.910000 kg,40.570000 L,1509 km
WAW,LGW,2019-09-20,€10.000000,421.910000 kg,40.570000 L,1509 km
LGW,MAN,2019-09-20,€5.000000,66.000000 kg,13.410000 L,333 km
MAN,LED,2019-09-21,€14.000000,574.800000 kg,53.030000 L,2134 km
LED,LGW,2019-10-11,€14.000000,578.000000 kg,53.160000 L,2170 km
LGW,MAN,2019-10-11,€5.000000,66.000000 kg,13.410000 L,333 km
MAN,LGW,2019-10-18,€5.000000,66.000000 kg,13.410000 L,333 km
LGW,LCY,2019-10-18,€5.000000,19.250000 kg,4.870000 L,94 km
LCY,LGW,2019-10-25,€5.000000,19.250000 kg,4.870000 L,94 km
LGW,BCN,2019-10-25,€8.000000,335.570000 kg,33.580000 L,1160 km
BCN,LGW,2019-11-09,€8.000000,335.570000 kg,33.580000 L,1160 km
LGW,LED,2019-11-09,€14.000000,578.000000 kg,53.160000 L,2170 km
LED,LGW,2019-11-26,€14.000000,578.000000 kg,53.160000 L,2170 km
LGW,BTS,2019-11-26,€9.000000,380.900000 kg,37.250000 L,1343 km
BTS,LGW,2019-11-29,€9.000000,380.900000 kg,37.250000 L,1343 km
LGW,LGW,2019-11-29,€5.000000,10.190000 kg,2.570000 L,50 km
