DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SMV,MAD,2019-01-01,€9.000000,375.550000 kg,36.820000 L,1322 km
MAD,SMV,2019-01-07,€9.000000,375.550000 kg,36.820000 L,1322 km
SMV,CZM,2019-01-07,€66.000000,2852.880000 kg,245.600000 L,8925 km
CZM,AEP,2019-01-25,€48.000000,2052.550000 kg,177.830000 L,6887 km
AEP,GVA,2019-02-02,€89.000000,3837.910000 kg,329.060000 L,11123 km
GVA,SMV,2019-02-09,€5.000000,76.030000 kg,15.110000 L,337 km
SMV,AEP,2019-02-09,€92.000000,3957.370000 kg,339.180000 L,11362 km
AEP,BCN,2019-02-15,€82.000000,3533.100000 kg,303.220000 L,10512 km
ZRH,SMV,2019-03-01,€5.000000,39.260000 kg,9.930000 L,192 km
SMV,DXB,2019-03-01,€30.000000,1267.550000 kg,111.210000 L,4700 km
DXB,YTZ,2019-03-07,€89.000000,3843.970000 kg,329.570000 L,11135 km
YTZ,LGA,2019-03-08,€5.000000,175.710000 kg,21.290000 L,606 km
LGA,TNT,2019-03-09,€45.000000,1953.210000 kg,169.400000 L,6610 km
TNT,GRX,2019-03-16,€11.000000,450.540000 kg,42.890000 L,1625 km
GRX,SMV,2019-03-24,€11.000000,437.890000 kg,41.860000 L,1574 km
SMV,BOS,2019-03-24,€42.000000,1806.180000 kg,156.920000 L,6201 km
BOS,TNT,2019-03-26,€43.000000,1846.320000 kg,160.330000 L,6312 km
TNT,MHG,2019-04-06,€5.000000,136.040000 kg,18.700000 L,478 km
MHG,SMV,2019-04-12,€5.000000,100.620000 kg,16.580000 L,395 km
SMV,ITM,2019-04-12,€72.000000,3090.290000 kg,265.700000 L,9526 km
AEP,LBG,2019-05-02,€89.000000,3837.990000 kg,329.060000 L,11123 km
LBG,SMV,2019-05-05,€5.000000,192.800000 kg,22.430000 L,666 km
SMV,LCY,2019-05-05,€7.000000,281.240000 kg,29.190000 L,953 km
LCY,SMV,2019-05-11,€7.000000,281.240000 kg,29.190000 L,953 km
SMV,IBZ,2019-05-11,€8.000000,332.390000 kg,33.320000 L,1147 km
IBZ,SMV,2019-05-18,€8.000000,332.390000 kg,33.320000 L,1147 km
SMV,RTM,2019-05-18,€6.000000,223.510000 kg,24.570000 L,770 km
RTM,SMV,2019-05-22,€6.000000,223.510000 kg,24.570000 L,770 km
SMV,IBZ,2019-05-22,€8.000000,332.390000 kg,33.320000 L,1147 km
IBZ,MAD,2019-05-25,€5.000000,137.000000 kg,17.970000 L,507 km
MAD,IBZ,2019-05-26,€5.000000,137.000000 kg,17.970000 L,507 km
