DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DTW,IBZ,2019-01-01,€48.000000,2061.610000 kg,178.600000 L,6912 km
IBZ,DTW,2019-01-18,€48.000000,2061.610000 kg,178.600000 L,6912 km
BCN,LBG,2019-02-01,€7.000000,265.650000 kg,27.940000 L,903 km
LBG,TXL,2019-02-02,€7.000000,268.020000 kg,28.130000 L,911 km
TXL,OBF,2019-02-08,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,MAD,2019-02-10,€10.000000,419.980000 kg,40.410000 L,1501 km
MAD,SNA,2019-02-13,€71.000000,3054.110000 kg,262.640000 L,9435 km
SNA,DTW,2019-02-23,€19.000000,786.000000 kg,70.370000 L,3196 km
DTW,IEV,2019-02-23,€57.000000,2465.320000 kg,212.780000 L,7943 km
IEV,TXL,2019-03-01,€9.000000,360.520000 kg,35.600000 L,1261 km
TXL,GLA,2019-03-02,€9.000000,356.890000 kg,35.300000 L,1246 km
GLA,CLJ,2019-03-08,€14.000000,595.100000 kg,54.720000 L,2220 km
CLJ,CIA,2019-03-16,€8.000000,324.660000 kg,32.690000 L,1116 km
CIA,IST,2019-03-30,€10.000000,400.200000 kg,38.810000 L,1421 km
IST,MHG,2019-04-06,€12.000000,510.550000 kg,47.750000 L,1868 km
MHG,MEX,2019-04-12,€73.000000,3132.920000 kg,269.310000 L,9634 km
MEX,DTW,2019-04-19,€17.000000,730.000000 kg,65.560000 L,2979 km
DTW,PUJ,2019-04-19,€15.000000,620.000000 kg,55.690000 L,3034 km
PUJ,DTW,2019-04-25,€15.000000,620.000000 kg,55.690000 L,3034 km
DTW,CND,2019-04-25,€61.000000,2617.560000 kg,225.680000 L,8329 km
CND,SNA,2019-05-07,€85.000000,3667.920000 kg,314.650000 L,10782 km
SNA,DTW,2019-05-11,€19.000000,786.000000 kg,70.370000 L,3196 km
DTW,TXL,2019-05-11,€48.000000,2044.590000 kg,177.150000 L,6865 km
TXL,AMS,2019-05-25,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,BFI,2019-06-06,€57.000000,2444.540000 kg,211.030000 L,7890 km
BFI,YVR,2019-06-07,€5.000000,49.970000 kg,12.650000 L,244 km
YVR,BUR,2019-06-08,€12.000000,484.900000 kg,45.670000 L,1764 km
BUR,SFO,2019-06-09,€5.000000,182.000000 kg,22.270000 L,575 km
SFO,DTW,2019-06-13,€18.000000,751.000000 kg,66.830000 L,3386 km
DTW,BOS,2019-06-13,€7.000000,264.000000 kg,26.830000 L,1064 km
BOS,TNT,2019-06-14,€43.000000,1846.320000 kg,160.330000 L,6312 km
TNT,LGA,2019-06-15,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,DTW,2019-06-21,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,ZUN,2019-06-21,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,DET,2019-06-22,€0.000000,0.000000 kg,0.000000 L,0 km
DET,YTZ,2019-06-23,€5.000000,91.440000 kg,16.030000 L,373 km
YTZ,DTW,2019-07-01,€5.000000,106.180000 kg,16.910000 L,408 km
DTW,IBZ,2019-07-01,€48.000000,2061.610000 kg,178.600000 L,6912 km
IBZ,SNA,2019-07-05,€75.000000,3224.820000 kg,277.100000 L,9867 km
SNA,DTW,2019-07-27,€19.000000,786.000000 kg,70.370000 L,3196 km
DTW,RMI,2019-07-27,€52.000000,2236.070000 kg,193.370000 L,7362 km
RMI,CGN,2019-08-03,€5.000000,217.000000 kg,22.780000 L,913 km
CGN,KNF,2019-08-08,€5.000000,165.790000 kg,20.620000 L,572 km
KNF,IBZ,2019-08-22,€10.000000,406.490000 kg,39.320000 L,1447 km
IBZ,LED,2019-08-24,€19.000000,811.870000 kg,72.820000 L,3136 km
LED,TXL,2019-08-29,€8.000000,316.000000 kg,30.880000 L,1366 km
TXL,ZRH,2019-09-06,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,ODS,2019-09-07,€11.000000,474.780000 kg,44.850000 L,1723 km
ODS,SNA,2019-09-20,€83.000000,3586.680000 kg,307.760000 L,10620 km
SNA,DTW,2019-09-23,€19.000000,786.000000 kg,70.370000 L,3196 km
DTW,IBZ,2019-09-23,€48.000000,2061.610000 kg,178.600000 L,6912 km
IBZ,TXL,2019-10-02,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,ZRH,2019-10-11,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,VIY,2019-10-18,€5.000000,158.070000 kg,20.110000 L,545 km
VIY,CGN,2019-10-19,€5.000000,134.780000 kg,18.620000 L,475 km
CGN,DTW,2019-11-07,€45.000000,1950.230000 kg,169.140000 L,6602 km
DTW,CIA,2019-11-07,€53.000000,2284.260000 kg,197.450000 L,7484 km
CIA,VIC,2019-11-16,€5.000000,133.540000 kg,18.550000 L,472 km
VIC,DTW,2019-12-01,€50.000000,2169.020000 kg,187.700000 L,7192 km
DTW,SXF,2019-12-01,€48.000000,2050.240000 kg,177.630000 L,6880 km
SXF,SOF,2019-12-07,€9.000000,386.710000 kg,37.720000 L,1367 km
SOF,LCY,2019-12-14,€13.000000,557.060000 kg,51.550000 L,2059 km
LCY,OPO,2019-12-28,€9.000000,389.900000 kg,37.980000 L,1380 km
OPO,DTW,2019-12-31,€41.000000,1750.740000 kg,152.220000 L,6046 km
