DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CZM,NVT,2019-01-11,€47.000000,2005.740000 kg,173.860000 L,6756 km
NVT,VCP,2019-01-12,€5.000000,147.760000 kg,19.420000 L,509 km
VCP,DXB,2019-01-24,€103.000000,4438.340000 kg,379.950000 L,12325 km
HND,VIE,2019-02-01,€69.000000,2963.680000 kg,254.980000 L,9206 km
VIE,NAP,2019-02-07,€6.000000,225.000000 kg,24.050000 L,871 km
NAP,CIA,2019-02-07,€5.000000,50.910000 kg,12.880000 L,249 km
CIA,MAN,2019-02-08,€11.000000,475.860000 kg,44.940000 L,1728 km
MAN,LCY,2019-02-09,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,NAP,2019-02-15,€11.000000,458.340000 kg,43.520000 L,1657 km
NAP,EWR,2019-02-15,€50.000000,2151.290000 kg,186.200000 L,7147 km
EWR,TNT,2019-02-16,€46.000000,1962.500000 kg,170.190000 L,6636 km
TNT,BOG,2019-02-21,€70.000000,3011.940000 kg,259.070000 L,9328 km
BOG,CLO,2019-02-22,€5.000000,57.000000 kg,14.430000 L,328 km
CLO,EOH,2019-02-23,€5.000000,95.280000 kg,16.260000 L,382 km
EOH,TNT,2019-03-01,€70.000000,3007.840000 kg,258.720000 L,9318 km
TNT,SJO,2019-03-02,€73.000000,3148.380000 kg,270.620000 L,9674 km
SJO,DET,2019-03-08,€22.000000,936.980000 kg,83.270000 L,3665 km
LAS,TNT,2019-03-23,€71.000000,3071.890000 kg,264.140000 L,9480 km
TNT,OBF,2019-04-05,€5.000000,57.810000 kg,13.530000 L,274 km
OBF,MHG,2019-04-06,€5.000000,66.890000 kg,14.370000 L,307 km
MHG,NAP,2019-04-11,€8.000000,322.980000 kg,32.560000 L,1109 km
NAP,CZM,2019-04-11,€71.000000,3073.220000 kg,264.260000 L,9483 km
CZM,BNE,2019-04-12,€122.000000,5272.920000 kg,450.690000 L,13996 km
BNE,SYD,2019-04-13,€6.000000,227.000000 kg,24.550000 L,800 km
SYD,ADL,2019-04-18,€8.000000,315.000000 kg,31.130000 L,1214 km
ADL,MEB,2019-04-20,€5.000000,201.170000 kg,22.990000 L,695 km
MEB,JAD,2019-04-21,€17.000000,722.190000 kg,65.340000 L,2757 km
JAD,DPS,2019-04-24,€17.000000,696.390000 kg,63.180000 L,2648 km
DPS,CND,2019-04-25,€81.000000,3513.900000 kg,301.590000 L,10474 km
CND,NAP,2019-05-11,€9.000000,364.630000 kg,35.930000 L,1277 km
NAP,AMS,2019-05-11,€10.000000,422.650000 kg,40.630000 L,1512 km
AMS,NAP,2019-05-16,€10.000000,422.650000 kg,40.630000 L,1512 km
NAP,IBZ,2019-05-16,€8.000000,339.570000 kg,33.900000 L,1176 km
IBZ,NAP,2019-05-23,€8.000000,339.570000 kg,33.900000 L,1176 km
NAP,IBZ,2019-05-23,€8.000000,339.570000 kg,33.900000 L,1176 km
IBZ,NAP,2019-05-26,€8.000000,339.570000 kg,33.900000 L,1176 km
NAP,LPL,2019-05-26,€13.000000,528.230000 kg,49.180000 L,1940 km
LPL,NAP,2019-05-30,€13.000000,528.230000 kg,49.180000 L,1940 km
