DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,TBS,2019-01-09,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,TXL,2019-02-02,€17.000000,705.980000 kg,63.980000 L,2689 km
TXL,LIN,2019-02-02,€7.000000,262.650000 kg,27.700000 L,894 km
LIN,TXL,2019-02-16,€7.000000,262.650000 kg,27.700000 L,894 km
TXL,LCY,2019-02-22,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,BRS,2019-02-23,€5.000000,49.700000 kg,12.580000 L,243 km
BRS,TXL,2019-03-22,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,PHL,2019-03-22,€45.000000,1939.640000 kg,168.250000 L,6572 km
PHL,LGA,2019-03-23,€5.000000,43.000000 kg,10.880000 L,203 km
LGA,ORY,2019-04-05,€39.000000,1694.110000 kg,147.410000 L,5888 km
ORY,TXL,2019-04-12,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,LIS,2019-04-12,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,BRU,2019-04-13,€11.000000,457.000000 kg,43.030000 L,1767 km
BRU,TXL,2019-04-17,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,CIA,2019-04-21,€9.000000,357.980000 kg,35.390000 L,1250 km
CIA,TXL,2019-05-16,€9.000000,357.980000 kg,35.390000 L,1250 km
TXL,HKG,2019-05-16,€65.000000,2809.160000 kg,241.900000 L,8814 km
GMP,HND,2019-05-24,€10.000000,434.000000 kg,43.030000 L,1228 km
HND,MEB,2019-05-31,€60.000000,2575.180000 kg,222.090000 L,8221 km
CAN,SZX,2019-06-09,€5.000000,29.990000 kg,7.590000 L,147 km
SZX,SXF,2019-06-14,€65.000000,2790.480000 kg,240.320000 L,8767 km
SXF,TXL,2019-06-20,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,CIA,2019-06-20,€9.000000,357.980000 kg,35.390000 L,1250 km
CIA,WAW,2019-06-21,€9.000000,389.510000 kg,37.950000 L,1378 km
WAW,TXL,2019-07-05,€5.000000,164.000000 kg,20.000000 L,573 km
TXL,LIN,2019-07-05,€7.000000,262.650000 kg,27.700000 L,894 km
LIN,TXL,2019-07-19,€7.000000,262.650000 kg,27.700000 L,894 km
TXL,ORY,2019-07-19,€5.000000,202.000000 kg,21.010000 L,927 km
ORY,TXL,2019-08-16,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,LYN,2019-09-15,€7.000000,301.750000 kg,30.840000 L,1023 km
LYN,TXL,2019-09-28,€7.000000,301.750000 kg,30.840000 L,1023 km
TXL,LCY,2019-09-28,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,TXL,2019-10-12,€7.000000,284.090000 kg,29.420000 L,962 km
MAD,TXL,2019-10-31,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,VCE,2019-10-31,€5.000000,193.000000 kg,20.750000 L,835 km
VCE,TXL,2019-11-15,€5.000000,193.000000 kg,20.750000 L,835 km
TXL,BEG,2019-11-15,€8.000000,318.000000 kg,32.400000 L,1049 km
BEG,PEG,2019-11-16,€5.000000,207.720000 kg,23.430000 L,717 km
PEG,TXL,2019-11-23,€8.000000,322.050000 kg,32.480000 L,1105 km
TXL,HAM,2019-11-30,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-12-06,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,PRG,2019-12-06,€5.000000,38.000000 kg,9.620000 L,330 km
PRG,TXL,2019-12-13,€5.000000,38.000000 kg,9.620000 L,330 km
