DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
JBR,LGA,2019-01-26,€11.000000,447.310000 kg,42.630000 L,1612 km
LGA,JBR,2019-02-02,€11.000000,447.310000 kg,42.630000 L,1612 km
JBR,LGA,2019-02-02,€11.000000,447.310000 kg,42.630000 L,1612 km
LGA,JBR,2019-02-27,€11.000000,447.310000 kg,42.630000 L,1612 km
JBR,LGA,2019-02-27,€11.000000,447.310000 kg,42.630000 L,1612 km
LGA,JBR,2019-03-23,€11.000000,447.310000 kg,42.630000 L,1612 km
JBR,SYR,2019-03-23,€10.000000,428.310000 kg,41.090000 L,1535 km
SYR,JBR,2019-04-19,€10.000000,428.310000 kg,41.090000 L,1535 km
JBR,LGA,2019-04-19,€11.000000,447.310000 kg,42.630000 L,1612 km
LGA,JBR,2019-05-24,€11.000000,447.310000 kg,42.630000 L,1612 km
JBR,DET,2019-05-24,€8.000000,304.520000 kg,31.060000 L,1034 km
DET,JBR,2019-06-06,€8.000000,304.520000 kg,31.060000 L,1034 km
JBR,GVA,2019-06-06,€55.000000,2386.130000 kg,206.080000 L,7742 km
GVA,LEJ,2019-06-14,€6.000000,228.710000 kg,24.980000 L,787 km
LEJ,TXL,2019-06-21,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,AGB,2019-06-26,€5.000000,158.270000 kg,20.120000 L,546 km
AGB,LGA,2019-07-05,€44.000000,1904.360000 kg,165.250000 L,6474 km
LGA,JBR,2019-07-26,€11.000000,447.310000 kg,42.630000 L,1612 km
JBR,ALB,2019-07-26,€11.000000,466.030000 kg,44.140000 L,1688 km
ALB,JBR,2019-09-27,€11.000000,466.030000 kg,44.140000 L,1688 km
JBR,YHU,2019-09-27,€12.000000,495.160000 kg,46.500000 L,1806 km
YHU,JBR,2019-10-26,€12.000000,495.160000 kg,46.500000 L,1806 km
JBR,LGA,2019-10-26,€11.000000,447.310000 kg,42.630000 L,1612 km
LGA,JBR,2019-11-15,€11.000000,447.310000 kg,42.630000 L,1612 km
JBR,TXL,2019-11-15,€56.000000,2414.720000 kg,208.500000 L,7815 km
TXL,LGA,2019-11-29,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,JBR,2019-12-14,€11.000000,447.310000 kg,42.630000 L,1612 km
JBR,JBR,2019-12-14,€5.000000,10.190000 kg,2.570000 L,50 km
