DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LEJ,LCY,2019-02-09,€7.000000,266.210000 kg,27.990000 L,905 km
LCY,LEJ,2019-02-15,€7.000000,266.210000 kg,27.990000 L,905 km
LEJ,OBF,2019-02-15,€5.000000,114.550000 kg,17.420000 L,428 km
OBF,MLH,2019-02-16,€5.000000,80.200000 kg,15.360000 L,347 km
MLH,LEJ,2019-02-21,€5.000000,173.000000 kg,21.110000 L,597 km
LEJ,TNT,2019-02-21,€5.000000,188.520000 kg,22.140000 L,651 km
TNT,LGA,2019-02-23,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,SNC,2019-03-01,€31.000000,1335.190000 kg,116.950000 L,4889 km
SNC,BYU,2019-03-15,€81.000000,3497.170000 kg,300.170000 L,10440 km
BYU,LEJ,2019-03-21,€5.000000,45.230000 kg,11.450000 L,221 km
LEJ,LCY,2019-03-21,€7.000000,266.210000 kg,27.990000 L,905 km
LCY,LEJ,2019-03-28,€7.000000,266.210000 kg,27.990000 L,905 km
LEJ,TNT,2019-03-28,€5.000000,188.520000 kg,22.140000 L,651 km
TNT,IBZ,2019-04-05,€8.000000,341.250000 kg,34.040000 L,1183 km
IBZ,LEJ,2019-04-12,€11.000000,466.360000 kg,44.170000 L,1689 km
LEJ,CIA,2019-04-12,€8.000000,325.260000 kg,32.740000 L,1118 km
CIA,SOF,2019-04-13,€7.000000,288.060000 kg,29.740000 L,974 km
SOF,LEJ,2019-04-19,€9.000000,376.210000 kg,36.870000 L,1324 km
LEJ,TXL,2019-04-19,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,LCY,2019-04-20,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,CAG,2019-04-22,€11.000000,439.980000 kg,42.030000 L,1582 km
CAG,LEJ,2019-04-30,€10.000000,401.620000 kg,38.930000 L,1427 km
LEJ,STR,2019-04-30,€5.000000,83.000000 kg,12.650000 L,422 km
STR,LEJ,2019-05-04,€5.000000,83.000000 kg,12.650000 L,422 km
LEJ,SAN,2019-05-04,€71.000000,3082.300000 kg,265.030000 L,9506 km
SAN,AUS,2019-05-05,€13.000000,522.250000 kg,48.690000 L,1916 km
AUS,BCN,2019-05-17,€63.000000,2738.750000 kg,235.940000 L,8636 km
BCN,BGY,2019-05-18,€6.000000,243.380000 kg,26.160000 L,833 km
BGY,IBZ,2019-05-20,€8.000000,313.710000 kg,31.810000 L,1071 km
IBZ,LEJ,2019-05-25,€11.000000,466.360000 kg,44.170000 L,1689 km
LEJ,MAD,2019-05-25,€12.000000,488.320000 kg,45.950000 L,1778 km
MAD,LEJ,2019-05-28,€12.000000,488.320000 kg,45.950000 L,1778 km
LEJ,IBZ,2019-05-28,€11.000000,466.360000 kg,44.170000 L,1689 km
IBZ,LEJ,2019-05-31,€11.000000,466.360000 kg,44.170000 L,1689 km
LEJ,LCY,2019-05-31,€7.000000,266.210000 kg,27.990000 L,905 km
LCY,MHG,2019-06-01,€5.000000,198.870000 kg,22.830000 L,687 km
MHG,LEJ,2019-06-08,€5.000000,103.090000 kg,16.730000 L,401 km
LEJ,FRA,2019-06-08,€5.000000,90.000000 kg,16.700000 L,351 km
FRA,LEJ,2019-06-22,€5.000000,90.000000 kg,16.700000 L,351 km
LEJ,AGP,2019-06-22,€14.000000,582.300000 kg,53.660000 L,2166 km
AGP,IBZ,2019-06-24,€5.000000,158.000000 kg,18.730000 L,618 km
IBZ,LEJ,2019-07-06,€11.000000,466.360000 kg,44.170000 L,1689 km
LEJ,MUC,2019-07-06,€5.000000,93.000000 kg,15.180000 L,391 km
