DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
VPS,LGA,2019-01-05,€11.000000,460.730000 kg,43.710000 L,1666 km
LGA,VPS,2019-01-12,€11.000000,460.730000 kg,43.710000 L,1666 km
VPS,SFO,2019-01-12,€21.000000,881.450000 kg,78.630000 L,3431 km
SFO,VPS,2019-02-02,€21.000000,881.450000 kg,78.630000 L,3431 km
VPS,LGA,2019-02-02,€11.000000,460.730000 kg,43.710000 L,1666 km
LGA,VPS,2019-02-15,€11.000000,460.730000 kg,43.710000 L,1666 km
VPS,TXL,2019-02-15,€58.000000,2502.110000 kg,215.900000 L,8036 km
TXL,LCY,2019-02-23,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,YTZ,2019-03-09,€39.000000,1656.220000 kg,144.200000 L,5783 km
YTZ,VPS,2019-03-16,€11.000000,455.250000 kg,43.270000 L,1644 km
VPS,ORL,2019-03-16,€5.000000,172.310000 kg,21.060000 L,594 km
ORL,VPS,2019-03-22,€5.000000,172.310000 kg,21.060000 L,594 km
VPS,LGA,2019-03-22,€11.000000,460.730000 kg,43.710000 L,1666 km
LGA,VPS,2019-03-30,€11.000000,460.730000 kg,43.710000 L,1666 km
VPS,ATL,2019-03-30,€5.000000,130.000000 kg,18.480000 L,451 km
ATL,VPS,2019-04-05,€5.000000,130.000000 kg,18.480000 L,451 km
VPS,ZUN,2019-04-05,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,LGA,2019-04-06,€0.000000,0.000000 kg,0.000000 L,0 km
LGA,VPS,2019-04-20,€11.000000,460.730000 kg,43.710000 L,1666 km
VPS,DET,2019-04-20,€10.000000,398.490000 kg,38.670000 L,1414 km
DET,VPS,2019-05-03,€10.000000,398.490000 kg,38.670000 L,1414 km
VPS,TXL,2019-05-03,€58.000000,2502.110000 kg,215.900000 L,8036 km
TXL,HAM,2019-05-04,€5.000000,58.000000 kg,14.680000 L,299 km
SXB,DET,2019-05-24,€46.000000,1996.190000 kg,173.050000 L,6730 km
DET,VPS,2019-06-06,€10.000000,398.490000 kg,38.670000 L,1414 km
VPS,BFI,2019-06-06,€22.000000,929.810000 kg,82.670000 L,3635 km
BFI,YVR,2019-06-07,€5.000000,49.970000 kg,12.650000 L,244 km
YVR,BUR,2019-06-08,€12.000000,484.900000 kg,45.670000 L,1764 km
BUR,SFO,2019-06-09,€5.000000,182.000000 kg,22.270000 L,575 km
SFO,VPS,2019-06-13,€21.000000,881.450000 kg,78.630000 L,3431 km
VPS,BOS,2019-06-13,€13.000000,534.190000 kg,49.660000 L,1964 km
BOS,TNT,2019-06-14,€43.000000,1846.320000 kg,160.330000 L,6312 km
TNT,LGA,2019-06-15,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,VPS,2019-06-22,€11.000000,460.730000 kg,43.710000 L,1666 km
VPS,LGA,2019-06-22,€11.000000,460.730000 kg,43.710000 L,1666 km
LGA,VPS,2019-07-05,€11.000000,460.730000 kg,43.710000 L,1666 km
VPS,LCY,2019-07-05,€51.000000,2188.500000 kg,189.350000 L,7241 km
LCY,TXL,2019-07-06,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,BLR,2019-07-12,€50.000000,2171.250000 kg,187.890000 L,7198 km
BLR,BOM,2019-07-13,€5.000000,194.000000 kg,20.500000 L,892 km
BOM,OOL,2019-07-19,€78.000000,3371.210000 kg,289.500000 L,10188 km
OOL,SYD,2019-07-20,€5.000000,211.060000 kg,23.650000 L,729 km
SYD,TXL,2019-07-27,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,LGA,2019-08-09,€0.000000,0.000000 kg,0.000000 L,0 km
LGA,VPS,2019-08-15,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,AOO,2019-08-15,€0.000000,0.000000 kg,0.000000 L,0 km
AOO,VPS,2019-08-25,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,TXL,2019-08-25,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,VPS,2019-09-14,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,MSN,2019-09-14,€0.000000,0.000000 kg,0.000000 L,0 km
MSN,VPS,2019-09-19,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,LGA,2019-09-19,€0.000000,0.000000 kg,0.000000 L,0 km
LGA,HHR,2019-09-21,€0.000000,0.000000 kg,0.000000 L,0 km
HHR,VPS,2019-09-27,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,DUB,2019-09-27,€0.000000,0.000000 kg,0.000000 L,0 km
DUB,IBZ,2019-09-30,€0.000000,0.000000 kg,0.000000 L,0 km
IBZ,EMA,2019-10-04,€0.000000,0.000000 kg,0.000000 L,0 km
EMA,DND,2019-10-05,€0.000000,0.000000 kg,0.000000 L,0 km
DND,BRU,2019-10-11,€0.000000,0.000000 kg,0.000000 L,0 km
BRU,TXL,2019-10-12,€0.000000,0.000000 kg,0.000000 L,0 km
TXL,YQG,2019-10-26,€0.000000,0.000000 kg,0.000000 L,0 km
YQG,VPS,2019-11-02,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,LGA,2019-11-02,€0.000000,0.000000 kg,0.000000 L,0 km
LGA,VPS,2019-11-09,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,SFO,2019-11-09,€0.000000,0.000000 kg,0.000000 L,0 km
SFO,VPS,2019-11-15,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,HKG,2019-11-15,€0.000000,0.000000 kg,0.000000 L,0 km
SGN,HAN,2019-11-23,€0.000000,0.000000 kg,0.000000 L,0 km
HAN,LBA,2019-11-29,€0.000000,0.000000 kg,0.000000 L,0 km
LBA,FRA,2019-11-30,€0.000000,0.000000 kg,0.000000 L,0 km
FRA,SAN,2019-12-13,€0.000000,0.000000 kg,0.000000 L,0 km
SAN,VPS,2019-12-31,€0.000000,0.000000 kg,0.000000 L,0 km
VPS,VPS,2019-12-31,€0.000000,0.000000 kg,0.000000 L,0 km
