DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,BEY,2019-02-02,€17.000000,719.000000 kg,64.810000 L,2752 km
BEY,CGN,2019-02-08,€19.000000,784.920000 kg,70.570000 L,3022 km
CGN,SXF,2019-02-15,€5.000000,152.180000 kg,19.710000 L,524 km
SXF,TXL,2019-02-15,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-02-22,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,GVA,2019-02-22,€7.000000,273.550000 kg,28.570000 L,928 km
GVA,SXF,2019-03-30,€7.000000,273.550000 kg,28.570000 L,928 km
SXF,TXL,2019-03-30,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-13,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,BEG,2019-04-13,€8.000000,307.240000 kg,31.280000 L,1045 km
BEG,SXF,2019-04-26,€8.000000,307.240000 kg,31.280000 L,1045 km
SXF,TXL,2019-04-26,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-03,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,GRQ,2019-05-03,€5.000000,151.040000 kg,19.640000 L,520 km
GRQ,SXF,2019-05-24,€5.000000,151.040000 kg,19.640000 L,520 km
SXF,DET,2019-05-24,€47.000000,2037.880000 kg,176.580000 L,6846 km
DET,SXF,2019-06-12,€47.000000,2037.880000 kg,176.580000 L,6846 km
SXF,HND,2019-06-12,€67.000000,2878.300000 kg,247.750000 L,8989 km
HND,ITM,2019-06-22,€5.000000,114.000000 kg,16.200000 L,452 km
ITM,SXF,2019-08-02,€66.000000,2827.630000 kg,243.460000 L,8861 km
SXF,TXL,2019-08-02,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-09-27,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,FMO,2019-09-27,€5.000000,126.500000 kg,18.130000 L,456 km
FMO,SXF,2019-10-18,€5.000000,126.500000 kg,18.130000 L,456 km
SXF,TXL,2019-10-18,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-12-07,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,SXF,2019-12-07,€5.000000,10.190000 kg,2.570000 L,50 km
