DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ARN,DXB,2019-02-08,€31.000000,1317.350000 kg,115.440000 L,4839 km
DXB,ARN,2019-06-08,€31.000000,1317.350000 kg,115.440000 L,4839 km
ARN,HND,2019-06-08,€60.000000,2577.020000 kg,222.240000 L,8226 km
HND,ARN,2019-08-22,€60.000000,2577.020000 kg,222.240000 L,8226 km
ARN,YHU,2019-08-22,€40.000000,1707.920000 kg,148.580000 L,5927 km
YHU,MEX,2019-08-31,€23.000000,958.610000 kg,85.080000 L,3757 km
MEX,ARN,2019-11-22,€72.000000,3125.970000 kg,268.720000 L,9617 km
ARN,WRO,2019-11-22,€7.000000,296.060000 kg,30.380000 L,1000 km
WRO,ARN,2019-12-31,€7.000000,296.060000 kg,30.380000 L,1000 km
ARN,ARN,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
