DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,TXL,2019-01-19,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-02-01,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,MLH,2019-02-01,€5.000000,213.570000 kg,23.820000 L,738 km
MLH,SXF,2019-02-08,€5.000000,213.570000 kg,23.820000 L,738 km
SXF,ZRH,2019-02-08,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,TXL,2019-02-09,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,SXF,2019-02-21,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-02-21,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-23,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-03-23,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-02,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,SIR,2019-04-02,€6.000000,257.390000 kg,27.280000 L,877 km
SIR,SXF,2019-04-05,€6.000000,257.390000 kg,27.280000 L,877 km
SXF,TXL,2019-04-05,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-21,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ZRH,2019-04-21,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,SXF,2019-04-27,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,LCY,2019-04-27,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-05-11,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,MUC,2019-05-11,€5.000000,153.110000 kg,19.780000 L,528 km
MUC,SXF,2019-05-17,€5.000000,153.110000 kg,19.780000 L,528 km
SWF,LYN,2019-05-29,€42.000000,1793.110000 kg,155.810000 L,6164 km
LYN,SXF,2019-06-08,€7.000000,302.810000 kg,30.920000 L,1027 km
SXF,TXL,2019-06-08,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-06-16,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,BCN,2019-06-16,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-06-28,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,LBG,2019-06-28,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-07-06,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,TXL,2019-07-06,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-12,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LWR,2019-07-12,€5.000000,167.210000 kg,20.720000 L,577 km
LWR,SXF,2019-07-20,€5.000000,167.210000 kg,20.720000 L,577 km
SXF,ORY,2019-07-20,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,SXF,2019-07-28,€7.000000,277.190000 kg,28.870000 L,940 km
SXF,IBZ,2019-07-28,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-08-07,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,BUD,2019-08-07,€5.000000,216.140000 kg,23.990000 L,747 km
BUD,SXF,2019-08-10,€5.000000,216.140000 kg,23.990000 L,747 km
SXF,ZRH,2019-08-10,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,SXF,2019-08-22,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,RLG,2019-08-22,€5.000000,46.360000 kg,11.730000 L,227 km
RLG,TXL,2019-08-24,€5.000000,43.820000 kg,11.090000 L,214 km
