DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,HLP,2019-01-25,€86.000000,3701.820000 kg,317.520000 L,10850 km
HLP,SXF,2019-02-22,€86.000000,3701.820000 kg,317.520000 L,10850 km
SXF,OBF,2019-02-22,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,ESS,2019-02-23,€5.000000,154.250000 kg,19.850000 L,532 km
ESS,SXF,2019-03-01,€5.000000,148.560000 kg,19.470000 L,512 km
SXF,SFO,2019-03-01,€68.000000,2955.670000 kg,254.300000 L,9185 km
SFO,DEN,2019-03-02,€9.000000,388.000000 kg,36.960000 L,1603 km
DEN,VIY,2019-03-06,€57.000000,2451.230000 kg,211.590000 L,7907 km
VIY,SXF,2019-03-16,€7.000000,280.040000 kg,29.100000 L,949 km
SXF,RTM,2019-03-16,€5.000000,194.380000 kg,22.530000 L,671 km
RTM,AMS,2019-03-17,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,SXF,2019-03-22,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,BCN,2019-03-22,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,LIS,2019-03-23,€7.000000,298.000000 kg,30.370000 L,1041 km
LIS,SXF,2019-03-29,€15.000000,629.470000 kg,57.600000 L,2365 km
SXF,MLH,2019-03-29,€5.000000,213.570000 kg,23.820000 L,738 km
MLH,CGN,2019-03-30,€5.000000,101.460000 kg,16.630000 L,397 km
CGN,SXF,2019-04-06,€5.000000,152.180000 kg,19.710000 L,524 km
SXF,MHG,2019-04-06,€5.000000,155.530000 kg,19.940000 L,536 km
MHG,SXF,2019-04-12,€5.000000,155.530000 kg,19.940000 L,536 km
SXF,MXN,2019-04-12,€9.000000,381.550000 kg,37.300000 L,1346 km
MXN,SXF,2019-04-19,€9.000000,381.550000 kg,37.300000 L,1346 km
SXF,GVA,2019-04-19,€7.000000,273.550000 kg,28.570000 L,928 km
GVA,AMS,2019-04-20,€6.000000,222.000000 kg,24.810000 L,731 km
AMS,SXF,2019-05-11,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,TXL,2019-05-11,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-18,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,BUD,2019-05-18,€5.000000,216.140000 kg,23.990000 L,747 km
BUD,SXF,2019-06-07,€5.000000,216.140000 kg,23.990000 L,747 km
SXF,MST,2019-06-07,€5.000000,176.980000 kg,21.370000 L,611 km
MST,RLG,2019-06-08,€5.000000,174.750000 kg,21.220000 L,603 km
RLG,CDG,2019-06-09,€7.000000,269.700000 kg,28.270000 L,916 km
CDG,SXF,2019-06-15,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,MPL,2019-06-15,€9.000000,362.330000 kg,35.740000 L,1268 km
MPL,SXF,2019-06-19,€9.000000,362.330000 kg,35.740000 L,1268 km
SXF,STR,2019-06-19,€5.000000,165.950000 kg,20.640000 L,572 km
STR,SXF,2019-06-29,€5.000000,165.950000 kg,20.640000 L,572 km
SXF,AMS,2019-06-29,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-07-04,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,BEG,2019-07-04,€8.000000,307.240000 kg,31.280000 L,1045 km
BEG,MUC,2019-07-06,€6.000000,236.000000 kg,25.560000 L,808 km
MUC,SXF,2019-07-13,€5.000000,153.110000 kg,19.780000 L,528 km
SXF,FRA,2019-07-13,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,SXF,2019-07-19,€5.000000,140.910000 kg,18.990000 L,490 km
IBZ,SXF,2019-08-03,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,LCY,2019-08-03,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-08-18,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,IBZ,2019-08-18,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-08-24,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,AMS,2019-08-24,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-08-30,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,ZRH,2019-08-30,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,SXF,2019-09-13,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,VIE,2019-09-13,€5.000000,164.440000 kg,20.530000 L,567 km
VIE,LPL,2019-09-14,€10.000000,422.200000 kg,40.590000 L,1510 km
LPL,SXF,2019-09-27,€8.000000,333.200000 kg,33.380000 L,1150 km
SXF,OBF,2019-09-27,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-10-02,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,NUE,2019-10-02,€5.000000,113.200000 kg,17.330000 L,424 km
NUE,SXF,2019-10-11,€5.000000,113.200000 kg,17.330000 L,424 km
SXF,STR,2019-10-11,€5.000000,165.950000 kg,20.640000 L,572 km
STR,SXF,2019-10-17,€5.000000,165.950000 kg,20.640000 L,572 km
