DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LCY,BOM,2019-01-18,€51.000000,2185.820000 kg,189.120000 L,7235 km
BOM,LCY,2019-03-29,€51.000000,2185.820000 kg,189.120000 L,7235 km
LCY,TXL,2019-03-29,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,LCY,2019-04-05,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,GLA,2019-04-05,€5.000000,198.000000 kg,23.540000 L,616 km
GLA,LCY,2019-04-20,€5.000000,198.000000 kg,23.540000 L,616 km
LCY,AMS,2019-04-20,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,LCY,2019-05-11,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,ESH,2019-05-11,€5.000000,26.490000 kg,6.700000 L,129 km
ESH,LCY,2019-05-17,€5.000000,26.490000 kg,6.700000 L,129 km
LCY,LIN,2019-05-17,€7.000000,297.740000 kg,30.510000 L,1007 km
LIN,BCN,2019-05-18,€6.000000,248.000000 kg,27.080000 L,792 km
BCN,LCY,2019-06-01,€9.000000,374.000000 kg,37.210000 L,1194 km
BMA,LCY,2019-06-14,€10.000000,411.980000 kg,39.760000 L,1469 km
LCY,MAD,2019-06-14,€11.000000,437.000000 kg,42.780000 L,1305 km
MAD,LCY,2019-06-22,€11.000000,437.000000 kg,42.780000 L,1305 km
LCY,CGN,2019-06-22,€5.000000,159.180000 kg,20.180000 L,549 km
CGN,LCY,2019-06-28,€5.000000,159.180000 kg,20.180000 L,549 km
LCY,BEG,2019-06-28,€11.000000,476.760000 kg,45.010000 L,1731 km
BEG,LCY,2019-07-05,€11.000000,476.760000 kg,45.010000 L,1731 km
LCY,LYN,2019-07-05,€6.000000,228.660000 kg,24.980000 L,786 km
LYN,LCY,2019-07-13,€6.000000,228.660000 kg,24.980000 L,786 km
LCY,LPL,2019-07-13,€5.000000,74.590000 kg,15.030000 L,333 km
LPL,LCY,2019-07-20,€5.000000,74.590000 kg,15.030000 L,333 km
LCY,BCN,2019-07-20,€9.000000,374.000000 kg,37.210000 L,1194 km
BCN,LCY,2019-07-27,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,LIS,2019-07-27,€11.000000,454.010000 kg,43.170000 L,1639 km
LIS,LCY,2019-08-03,€11.000000,454.010000 kg,43.170000 L,1639 km
LCY,DUB,2019-08-03,€5.000000,196.000000 kg,25.060000 L,526 km
DUB,LCY,2019-08-04,€5.000000,196.000000 kg,25.060000 L,526 km
LCY,BCN,2019-08-09,€9.000000,374.000000 kg,37.210000 L,1194 km
BCN,LCY,2019-08-23,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,OSL,2019-08-23,€9.000000,353.140000 kg,35.000000 L,1231 km
OSL,LCY,2019-09-07,€9.000000,353.140000 kg,35.000000 L,1231 km
LCY,FLR,2019-09-07,€13.000000,523.000000 kg,51.640000 L,1243 km
FLR,LCY,2019-09-28,€13.000000,523.000000 kg,51.640000 L,1243 km
LCY,ZRH,2019-09-28,€7.000000,272.000000 kg,29.360000 L,808 km
ZRH,LCY,2019-10-04,€7.000000,272.000000 kg,29.360000 L,808 km
LCY,LIN,2019-10-04,€7.000000,297.740000 kg,30.510000 L,1007 km
LIN,LCY,2019-10-19,€7.000000,297.740000 kg,30.510000 L,1007 km
LCY,LBA,2019-10-19,€5.000000,75.570000 kg,15.080000 L,336 km
LBA,LCY,2019-11-16,€5.000000,75.570000 kg,15.080000 L,336 km
LCY,SXF,2019-12-06,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,LCY,2019-12-07,€7.000000,288.480000 kg,29.770000 L,976 km
