DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,PDX,2019-01-11,€61.000000,2643.030000 kg,227.830000 L,8393 km
PDX,SXF,2019-02-08,€61.000000,2643.030000 kg,227.830000 L,8393 km
SXF,KRK,2019-02-08,€5.000000,164.510000 kg,20.540000 L,567 km
KRK,SXF,2019-03-01,€5.000000,164.510000 kg,20.540000 L,567 km
EDI,BHX,2019-03-16,€5.000000,125.210000 kg,18.050000 L,453 km
BHX,SXF,2019-04-22,€8.000000,316.430000 kg,32.030000 L,1082 km
SXF,BHD,2019-04-22,€9.000000,382.280000 kg,37.360000 L,1349 km
BHD,SXF,2019-04-27,€9.000000,382.280000 kg,37.360000 L,1349 km
SXF,TXL,2019-04-27,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-04,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,QPG,2019-05-04,€76.000000,3267.710000 kg,280.730000 L,9976 km
QPG,HAN,2019-05-11,€14.000000,602.520000 kg,55.340000 L,2251 km
HND,MAN,2019-05-26,€72.000000,3093.520000 kg,265.980000 L,9535 km
MAN,SXF,2019-05-29,€8.000000,323.340000 kg,32.590000 L,1110 km
SXF,TXL,2019-05-29,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LIS,2019-05-31,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,SXF,2019-06-08,€15.000000,629.470000 kg,57.600000 L,2365 km
SXF,LCY,2019-06-08,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-07-14,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,AMS,2019-07-14,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-07-19,€5.000000,186.040000 kg,21.980000 L,642 km
OOL,SYD,2019-07-20,€5.000000,211.060000 kg,23.650000 L,729 km
SYD,MEB,2019-07-26,€6.000000,218.980000 kg,24.200000 L,756 km
TXL,SXF,2019-09-07,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,BCN,2019-09-07,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-09-19,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,BUD,2019-09-19,€5.000000,216.140000 kg,23.990000 L,747 km
BUD,SXF,2019-09-27,€5.000000,216.140000 kg,23.990000 L,747 km
SXF,YTZ,2019-09-27,€45.000000,1928.890000 kg,167.330000 L,6542 km
YTZ,LEJ,2019-10-05,€45.000000,1929.280000 kg,167.370000 L,6543 km
LEJ,SXF,2019-10-11,€5.000000,39.530000 kg,10.000000 L,193 km
NTE,SXF,2019-10-18,€9.000000,366.260000 kg,36.060000 L,1284 km
SXF,CPH,2019-10-18,€5.000000,103.130000 kg,16.730000 L,401 km
CPH,SXF,2019-10-26,€5.000000,103.130000 kg,16.730000 L,401 km
SXF,LBA,2019-10-26,€8.000000,313.420000 kg,31.780000 L,1070 km
LBA,SXF,2019-11-14,€8.000000,313.420000 kg,31.780000 L,1070 km
SXF,LGA,2019-11-14,€44.000000,1890.850000 kg,164.110000 L,6436 km
LGA,YVR,2019-11-23,€24.000000,1009.230000 kg,89.300000 L,3971 km
YVR,BRS,2019-11-29,€54.000000,2310.830000 kg,199.700000 L,7551 km
BRS,SXF,2019-12-06,€8.000000,337.490000 kg,33.730000 L,1168 km
SXF,LCY,2019-12-06,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-12-12,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,LPL,2019-12-12,€8.000000,333.200000 kg,33.380000 L,1150 km
LPL,BTS,2019-12-13,€11.000000,436.920000 kg,41.780000 L,1570 km
BTS,SXF,2019-12-14,€5.000000,173.730000 kg,21.150000 L,599 km
SXF,SXF,2019-12-27,€0.000000,0.000000 kg,0.000000 L,0 km
