DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
GLA,LPL,2019-01-25,€5.000000,80.420000 kg,15.370000 L,347 km
LPL,GLA,2019-03-16,€5.000000,80.420000 kg,15.370000 L,347 km
GLA,LCY,2019-03-30,€5.000000,198.000000 kg,23.540000 L,616 km
LCY,GLA,2019-04-04,€5.000000,198.000000 kg,23.540000 L,616 km
GLA,LCY,2019-04-04,€5.000000,198.000000 kg,23.540000 L,616 km
LCY,GLA,2019-04-12,€5.000000,198.000000 kg,23.540000 L,616 km
GLA,TXL,2019-04-13,€9.000000,356.890000 kg,35.300000 L,1246 km
TXL,GLA,2019-05-04,€9.000000,356.890000 kg,35.300000 L,1246 km
GLA,GVA,2019-05-31,€9.000000,380.770000 kg,37.240000 L,1343 km
GVA,GLA,2019-06-15,€9.000000,380.770000 kg,37.240000 L,1343 km
GLA,ABZ,2019-06-29,€5.000000,49.600000 kg,12.550000 L,243 km
ABZ,GLA,2019-07-04,€5.000000,49.600000 kg,12.550000 L,243 km
GLA,LCY,2019-08-16,€5.000000,198.000000 kg,23.540000 L,616 km
LCY,GLA,2019-09-29,€5.000000,198.000000 kg,23.540000 L,616 km
GLA,DND,2019-09-29,€5.000000,30.410000 kg,7.690000 L,149 km
DND,GLA,2019-10-11,€5.000000,30.410000 kg,7.690000 L,149 km
MEB,PER,2019-10-12,€17.000000,721.910000 kg,65.310000 L,2756 km
PER,TXL,2019-10-19,€118.000000,5102.610000 kg,436.250000 L,13655 km
TXL,GLA,2019-11-08,€9.000000,356.890000 kg,35.300000 L,1246 km
GLA,INV,2019-12-07,€5.000000,47.750000 kg,12.080000 L,234 km
INV,GLA,2019-12-28,€5.000000,47.750000 kg,12.080000 L,234 km
GLA,GLA,2019-12-28,€0.000000,0.000000 kg,0.000000 L,0 km
