DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
FZO,LCY,2019-02-02,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-02-08,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,LBA,2019-02-08,€5.000000,70.490000 kg,14.700000 L,320 km
LBA,FZO,2019-02-15,€5.000000,70.490000 kg,14.700000 L,320 km
FZO,ESH,2019-02-15,€5.000000,46.280000 kg,11.710000 L,226 km
ESH,FZO,2019-02-22,€5.000000,46.280000 kg,11.710000 L,226 km
FZO,BRS,2019-02-22,€5.000000,13.450000 kg,3.400000 L,65 km
BRS,FZO,2019-03-01,€5.000000,13.450000 kg,3.400000 L,65 km
FZO,LCY,2019-03-01,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-03-27,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,DCA,2019-03-27,€39.000000,1660.920000 kg,144.600000 L,5796 km
DCA,SFO,2019-03-28,€24.000000,1010.480000 kg,89.410000 L,3976 km
SFO,LCY,2019-04-06,€64.000000,2763.150000 kg,238.000000 L,8698 km
LCY,FZO,2019-04-19,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,BRS,2019-04-19,€5.000000,13.450000 kg,3.400000 L,65 km
BRS,FZO,2019-05-10,€5.000000,13.450000 kg,3.400000 L,65 km
FZO,BHX,2019-05-10,€5.000000,34.720000 kg,8.780000 L,170 km
BHX,FZO,2019-05-31,€5.000000,34.720000 kg,8.780000 L,170 km
FZO,LIS,2019-05-31,€10.000000,433.440000 kg,41.500000 L,1556 km
LIS,FZO,2019-07-05,€10.000000,433.440000 kg,41.500000 L,1556 km
FZO,LCY,2019-07-05,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-08-03,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,PDX,2019-08-03,€56.000000,2428.190000 kg,209.640000 L,7849 km
PDX,HHR,2019-08-08,€10.000000,394.360000 kg,38.340000 L,1398 km
HHR,SFO,2019-08-16,€5.000000,173.730000 kg,21.150000 L,599 km
SFO,PUY,2019-08-28,€75.000000,3241.450000 kg,278.500000 L,9909 km
PUY,FZO,2019-09-13,€10.000000,413.120000 kg,39.860000 L,1474 km
FZO,LBA,2019-09-13,€5.000000,70.490000 kg,14.700000 L,320 km
LBA,BRS,2019-09-14,€5.000000,69.000000 kg,17.460000 L,335 km
BRS,FZO,2019-09-20,€5.000000,13.450000 kg,3.400000 L,65 km
FZO,BOD,2019-09-20,€6.000000,234.350000 kg,25.440000 L,804 km
BOD,TXL,2019-09-21,€10.000000,391.890000 kg,38.140000 L,1388 km
TXL,FZO,2019-10-05,€8.000000,331.070000 kg,33.210000 L,1142 km
FZO,LCY,2019-10-05,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-11-23,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,VKO,2019-11-23,€17.000000,705.520000 kg,63.940000 L,2687 km
VKO,FZO,2019-12-14,€17.000000,705.520000 kg,63.940000 L,2687 km
FZO,LCY,2019-12-14,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-12-31,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,FZO,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
