DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,TXL,2019-01-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-01-10,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,BOS,2019-01-10,€42.000000,1784.550000 kg,155.090000 L,6140 km
BOS,DCA,2019-01-11,€5.000000,204.000000 kg,23.290000 L,689 km
DCA,PIT,2019-01-12,€5.000000,92.000000 kg,15.690000 L,377 km
PIT,PDX,2019-01-19,€21.000000,903.520000 kg,80.480000 L,3524 km
LCY,TXL,2019-02-09,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,SXF,2019-03-09,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-03-09,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-15,€5.000000,13.420000 kg,3.390000 L,65 km
MAN,SXF,2019-03-30,€8.000000,323.340000 kg,32.590000 L,1110 km
SXF,CPH,2019-03-30,€5.000000,103.130000 kg,16.730000 L,401 km
CPH,SXF,2019-04-06,€5.000000,103.130000 kg,16.730000 L,401 km
SXF,FRA,2019-04-06,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,SXF,2019-04-13,€5.000000,140.910000 kg,18.990000 L,490 km
SXF,OBF,2019-04-13,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-04-20,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,TXL,2019-04-20,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-01,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-05-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-18,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,PRG,2019-05-18,€5.000000,72.650000 kg,14.900000 L,328 km
PRG,SXF,2019-05-25,€5.000000,72.650000 kg,14.900000 L,328 km
SXF,LBG,2019-05-25,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-05-29,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,TXL,2019-05-29,€5.000000,13.420000 kg,3.390000 L,65 km
