DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
FCO,CZM,2019-01-12,€69.000000,2995.470000 kg,257.680000 L,9286 km
CZM,MLH,2019-01-26,€64.000000,2765.030000 kg,238.160000 L,8702 km
MLH,FCO,2019-02-08,€6.000000,238.150000 kg,25.740000 L,816 km
FCO,RTM,2019-04-06,€9.000000,376.200000 kg,36.870000 L,1324 km
RTM,FCO,2019-04-19,€9.000000,376.200000 kg,36.870000 L,1324 km
FCO,RTM,2019-04-19,€9.000000,376.200000 kg,36.870000 L,1324 km
RTM,FCO,2019-04-27,€9.000000,376.200000 kg,36.870000 L,1324 km
FCO,ZRH,2019-04-27,€5.000000,178.000000 kg,19.740000 L,742 km
ZRH,FCO,2019-05-17,€5.000000,178.000000 kg,19.740000 L,742 km
FCO,CIA,2019-05-17,€5.000000,10.270000 kg,2.590000 L,50 km
CIA,FCO,2019-06-01,€5.000000,10.270000 kg,2.590000 L,50 km
FCO,HEM,2019-06-01,€15.000000,609.940000 kg,55.960000 L,2283 km
HEM,FCO,2019-06-08,€15.000000,609.940000 kg,55.960000 L,2283 km
FCO,LIN,2019-07-05,€5.000000,129.000000 kg,16.700000 L,518 km
LIN,FCO,2019-07-22,€5.000000,129.000000 kg,16.700000 L,518 km
FCO,EIN,2019-07-22,€9.000000,356.250000 kg,35.250000 L,1243 km
EIN,FCO,2019-07-31,€9.000000,356.250000 kg,35.250000 L,1243 km
FCO,AMS,2019-07-31,€9.000000,373.000000 kg,36.200000 L,1346 km
AMS,DRS,2019-08-02,€5.000000,197.660000 kg,22.750000 L,682 km
DRS,FCO,2019-08-14,€8.000000,319.610000 kg,32.290000 L,1095 km
FCO,BEG,2019-09-12,€6.000000,224.000000 kg,24.550000 L,782 km
BEG,BRU,2019-09-13,€10.000000,428.000000 kg,41.510000 L,1405 km
BRU,FCO,2019-09-20,€8.000000,320.000000 kg,31.640000 L,1222 km
FCO,PRG,2019-09-20,€6.000000,255.000000 kg,26.320000 L,985 km
PRG,FCO,2019-09-23,€6.000000,255.000000 kg,26.320000 L,985 km
FCO,IBZ,2019-09-23,€7.000000,303.110000 kg,30.950000 L,1028 km
IBZ,FCO,2019-10-05,€7.000000,303.110000 kg,30.950000 L,1028 km
FCO,SXF,2019-10-05,€9.000000,356.600000 kg,35.280000 L,1245 km
SXF,FCO,2019-10-20,€9.000000,356.600000 kg,35.280000 L,1245 km
FCO,AMS,2019-10-20,€9.000000,373.000000 kg,36.200000 L,1346 km
AMS,FCO,2019-10-25,€9.000000,373.000000 kg,36.200000 L,1346 km
FCO,LIN,2019-10-25,€5.000000,129.000000 kg,16.700000 L,518 km
LIN,FCO,2019-10-31,€5.000000,129.000000 kg,16.700000 L,518 km
FCO,BRI,2019-10-31,€5.000000,107.000000 kg,15.940000 L,433 km
BRI,FCO,2019-11-28,€5.000000,107.000000 kg,15.940000 L,433 km
FCO,SIR,2019-11-28,€5.000000,196.670000 kg,22.690000 L,679 km
SIR,FCO,2019-12-07,€5.000000,196.670000 kg,22.690000 L,679 km
FCO,ORY,2019-12-07,€8.000000,330.240000 kg,33.150000 L,1138 km
ORY,FCO,2019-12-21,€8.000000,330.240000 kg,33.150000 L,1138 km
FCO,IST,2019-12-21,€9.000000,348.000000 kg,33.670000 L,1432 km
IST,PNH,2019-12-27,€58.000000,2515.030000 kg,217.000000 L,8069 km
PNH,FCO,2019-12-31,€71.000000,3051.830000 kg,262.450000 L,9429 km
