DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SEM,LGA,2019-02-01,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-02-16,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,BFI,2019-02-16,€21.000000,872.600000 kg,77.890000 L,3393 km
BFI,SEM,2019-03-02,€21.000000,872.600000 kg,77.890000 L,3393 km
SEM,LGA,2019-03-02,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-03-22,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,LGA,2019-03-22,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-04-12,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,TXL,2019-04-12,€57.000000,2473.120000 kg,213.450000 L,7963 km
TXL,LCY,2019-04-20,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,LGA,2019-04-27,€37.000000,1599.810000 kg,139.410000 L,5626 km
LGA,SEM,2019-05-18,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,ORL,2019-05-18,€6.000000,237.270000 kg,25.670000 L,814 km
ORL,SEM,2019-05-25,€6.000000,237.270000 kg,25.670000 L,814 km
SEM,DET,2019-05-25,€9.000000,358.660000 kg,35.450000 L,1253 km
DET,SEM,2019-06-15,€9.000000,358.660000 kg,35.450000 L,1253 km
SEM,LGA,2019-06-15,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-06-28,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,LGA,2019-06-28,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-07-06,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,TXL,2019-07-06,€57.000000,2473.120000 kg,213.450000 L,7963 km
TXL,ORY,2019-07-12,€5.000000,202.000000 kg,21.010000 L,927 km
ORY,SEM,2019-09-13,€53.000000,2272.910000 kg,196.490000 L,7455 km
SEM,LGA,2019-09-13,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-09-20,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,MMJ,2019-09-20,€88.000000,3812.980000 kg,326.940000 L,11073 km
MMJ,HND,2019-09-28,€5.000000,46.680000 kg,11.810000 L,228 km
SEM,PHL,2019-10-25,€10.000000,411.930000 kg,39.760000 L,1469 km
PHL,SEM,2019-11-14,€10.000000,411.930000 kg,39.760000 L,1469 km
SEM,BOS,2019-11-14,€13.000000,522.410000 kg,48.710000 L,1916 km
BOS,DET,2019-11-15,€8.000000,304.870000 kg,31.090000 L,1035 km
DET,SEM,2019-11-22,€9.000000,358.660000 kg,35.450000 L,1253 km
SEM,LGA,2019-11-22,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-12-31,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,SEM,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
