DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TOJ,BCN,2019-01-12,€5.000000,158.310000 kg,20.120000 L,546 km
BCN,TOJ,2019-01-18,€5.000000,158.310000 kg,20.120000 L,546 km
TOJ,BTS,2019-01-18,€13.000000,522.580000 kg,48.720000 L,1917 km
BTS,TOJ,2019-01-25,€13.000000,522.580000 kg,48.720000 L,1917 km
TOJ,MAD,2019-01-25,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,TOJ,2019-02-09,€5.000000,12.620000 kg,3.190000 L,61 km
TOJ,TXL,2019-02-09,€13.000000,522.610000 kg,48.720000 L,1917 km
TXL,TOJ,2019-02-23,€13.000000,522.610000 kg,48.720000 L,1917 km
TOJ,MAD,2019-02-23,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,TOJ,2019-03-02,€5.000000,12.620000 kg,3.190000 L,61 km
TOJ,MAD,2019-03-02,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,TOJ,2019-03-08,€5.000000,12.620000 kg,3.190000 L,61 km
TOJ,WRO,2019-03-08,€13.000000,551.710000 kg,51.100000 L,2036 km
WRO,TOJ,2019-03-23,€13.000000,551.710000 kg,51.100000 L,2036 km
TOJ,PMI,2019-03-23,€5.000000,175.900000 kg,21.300000 L,607 km
PMI,TOJ,2019-03-30,€5.000000,175.900000 kg,21.300000 L,607 km
TOJ,MAD,2019-03-30,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,TOJ,2019-04-06,€5.000000,12.620000 kg,3.190000 L,61 km
TOJ,MRS,2019-04-06,€6.000000,251.720000 kg,26.830000 L,859 km
MRS,TOJ,2019-04-19,€6.000000,251.720000 kg,26.830000 L,859 km
TOJ,TXL,2019-04-19,€13.000000,522.610000 kg,48.720000 L,1917 km
TXL,LIN,2019-04-20,€7.000000,262.650000 kg,27.700000 L,894 km
LIN,TOJ,2019-04-26,€9.000000,356.360000 kg,35.260000 L,1244 km
TOJ,MAD,2019-04-26,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,GRQ,2019-04-27,€11.000000,457.710000 kg,43.470000 L,1654 km
GRQ,TOJ,2019-04-30,€11.000000,459.730000 kg,43.630000 L,1662 km
TOJ,VGO,2019-04-30,€5.000000,146.830000 kg,19.360000 L,506 km
VGO,TOJ,2019-05-17,€5.000000,146.830000 kg,19.360000 L,506 km
MAD,TOJ,2019-06-15,€5.000000,12.620000 kg,3.190000 L,61 km
TOJ,HND,2019-06-15,€86.000000,3696.230000 kg,317.050000 L,10839 km
HND,SSN,2019-06-21,€9.000000,348.350000 kg,34.610000 L,1211 km
SSN,PEK,2019-06-22,€7.000000,294.600000 kg,30.260000 L,995 km
PEK,TOJ,2019-07-12,€69.000000,2992.590000 kg,257.430000 L,9279 km
TOJ,BUD,2019-07-12,€13.000000,551.840000 kg,51.110000 L,2037 km
BUD,TOJ,2019-07-18,€13.000000,551.840000 kg,51.110000 L,2037 km
TOJ,BCN,2019-07-18,€5.000000,158.310000 kg,20.120000 L,546 km
BCN,TOJ,2019-08-08,€5.000000,158.310000 kg,20.120000 L,546 km
TOJ,SDV,2019-08-08,€22.000000,920.310000 kg,81.880000 L,3595 km
SDV,OPO,2019-08-22,€24.000000,1021.760000 kg,90.360000 L,4016 km
OPO,SXF,2019-08-23,€14.000000,576.830000 kg,53.200000 L,2143 km
SXF,TOJ,2019-08-31,€13.000000,524.200000 kg,48.850000 L,1923 km
TOJ,AMS,2019-08-31,€10.000000,425.000000 kg,40.820000 L,1522 km
AMS,TOJ,2019-09-07,€10.000000,425.000000 kg,40.820000 L,1522 km
TOJ,PRG,2019-09-07,€12.000000,499.170000 kg,46.830000 L,1822 km
PRG,TOJ,2019-09-13,€12.000000,499.170000 kg,46.830000 L,1822 km
TOJ,KEL,2019-09-13,€12.000000,521.660000 kg,48.650000 L,1913 km
KEL,TOJ,2019-09-27,€12.000000,521.660000 kg,48.650000 L,1913 km
TOJ,MAD,2019-09-27,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,TOJ,2019-10-04,€5.000000,12.620000 kg,3.190000 L,61 km
TOJ,TXL,2019-10-04,€13.000000,522.610000 kg,48.720000 L,1917 km
TXL,ORK,2019-10-05,€10.000000,427.620000 kg,41.030000 L,1532 km
ORK,TOJ,2019-10-12,€9.000000,387.610000 kg,37.790000 L,1370 km
TOJ,IGL,2019-10-12,€17.000000,704.950000 kg,63.900000 L,2684 km
IGL,REU,2019-10-26,€14.000000,608.050000 kg,55.810000 L,2275 km
REU,TOJ,2019-11-09,€5.000000,129.610000 kg,18.310000 L,463 km
TOJ,LIS,2019-11-09,€5.000000,159.830000 kg,20.230000 L,551 km
LIS,TOJ,2019-11-23,€5.000000,159.830000 kg,20.230000 L,551 km
TOJ,MAD,2019-11-23,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,TOJ,2019-11-30,€5.000000,12.620000 kg,3.190000 L,61 km
OPO,TOJ,2019-12-27,€5.000000,135.070000 kg,18.640000 L,476 km
TOJ,MAD,2019-12-27,€5.000000,12.620000 kg,3.190000 L,61 km
MAD,TOJ,2019-12-31,€5.000000,12.620000 kg,3.190000 L,61 km
TOJ,TOJ,2019-12-31,€0.000000,0.000000 kg,0.000000 L,0 km
