DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
OTP,SCL,2019-01-19,€111.000000,4825.440000 kg,412.760000 L,13100 km
SCL,VIE,2019-02-02,€105.000000,4564.770000 kg,390.660000 L,12578 km
VIE,OTP,2019-02-09,€6.000000,258.000000 kg,27.340000 L,879 km
OTP,BBU,2019-02-09,€5.000000,10.270000 kg,2.590000 L,50 km
BBU,OTP,2019-02-15,€5.000000,10.270000 kg,2.590000 L,50 km
OTP,AMS,2019-02-15,€13.000000,540.000000 kg,50.630000 L,1833 km
AMS,LCY,2019-02-16,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,OTP,2019-02-22,€14.000000,572.630000 kg,52.850000 L,2125 km
ORY,OTP,2019-03-02,€13.000000,521.740000 kg,48.650000 L,1913 km
OTP,CIA,2019-03-02,€9.000000,348.510000 kg,34.630000 L,1212 km
CIA,RMI,2019-03-03,€5.000000,64.270000 kg,14.130000 L,298 km
RMI,OTP,2019-03-08,€8.000000,326.910000 kg,32.880000 L,1125 km
OTP,CLJ,2019-03-08,€5.000000,82.000000 kg,14.680000 L,359 km
CLJ,MHG,2019-03-09,€9.000000,349.440000 kg,34.700000 L,1216 km
MHG,OTP,2019-03-22,€10.000000,417.690000 kg,40.230000 L,1492 km
OTP,SDV,2019-03-22,€11.000000,449.620000 kg,42.810000 L,1621 km
SDV,HND,2019-03-30,€69.000000,2973.630000 kg,255.830000 L,9231 km
HND,VCE,2019-04-07,€73.000000,3133.950000 kg,269.400000 L,9637 km
VCE,OTP,2019-04-11,€9.000000,390.000000 kg,38.980000 L,1133 km
OTP,SIR,2019-04-11,€10.000000,425.500000 kg,40.860000 L,1524 km
SIR,FLR,2019-04-13,€5.000000,126.500000 kg,18.130000 L,456 km
FLR,OTP,2019-04-21,€9.000000,355.210000 kg,35.170000 L,1239 km
OTP,NCE,2019-04-21,€12.000000,480.000000 kg,45.820000 L,1558 km
NCE,OTP,2019-04-25,€12.000000,480.000000 kg,45.820000 L,1558 km
OTP,CND,2019-04-25,€5.000000,33.000000 kg,8.350000 L,240 km
CND,OTP,2019-05-10,€5.000000,33.000000 kg,8.350000 L,240 km
OTP,BEY,2019-05-10,€11.000000,436.000000 kg,41.770000 L,1489 km
BEY,VKO,2019-05-11,€16.000000,655.380000 kg,59.760000 L,2475 km
VKO,OTP,2019-05-18,€10.000000,423.510000 kg,40.700000 L,1516 km
OTP,BRU,2019-05-18,€13.000000,543.000000 kg,50.880000 L,1804 km
BRU,OTP,2019-05-25,€13.000000,543.000000 kg,50.880000 L,1804 km
OTP,AMS,2019-05-25,€13.000000,540.000000 kg,50.630000 L,1833 km
AMS,LCY,2019-05-26,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,OTP,2019-05-31,€14.000000,572.630000 kg,52.850000 L,2125 km
CLJ,OTP,2019-06-29,€5.000000,82.000000 kg,14.680000 L,359 km
OTP,AMS,2019-06-29,€13.000000,540.000000 kg,50.630000 L,1833 km
AMS,OTP,2019-07-04,€13.000000,540.000000 kg,50.630000 L,1833 km
OTP,CND,2019-07-04,€5.000000,33.000000 kg,8.350000 L,240 km
CND,LCY,2019-07-06,€15.000000,617.910000 kg,56.630000 L,2316 km
LCY,OTP,2019-07-12,€14.000000,572.630000 kg,52.850000 L,2125 km
OTP,TRS,2019-07-12,€7.000000,302.370000 kg,30.890000 L,1025 km
TRS,GVA,2019-07-13,€5.000000,186.820000 kg,22.030000 L,645 km
GVA,OTP,2019-07-19,€10.000000,418.000000 kg,39.740000 L,1616 km
OTP,CLJ,2019-07-19,€5.000000,82.000000 kg,14.680000 L,359 km
CLJ,OTP,2019-08-07,€5.000000,82.000000 kg,14.680000 L,359 km
OTP,BUD,2019-08-07,€5.000000,190.000000 kg,22.020000 L,666 km
BUD,KNF,2019-08-08,€10.000000,425.680000 kg,40.870000 L,1525 km
KNF,FRA,2019-08-09,€5.000000,200.000000 kg,22.910000 L,690 km
FRA,OTP,2019-08-14,€11.000000,473.000000 kg,45.310000 L,1498 km
IEV,OTP,2019-08-24,€6.000000,227.970000 kg,24.920000 L,784 km
OTP,LCY,2019-08-24,€14.000000,572.630000 kg,52.850000 L,2125 km
LCY,ANR,2019-08-25,€5.000000,49.000000 kg,12.400000 L,357 km
ANR,OTP,2019-08-31,€12.000000,498.440000 kg,46.760000 L,1819 km
OTP,BBU,2019-08-31,€5.000000,10.270000 kg,2.590000 L,50 km
BBU,OTP,2019-09-09,€5.000000,10.270000 kg,2.590000 L,50 km
OTP,IBZ,2019-09-09,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-09-28,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,MLH,2019-09-28,€10.000000,428.680000 kg,41.120000 L,1537 km
MLH,OTP,2019-10-03,€10.000000,428.680000 kg,41.120000 L,1537 km
OTP,CLJ,2019-10-03,€5.000000,82.000000 kg,14.680000 L,359 km
CLJ,IST,2019-10-05,€6.000000,227.710000 kg,24.900000 L,783 km
VKO,OTP,2019-10-18,€10.000000,423.510000 kg,40.700000 L,1516 km
OTP,AMS,2019-10-18,€13.000000,540.000000 kg,50.630000 L,1833 km
AMS,LCY,2019-10-20,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,OTP,2019-10-25,€14.000000,572.630000 kg,52.850000 L,2125 km
OTP,BCN,2019-10-25,€11.000000,444.000000 kg,41.010000 L,2031 km
BCN,IAS,2019-10-26,€14.000000,584.780000 kg,53.860000 L,2176 km
IAS,OTP,2019-11-01,€5.000000,49.000000 kg,12.400000 L,361 km
OTP,MAN,2019-11-01,€15.000000,620.000000 kg,56.800000 L,2325 km
