DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DTW,DCA,2019-03-02,€5.000000,193.000000 kg,22.020000 L,700 km
DCA,DTW,2019-03-15,€5.000000,193.000000 kg,22.020000 L,700 km
DTW,ORY,2019-03-15,€44.000000,1885.040000 kg,163.610000 L,6420 km
ORY,DTW,2019-04-05,€44.000000,1885.040000 kg,163.610000 L,6420 km
DTW,SPG,2019-04-05,€11.000000,455.090000 kg,43.260000 L,1644 km
SPG,TNT,2019-04-07,€59.000000,2547.190000 kg,219.720000 L,8150 km
TNT,DTW,2019-04-27,€50.000000,2146.850000 kg,185.820000 L,7136 km
DTW,ROC,2019-04-27,€5.000000,163.000000 kg,21.010000 L,525 km
ROC,DTW,2019-05-25,€5.000000,163.000000 kg,21.010000 L,525 km
DTW,DET,2019-05-25,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-07-21,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,HHR,2019-07-21,€20.000000,833.570000 kg,74.640000 L,3228 km
HHR,DTW,2019-08-31,€20.000000,833.570000 kg,74.640000 L,3228 km
DTW,LGA,2019-08-31,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,DTW,2019-09-26,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,ZUN,2019-09-26,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,DTW,2019-10-05,€0.000000,0.000000 kg,0.000000 L,0 km
DTW,DET,2019-10-05,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-10-19,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,MEX,2019-10-19,€17.000000,730.000000 kg,65.560000 L,2979 km
MEX,DTW,2019-11-02,€17.000000,730.000000 kg,65.560000 L,2979 km
DTW,BOS,2019-11-02,€7.000000,264.000000 kg,26.830000 L,1064 km
BOS,DTW,2019-11-17,€7.000000,264.000000 kg,26.830000 L,1064 km
DTW,DTW,2019-11-17,€5.000000,10.190000 kg,2.570000 L,50 km
