DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LDY,LIS,2019-02-01,€12.000000,510.590000 kg,47.750000 L,1868 km
LIS,LDY,2019-02-21,€12.000000,510.590000 kg,47.750000 L,1868 km
LDY,LGA,2019-03-09,€33.000000,1397.650000 kg,122.250000 L,5063 km
LGA,YVR,2019-03-22,€24.000000,1009.230000 kg,89.300000 L,3971 km
YVR,LDY,2019-04-06,€49.000000,2112.410000 kg,182.900000 L,7049 km
LDY,HEM,2019-04-06,€13.000000,550.310000 kg,50.980000 L,2030 km
HEM,LDY,2019-04-27,€13.000000,550.310000 kg,50.980000 L,2030 km
LDY,SSN,2019-04-27,€66.000000,2841.190000 kg,244.610000 L,8895 km
TSA,HND,2019-05-04,€15.000000,647.000000 kg,59.490000 L,2144 km
HND,BCN,2019-05-10,€82.000000,3528.920000 kg,302.870000 L,10504 km
BCN,LDY,2019-05-31,€11.000000,474.770000 kg,44.850000 L,1723 km
LDY,GLA,2019-05-31,€5.000000,52.410000 kg,13.040000 L,255 km
GLA,LDY,2019-06-06,€5.000000,52.410000 kg,13.040000 L,255 km
LDY,MAD,2019-06-06,€11.000000,467.640000 kg,44.270000 L,1694 km
MAD,LBG,2019-06-07,€8.000000,322.770000 kg,32.540000 L,1108 km
LBG,LDY,2019-08-02,€7.000000,293.630000 kg,30.180000 L,992 km
LDY,ESH,2019-08-02,€5.000000,204.640000 kg,23.220000 L,707 km
ESH,LDY,2019-08-17,€5.000000,204.640000 kg,23.220000 L,707 km
LDY,TXL,2019-08-17,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-09-26,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,AMS,2019-09-26,€7.000000,261.950000 kg,27.650000 L,892 km
AMS,ORY,2019-09-27,€5.000000,138.740000 kg,18.860000 L,485 km
ORY,LDY,2019-10-11,€7.000000,298.650000 kg,30.590000 L,1010 km
LDY,MAN,2019-10-11,€5.000000,111.080000 kg,17.210000 L,419 km
MAN,LDY,2019-10-25,€5.000000,111.080000 kg,17.210000 L,419 km
LDY,HAM,2019-10-25,€8.000000,338.010000 kg,33.770000 L,1170 km
HAM,LDY,2019-10-31,€8.000000,338.010000 kg,33.770000 L,1170 km
LDY,TXL,2019-10-31,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-11-15,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,AMS,2019-11-15,€7.000000,261.950000 kg,27.650000 L,892 km
AMS,LDY,2019-12-03,€7.000000,261.950000 kg,27.650000 L,892 km
LDY,LCY,2019-12-03,€5.000000,194.040000 kg,22.510000 L,670 km
LCY,LDY,2019-12-14,€5.000000,194.040000 kg,22.510000 L,670 km
LDY,LDY,2019-12-14,€5.000000,10.190000 kg,2.570000 L,50 km
